,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101225,2022-04-10T00:00:00,GSW @ NOP,W,30.916666666666668,16,29,7,14,2,3,0,3,2,3,0,0,2,4,41,0.458,0.222,65,6,0.293,32,78,220,3,6,2022-04-10,33.46666666666667,1,10,12,1,3,4,1,0,0,76,2,1,3.0,3.0,0.168,0.286,0,31,3
1,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101202,2022-04-07T00:00:00,GSW vs. LAL,W,33.46666666666667,12,22,6,10,3,3,1,3,4,1,0,0,2,1,33,0.286,0.168,76,6,0.182,32,78,220,3,3,2022-04-07,39.3,1,17,11,0,5,2,1,0,0,79,3,1,2.0,4.0,0.146,0.345,1,31,0
2,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101165,2022-04-02T00:00:00,GSW vs. UTA,W,39.3,14,28,8,17,0,0,0,5,2,1,0,0,3,1,36,0.345,0.146,79,4,0.222,32,78,220,2,4,2022-04-02,70.385,2,23,20,0,6,7,3,0,0,154,5,1,4.0,5.0,0.030000000000000002,0.269,1,30,0
3,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101145,2022-03-30T00:00:00,GSW vs. PHX,L,33.568333333333335,5,21,1,10,2,2,0,1,4,3,0,0,4,1,13,0.294,-0.055,74,4,0.308,32,78,220,2,2,2022-03-30,77.2,2,29,19,1,11,6,2,0,1,162,2,1,5.0,5.0,0.1445,0.268,0,29,3
4,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101117,2022-03-27T00:00:00,GSW @ WAS,L,36.81666666666667,10,22,5,13,0,0,0,5,3,0,0,0,1,0,25,0.244,0.115,80,4,0.24,32,78,220,2,3,2022-03-27,111.01,3,35,28,2,10,6,3,3,1,226,7,2,5.0,7.0,0.111,0.244,1,29,0
5,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101102,2022-03-25T00:00:00,GSW @ ATL,L,40.38333333333333,14,26,9,16,0,0,1,6,3,2,0,1,1,1,37,0.292,0.174,82,6,0.108,32,78,220,3,2,2022-03-25,70.62666666666667,2,19,18,1,4,3,1,3,0,144,6,1,2.0,5.0,0.0795,0.22,0,28,3
6,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101080,2022-03-22T00:00:00,GSW @ ORL,L,32.31666666666667,6,15,2,7,1,1,0,2,3,1,2,0,3,0,15,0.216,0.083,64,2,0.4,32,78,220,1,3,2022-03-22,71.27333333333334,2,23,23,3,3,1,1,1,0,143,4,2,3.0,7.0,0.0465,0.2905,1,28,0
7,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101070,2022-03-20T00:00:00,GSW vs. SAS,L,38.31,9,22,6,12,0,0,1,2,0,0,1,0,3,1,24,0.224,0.076,80,2,0.167,32,78,220,1,2,2022-03-20,66.18,2,23,20,2,5,2,2,0,0,137,2,2,4.0,6.0,0.043000000000000003,0.3115,0,27,15
8,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101042,2022-03-16T00:00:00,GSW vs. BOS,L,32.96333333333333,8,24,1,11,1,2,2,1,1,1,0,0,1,1,18,0.357,0.017,63,4,0.556,32,78,220,2,5,2022-03-16,100.5,3,34,29,1,12,8,3,2,3,213,4,2,7.0,8.0,0.115,0.289,0,27,11
9,2021-22,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,0022101025,2022-03-14T00:00:00,GSW vs. WAS,W,33.21666666666667,7,19,4,12,2,2,0,4,1,1,0,0,1,1,20,0.266,0.069,74,4,0.1,32,78,220,2,1,2022-03-14,100.98333333333333,3,31,36,2,12,8,2,2,5,209,4,1,8.0,11.0,0.11900000000000001,0.2936666666666667,0,27,9
