,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022101050,2022-03-18T00:00:00,WAS @ NYK,L,35.05,6,17,4,9,2,4,1,4,9,4,0,1,5,4,18,0.303,0.084,72,2,0.111,26,81,221,1,1,2022-03-18,120.31666666666666,4,23,34,5,22,16,13,1,1,255,7,12,16.0,0.0,0.08000000000000002,0.26375000000000004,1,18,0
1,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022101035,2022-03-16T00:00:00,WAS vs. DEN,L,26.583333333333332,3,10,0,3,0,0,1,8,7,2,1,0,1,1,6,0.182,0.096,57,6,0.0,26,81,221,3,0,2022-03-16,126.81666666666666,4,24,39,4,20,13,14,1,1,264,8,12,20.0,0.0,0.08325,0.2815,0,17,56
2,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022101025,2022-03-14T00:00:00,WAS @ GSW,L,31.283333333333335,4,12,1,6,2,2,1,7,3,3,0,0,3,2,11,0.216,0.045,70,6,0.0,26,81,221,3,0,2022-03-14,95.53333333333333,3,18,33,3,13,10,11,1,1,194,5,10,17.0,0.0,0.09599999999999999,0.30333333333333334,0,17,54
3,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022101011,2022-03-12T00:00:00,WAS @ POR,L,30.333333333333332,7,17,4,8,4,4,1,2,3,4,0,1,2,4,22,0.319,0.085,64,6,0.0,26,81,221,3,0,2022-03-12,101.6,3,17,34,2,16,15,8,2,2,207,4,10,20.0,0.0,0.11233333333333334,0.2823333333333333,0,17,52
4,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022101004,2022-03-11T00:00:00,WAS @ LAL,L,32.11666666666667,9,18,2,6,3,9,2,5,3,4,0,0,1,5,23,0.338,0.094,64,14,0.0,26,81,221,7,0,2022-03-11,104.51666666666667,3,17,37,0,16,23,8,2,4,213,7,9,18.0,4.0,0.123,0.2836666666666667,0,17,51
5,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022100992,2022-03-09T00:00:00,WAS @ LAC,L,33.083333333333336,8,16,1,4,0,0,0,6,4,3,1,0,2,1,17,0.253,0.109,66,14,0.0,26,81,221,7,0,2022-03-09,71.43333333333334,2,13,25,0,10,19,5,1,4,147,5,8,11.0,4.0,0.13,0.29900000000000004,0,17,49
6,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022100963,2022-03-06T00:00:00,WAS vs. IND,W,36.4,8,17,2,7,5,7,0,5,8,1,1,2,1,4,23,0.256,0.134,77,12,0.0,26,81,221,6,0,2022-03-06,69.06666666666666,2,11,25,2,12,17,9,0,4,141,8,7,9.0,6.0,0.124,0.3185,0,17,46
7,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022100948,2022-03-04T00:00:00,WAS vs. ATL,L,35.03333333333333,9,21,0,6,4,4,0,5,11,4,0,2,4,4,22,0.342,0.126,70,10,0.364,26,81,221,5,4,2022-03-04,118.96666666666667,3,21,43,2,28,15,10,3,5,245,8,10,11.0,10.0,0.18666666666666665,0.2996666666666667,0,17,44
8,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022100926,2022-03-01T00:00:00,WAS vs. DET,W,34.03333333333333,7,15,1,5,6,6,2,7,6,5,0,2,4,3,21,0.295,0.122,71,8,0.19,26,81,221,4,2,2022-03-01,84.93333333333334,2,16,33,0,21,9,5,3,3,174,4,7,7.0,8.0,0.21899999999999997,0.302,0,17,41
9,2021-22,1628398,Kyle Kuzma,1610612764,WAS,Washington Wizards,0022100907,2022-02-26T00:00:00,WAS @ CLE,L,38.9,13,22,8,11,0,0,0,13,2,4,1,2,1,2,34,0.313,0.288,75,2,0.235,26,81,221,1,4,2022-02-26,46.03333333333333,1,5,22,0,8,7,1,2,1,99,3,5,6.0,4.0,0.15,0.291,0,17,38
