,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101207,2022-04-08T00:00:00,MIA vs. ATL,W,31.283333333333335,7,10,2,3,0,1,1,4,3,3,2,0,4,2,16,0.194,0.108,63,8,0.125,36,72,196,4,1,2022-04-08,61.916666666666664,2,9,10,1,7,20,3,1,0,125,7,8,3.0,3.0,0.152,0.193,1,61,0
1,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101172,2022-04-03T00:00:00,MIA @ TOR,W,34.55,4,8,2,4,6,7,1,5,10,2,1,0,5,5,16,0.169,0.149,69,4,0.0,36,72,196,2,0,2022-04-03,88.98333333333333,3,21,10,1,6,24,2,1,0,184,7,8,1.0,5.0,0.14966666666666667,0.16633333333333333,1,60,0
2,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101164,2022-04-02T00:00:00,MIA @ CHI,W,27.366666666666667,6,11,2,5,5,5,0,2,10,1,0,0,2,3,19,0.217,0.155,56,2,0.316,36,72,196,1,3,2022-04-02,86.91666666666666,3,22,7,1,5,15,5,2,0,181,8,6,1.0,4.0,0.11033333333333332,0.16633333333333333,0,59,35
3,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101139,2022-03-30T00:00:00,MIA @ BOS,W,35.68333333333333,8,16,6,12,1,2,0,0,8,1,0,0,4,4,23,0.214,0.121,77,0,0.174,36,72,196,0,2,2022-03-30,125.25666666666666,4,29,9,1,10,19,5,4,0,245,11,12,4.0,3.0,0.12175,0.16799999999999998,0,59,32
4,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101125,2022-03-28T00:00:00,MIA vs. SAC,W,25.933333333333334,3,4,3,4,0,0,1,4,6,0,1,0,1,1,9,0.068,0.173,51,0,0.0,36,72,196,0,0,2022-03-28,135.57666666666665,4,36,11,0,12,19,9,4,1,268,15,13,5.0,3.0,0.10725,0.2055,0,59,30
5,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101111,2022-03-26T00:00:00,MIA vs. BKN,L,25.3,5,9,2,6,0,0,0,1,1,4,1,0,3,1,12,0.217,0.037,53,2,0.333,36,72,196,1,2,2022-03-26,110.27666666666667,3,30,8,0,11,18,5,3,1,215,12,12,4.0,1.0,0.13066666666666668,0.20166666666666666,0,59,28
6,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101103,2022-03-25T00:00:00,MIA vs. NYK,L,36.0,4,11,3,10,6,6,0,4,3,1,1,0,2,5,17,0.208,0.125,66,2,0.0,36,72,196,1,0,2022-03-25,101.86500000000001,3,27,9,1,10,19,4,4,1,204,11,8,5.0,1.0,0.14100000000000001,0.18166666666666667,0,59,27
7,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101088,2022-03-23T00:00:00,MIA vs. GSW,L,38.02333333333333,9,14,6,9,2,2,0,1,9,0,1,0,5,5,26,0.179,0.152,75,4,0.077,36,72,196,2,1,2022-03-23,63.84166666666667,2,18,4,1,9,10,4,3,1,129,6,3,3.0,0.0,0.1355,0.183,0,59,25
8,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101074,2022-03-21T00:00:00,MIA @ PHI,L,36.25333333333333,7,13,6,11,0,0,0,6,6,4,1,1,5,2,20,0.218,0.115,74,2,0.0,36,72,196,1,0,2022-03-21,61.95666666666666,2,9,3,1,10,8,1,2,0,125,3,9,2.0,0.0,0.1285,0.1195,0,59,23
9,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101052,2022-03-18T00:00:00,MIA vs. OKC,W,27.588333333333335,6,9,4,7,0,1,1,3,4,0,2,0,1,1,16,0.148,0.156,55,4,0.0,36,72,196,2,0,2022-03-18,104.15,3,14,5,2,16,21,7,0,1,214,8,17,1.0,1.0,0.08333333333333333,0.13066666666666668,0,59,20
10,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101031,2022-03-15T00:00:00,MIA vs. DET,W,34.36833333333333,0,3,0,2,6,6,0,7,4,1,0,0,2,8,6,0.091,0.101,70,0,0.0,36,72,196,0,0,2022-03-15,101.395,3,14,5,2,14,27,9,0,1,210,9,11,1.0,1.0,0.078,0.13266666666666668,0,59,17
11,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022101005,2022-03-12T00:00:00,MIA vs. MIN,L,37.406666666666666,4,12,2,8,4,6,2,5,7,3,0,0,2,6,14,0.198,0.093,80,2,0.143,36,72,196,1,1,2022-03-12,96.00666666666666,3,9,1,0,12,25,8,0,1,194,9,6,0.0,0.0,0.04966666666666667,0.08900000000000001,0,59,14
12,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100998,2022-03-11T00:00:00,MIA vs. CLE,W,32.375,1,4,1,4,0,0,0,4,10,3,0,1,4,3,3,0.103,0.056,64,0,0.0,36,72,196,0,0,2022-03-11,63.63166666666666,2,5,1,0,8,15,5,0,0,130,5,3,0.0,0.0,0.0465,0.082,0,59,13
13,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100983,2022-03-09T00:00:00,MIA vs. PHX,L,31.613333333333333,1,3,1,2,2,2,0,5,10,3,0,0,3,2,5,0.097,0.085,66,0,0.0,36,72,196,0,0,2022-03-09,32.01833333333333,1,3,0,0,3,5,2,0,0,64,2,1,0.0,0.0,0.008,0.067,0,59,11
14,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100970,2022-03-07T00:00:00,MIA vs. HOU,W,32.01833333333333,0,3,0,3,0,0,0,3,5,2,0,0,2,1,0,0.067,0.008,64,0,0.0,36,72,196,0,0,2022-03-07,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,59,9
15,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100908,2022-02-26T00:00:00,MIA vs. SAS,W,34.75,4,8,3,4,2,2,0,3,10,2,1,0,1,3,13,0.134,0.122,79,0,0.154,36,72,196,0,1,2022-02-26,35.593333333333334,1,7,4,0,9,4,2,2,0,76,4,7,2.0,0.0,0.188,0.213,1,59,0
16,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100900,2022-02-25T00:00:00,MIA @ NYK,W,35.593333333333334,4,11,2,7,9,9,0,9,4,2,2,0,4,7,19,0.213,0.188,76,4,0.0,36,72,196,2,0,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,58,41
17,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100885,2022-02-17T00:00:00,MIA @ CHA,W,46.413333333333334,9,16,6,11,1,2,2,7,5,3,2,0,3,3,25,0.196,0.212,86,6,0.0,36,72,196,3,0,2022-02-17,110.955,3,12,15,0,18,21,7,6,0,226,9,11,5.0,2.0,0.123,0.14700000000000002,0,58,33
18,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100868,2022-02-15T00:00:00,MIA vs. DAL,L,38.085,4,8,2,2,3,4,0,4,4,2,1,0,2,4,13,0.132,0.107,72,2,0.154,36,72,196,1,1,2022-02-15,72.87,2,10,9,0,14,17,5,5,0,154,7,7,4.0,1.0,0.131,0.15450000000000003,0,58,31
19,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100851,2022-02-12T00:00:00,MIA vs. BKN,W,36.416666666666664,4,10,0,3,5,6,0,3,6,2,1,0,4,5,13,0.169,0.062,79,6,0.154,36,72,196,3,1,2022-02-12,97.64666666666666,3,17,4,1,16,22,4,9,0,205,7,7,1.0,1.0,0.15166666666666667,0.109,0,58,28
20,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100833,2022-02-10T00:00:00,MIA @ NOP,W,36.45333333333333,5,9,4,7,0,0,0,11,11,3,4,0,3,2,14,0.14,0.2,75,2,0.0,36,72,196,1,0,2022-02-10,86.67666666666666,3,10,3,1,8,15,7,6,0,183,6,8,0.0,1.0,0.08833333333333333,0.109,0,58,26
21,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100811,2022-02-07T00:00:00,MIA @ WAS,W,30.066666666666666,4,6,3,5,0,0,0,4,5,1,1,0,1,3,11,0.108,0.119,63,0,0.182,36,72,196,0,1,2022-02-07,56.61,2,5,2,1,4,10,6,5,0,120,5,5,0.0,0.0,0.07300000000000001,0.10950000000000001,0,58,23
22,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100797,2022-02-05T00:00:00,MIA @ CHA,W,31.126666666666665,3,6,3,5,0,0,1,1,6,0,4,0,3,2,9,0.079,0.136,67,0,0.0,36,72,196,0,0,2022-02-05,25.483333333333334,1,0,1,0,3,4,6,1,0,53,2,3,0.0,0.0,0.01,0.14,0,58,21
23,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100521,2022-02-03T00:00:00,MIA @ SAS,W,25.483333333333334,0,1,0,0,2,2,0,3,4,6,1,0,2,3,2,0.14,0.01,53,0,0.0,36,72,196,0,0,2022-02-03,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,58,19
24,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100645,2022-01-15T00:00:00,MIA vs. PHI,L,34.63666666666666,2,11,2,6,2,2,0,2,7,0,1,0,4,2,8,0.152,0.035,69,0,0.0,36,72,196,0,0,2022-01-15,98.51166666666667,3,15,13,2,10,26,7,4,2,204,11,9,4.0,1.0,0.09000000000000001,0.17533333333333334,1,58,0
25,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100636,2022-01-14T00:00:00,MIA vs. ATL,W,36.016666666666666,4,9,3,6,2,2,1,3,8,3,1,2,4,4,13,0.163,0.087,71,0,0.154,36,72,196,0,1,2022-01-14,62.495000000000005,2,9,10,1,7,18,4,3,0,133,7,5,4.0,0.0,0.0915,0.1815,0,57,22
26,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100621,2022-01-12T00:00:00,MIA @ ATL,W,27.6,2,9,1,5,3,4,0,6,5,2,3,0,3,3,8,0.2,0.083,60,2,0.0,36,72,196,1,0,2022-01-12,51.01833333333334,2,7,7,1,3,22,3,1,0,103,5,4,3.0,0.0,0.16,0.1785,0,57,20
27,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100596,2022-01-08T00:00:00,MIA @ PHX,W,34.895,5,10,2,4,2,2,1,1,13,2,0,0,4,2,14,0.163,0.1,73,6,0.0,36,72,196,3,0,2022-01-08,90.93333333333334,3,18,10,2,11,32,10,3,0,186,8,10,4.0,1.0,0.14900000000000002,0.19499999999999998,0,57,16
28,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100576,2022-01-05T00:00:00,MIA @ POR,W,16.123333333333335,1,4,1,3,4,4,0,2,9,1,1,0,1,2,7,0.194,0.22,30,0,0.0,36,72,196,0,0,2022-01-05,111.59333333333333,3,22,13,5,9,26,13,2,2,238,10,14,5.0,1.0,0.07933333333333334,0.19266666666666668,0,57,13
29,2021-22,200768,Kyle Lowry,1610612748,MIA,Miami Heat,0022100559,2022-01-03T00:00:00,MIA @ GSW,L,38.49333333333333,4,13,2,9,6,7,2,4,11,8,1,0,5,4,16,0.253,0.062,81,4,0.0,36,72,196,2,0,2022-01-03,73.1,2,13,9,3,5,15,5,1,2,157,5,10,3.0,1.0,0.08800000000000001,0.1625,0,57,11
