,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101216,2022-04-10T00:00:00,BKN vs. IND,W,39.876666666666665,15,20,4,6,1,2,1,6,5,3,1,0,2,4,35,0.261,0.18,87,16,0.171,30,74,195,8,3,2022-04-10,122.38333333333334,3,35,37,2,15,21,9,7,1,249,9,12,13.0,4.0,0.1446666666666667,0.285,0,97,26
1,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101205,2022-04-08T00:00:00,BKN vs. CLE,W,39.46666666666667,7,22,1,7,3,3,0,6,8,2,2,0,4,2,18,0.258,0.077,77,8,0.222,30,74,195,4,2,2022-04-08,127.41333333333333,3,42,40,2,11,19,9,6,1,273,10,12,14.0,2.0,0.14233333333333334,0.29833333333333334,0,97,24
2,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101191,2022-04-06T00:00:00,BKN @ NYK,W,42.65,9,26,3,12,3,3,2,6,7,3,3,0,3,4,24,0.288,0.138,88,8,0.167,30,74,195,4,2,2022-04-06,129.49166666666667,3,39,39,0,8,17,9,5,1,279,9,10,13.0,2.0,0.13,0.288,0,97,22
3,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101180,2022-04-05T00:00:00,BKN vs. HOU,W,40.266666666666666,13,24,8,16,8,8,0,3,6,4,2,1,2,6,42,0.309,0.219,84,10,0.0,30,74,195,5,0,2022-04-05,128.84166666666667,3,31,41,0,6,15,11,4,0,279,11,10,9.0,4.0,0.07300000000000001,0.2816666666666667,0,97,21
4,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101163,2022-04-02T00:00:00,BKN @ ATL,L,44.49666666666667,12,32,7,14,0,0,0,2,6,2,1,0,5,2,31,0.298,0.07,101,10,0.0,30,74,195,5,0,2022-04-02,155.17333333333335,4,31,42,1,9,26,12,5,2,327,10,13,9.0,7.0,0.0765,0.2425,0,97,18
5,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101148,2022-03-31T00:00:00,BKN vs. MIL,L,44.72833333333333,9,22,4,9,3,3,0,3,5,3,2,0,2,2,25,0.257,0.101,94,6,0.16,30,74,195,3,2,2022-03-31,110.44500000000001,3,22,29,1,6,21,9,3,2,233,8,11,6.0,5.0,0.06833333333333334,0.23766666666666666,0,97,16
6,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101133,2022-03-29T00:00:00,BKN vs. DET,W,39.61666666666667,7,18,4,8,6,6,0,1,4,6,1,0,4,6,24,0.29,0.048,84,2,0.167,30,74,195,1,2,2022-03-29,114.64833333333334,3,25,35,1,7,25,6,3,3,241,9,10,13.0,4.0,0.10733333333333334,0.24266666666666667,0,97,14
7,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101120,2022-03-27T00:00:00,BKN vs. CHA,L,40.52,6,22,1,9,3,4,1,1,11,2,0,2,2,4,16,0.263,0.05,83,6,0.25,30,74,195,3,2,2022-03-27,74.12833333333333,2,16,22,0,6,14,4,3,1,158,7,6,10.0,2.0,0.136,0.23249999999999998,0,97,12
8,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101111,2022-03-26T00:00:00,BKN @ MIA,W,30.308333333333334,4,11,1,5,2,2,0,4,6,1,2,0,2,1,11,0.16,0.107,66,4,0.182,30,74,195,2,1,2022-03-26,43.82,1,11,16,0,2,8,3,1,1,92,5,5,8.0,1.0,0.165,0.305,0,97,11
9,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101089,2022-03-23T00:00:00,BKN @ MEM,L,43.82,15,27,6,11,7,7,0,2,8,3,1,1,5,5,43,0.305,0.165,92,16,0.047,30,74,195,8,1,2022-03-23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,97,8
10,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022101030,2022-03-15T00:00:00,BKN @ ORL,W,34.93333333333333,20,31,8,12,12,13,2,4,4,1,4,1,3,7,60,0.416,0.296,80,14,0.167,30,74,195,7,5,2022-03-15,67.79666666666667,2,23,13,1,6,11,4,2,3,148,7,11,6.0,3.0,0.1975,0.279,1,97,0
11,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022100993,2022-03-10T00:00:00,BKN @ PHI,W,30.303333333333335,8,17,5,11,1,2,1,3,5,1,1,2,3,2,22,0.254,0.143,64,4,0.091,30,74,195,2,1,2022-03-10,74.73666666666666,2,18,19,1,6,12,6,4,1,164,7,11,6.0,6.0,0.173,0.265,1,96,0
12,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022100975,2022-03-08T00:00:00,BKN @ CHA,W,37.49333333333333,15,19,9,12,11,13,0,3,6,3,1,1,4,9,50,0.304,0.252,84,8,0.08,30,74,195,4,2,2022-03-08,37.24333333333333,1,6,12,1,3,6,3,3,0,80,3,2,2.0,4.0,0.094,0.226,0,95,10
13,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022100960,2022-03-06T00:00:00,BKN @ BOS,L,37.24333333333333,8,18,2,6,1,1,1,3,6,3,3,0,3,2,19,0.226,0.094,80,4,0.421,30,74,195,2,4,2022-03-06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,95,8
14,2021-22,202681,Kyrie Irving,1610612751,BKN,Brooklyn Nets,0022100910,2022-02-26T00:00:00,BKN @ MIL,W,39.15,14,26,2,6,8,9,0,5,5,2,2,0,3,5,38,0.348,0.193,85,16,0.211,30,74,195,8,4,2022-02-26,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,95,0
