,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101218,2022-04-10T00:00:00,CLE vs. MIL,W,20.65,8,11,4,7,3,3,0,7,0,0,0,0,1,2,23,0.25,0.245,44,8,0.0,25,83,240,4,0,2022-04-10,98.46333333333334,3,24,18,1,14,3,3,0,2,197,13,8,7.0,0.0,0.081,0.23933333333333331,0,17,30
1,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101205,2022-04-08T00:00:00,CLE @ BKN,L,25.016666666666666,7,14,2,5,1,1,1,3,0,2,0,0,4,3,17,0.308,0.067,50,10,0.0,25,83,240,5,0,2022-04-08,97.46333333333332,3,21,10,0,20,4,1,0,2,192,13,8,2.0,1.0,0.10899999999999999,0.17733333333333334,0,17,28
2,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101179,2022-04-05T00:00:00,CLE @ ORL,L,34.71666666666667,7,16,6,12,5,5,0,4,1,0,0,2,3,3,25,0.241,0.102,72,2,0.0,25,83,240,1,0,2022-04-05,115.21333333333334,4,19,16,3,23,4,3,1,1,228,16,8,5.0,3.0,0.07675,0.17325000000000002,0,17,25
3,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101170,2022-04-03T00:00:00,CLE vs. PHI,L,38.73,5,12,4,7,2,2,0,7,2,1,0,0,6,2,16,0.169,0.074,75,2,0.0,25,83,240,1,0,2022-04-03,105.61666666666665,4,21,17,3,19,2,4,1,1,215,13,9,7.0,3.0,0.07550000000000001,0.20400000000000001,0,17,23
4,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101162,2022-04-02T00:00:00,CLE @ NYK,W,24.016666666666666,2,3,1,2,5,6,0,9,1,0,0,0,4,3,10,0.122,0.151,45,0,0.2,25,83,240,0,1,2022-04-02,113.95166666666665,4,26,22,6,16,3,6,3,2,232,15,9,11.0,2.0,0.05850000000000001,0.235,0,17,22
5,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022100452,2022-03-31T00:00:00,CLE @ ATL,L,19.533333333333335,3,8,1,4,1,1,2,2,0,2,1,0,4,2,8,0.229,0.013,42,4,0.0,25,83,240,2,0,2022-03-31,130.535,4,28,22,5,18,4,5,3,2,262,13,11,13.0,2.0,0.08650000000000001,0.219,0,17,20
6,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101136,2022-03-30T00:00:00,CLE vs. DAL,L,32.93333333333333,5,12,1,6,2,2,1,5,1,0,0,1,2,1,13,0.173,0.069,66,4,0.308,25,83,240,2,2,2022-03-30,97.60166666666666,3,22,16,4,13,3,5,3,1,196,11,10,11.0,0.0,0.09233333333333334,0.23433333333333337,0,17,19
7,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101123,2022-03-28T00:00:00,CLE vs. ORL,W,29.133333333333333,6,15,3,9,5,5,0,3,0,2,0,0,3,3,20,0.292,0.069,62,6,0.0,25,83,240,3,0,2022-03-28,105.76833333333333,3,23,12,5,18,4,3,3,1,212,10,8,10.0,0.0,0.10033333333333334,0.19000000000000003,0,17,17
8,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101110,2022-03-26T00:00:00,CLE vs. CHI,L,32.35166666666667,5,13,1,7,3,4,3,6,2,2,2,1,6,3,14,0.246,0.083,62,8,0.0,25,83,240,4,0,2022-03-26,106.23333333333332,3,20,10,2,16,4,2,1,0,218,6,7,8.0,0.0,0.085,0.152,0,17,15
9,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101095,2022-03-24T00:00:00,CLE @ TOR,L,36.11666666666667,6,10,2,6,6,6,1,4,1,1,1,0,2,4,20,0.165,0.125,72,8,0.0,25,83,240,4,0,2022-03-24,112.15,3,26,12,1,22,6,2,4,0,229,8,6,9.0,0.0,0.11166666666666665,0.16566666666666666,0,17,13
10,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101072,2022-03-21T00:00:00,CLE vs. LAL,L,37.3,6,12,4,10,2,2,1,8,1,0,0,0,2,1,18,0.159,0.093,78,4,0.0,25,83,240,2,0,2022-03-21,154.105,4,28,16,1,26,8,3,7,0,297,10,9,10.0,0.0,0.10625,0.15575,0,17,10
11,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101060,2022-03-19T00:00:00,CLE vs. DET,W,32.81666666666667,3,8,1,4,1,2,0,4,2,1,0,0,2,2,8,0.132,0.037,68,4,0.0,25,83,240,2,0,2022-03-19,121.28833333333333,3,24,12,1,22,6,2,7,0,229,8,7,8.0,0.0,0.12933333333333333,0.16366666666666665,0,17,8
12,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101049,2022-03-18T00:00:00,CLE vs. DEN,W,42.03333333333333,11,18,6,12,3,4,0,10,3,1,4,0,4,3,31,0.206,0.205,83,10,0.0,25,83,240,5,0,2022-03-18,111.07166666666666,3,18,12,1,16,4,2,4,1,210,6,7,5.0,2.0,0.09166666666666667,0.157,0,17,7
13,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101034,2022-03-16T00:00:00,CLE vs. PHI,L,33.18833333333333,4,9,2,6,3,4,0,4,2,0,2,0,2,2,13,0.159,0.078,63,4,0.0,25,83,240,2,0,2022-03-16,77.88333333333334,2,12,9,1,12,2,2,2,1,147,4,5,3.0,2.0,0.0985,0.156,0,17,5
14,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022101020,2022-03-14T00:00:00,CLE vs. LAC,W,46.06666666666667,5,9,4,6,3,4,1,8,1,1,1,0,2,2,17,0.126,0.105,83,2,0.0,25,83,240,1,0,2022-03-14,61.95666666666666,2,11,15,3,6,2,1,2,2,128,5,5,9.0,2.0,0.099,0.1985,0,17,3
15,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022100998,2022-03-11T00:00:00,CLE @ MIA,L,31.816666666666666,6,12,2,6,1,1,0,4,1,1,1,1,2,3,15,0.186,0.092,64,4,0.267,25,83,240,2,2,2022-03-11,85.39,3,18,21,6,18,1,2,2,2,178,7,5,14.0,1.0,0.11499999999999999,0.208,1,17,0
16,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022100976,2022-03-08T00:00:00,CLE @ IND,W,30.14,8,14,1,5,4,4,3,2,1,0,1,1,3,2,21,0.211,0.106,64,14,0.0,25,83,240,7,0,2022-03-08,86.03333333333333,3,19,16,3,21,3,3,3,1,179,4,7,8.0,1.0,0.10966666666666665,0.20233333333333334,0,16,45
17,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022100962,2022-03-06T00:00:00,CLE vs. TOR,W,37.71666666666667,8,18,3,12,3,4,0,12,0,1,0,1,0,3,22,0.213,0.196,79,10,0.0,25,83,240,5,0,2022-03-06,83.39666666666668,3,13,11,3,13,4,7,3,0,177,6,10,4.0,1.0,0.04866666666666667,0.19099999999999998,0,16,43
18,2021-22,1628374,Lauri Markkanen,1610612739,CLE,Cleveland Cavaliers,0022100947,2022-03-04T00:00:00,CLE @ PHI,L,17.533333333333335,3,7,0,1,0,0,3,4,0,1,1,0,4,0,6,0.2,0.043,35,4,0.333,25,83,240,2,1,2022-03-04,100.41333333333333,3,21,14,0,15,5,7,2,1,211,2,16,2.0,0.0,0.08633333333333333,0.213,0,16,41
