,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101160,2022-04-01T00:00:00,LAL vs. NOP,L,39.516666666666666,13,23,3,8,9,12,0,8,4,6,1,0,3,9,38,0.34,0.163,89,16,0.105,37,81,250,8,2,2022-04-01,41.625,1,13,14,1,8,5,4,0,1,79,1,4,7.0,0.0,0.181,0.379,1,62,0
1,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101119,2022-03-27T00:00:00,LAL @ NOP,L,41.625,14,27,7,13,4,6,1,8,5,4,0,1,1,4,39,0.379,0.181,79,14,0.0,37,81,250,7,0,2022-03-27,40.60666666666667,1,4,25,1,9,12,3,1,1,82,0,5,13.0,4.0,0.207,0.367,1,61,0
2,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101072,2022-03-21T00:00:00,LAL @ CLE,W,40.60666666666667,17,29,0,4,4,4,1,9,12,3,1,1,0,5,38,0.367,0.207,82,26,0.211,37,81,250,13,4,2022-03-21,157.96666666666667,4,32,63,9,24,20,15,1,6,329,14,24,35.0,4.0,0.13225,0.31600000000000006,1,60,0
3,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101061,2022-03-19T00:00:00,LAL @ WAS,L,35.88333333333333,16,29,4,10,2,3,2,8,6,2,0,0,3,4,38,0.356,0.181,77,24,0.0,37,81,250,12,0,2022-03-19,152.28333333333333,4,33,53,7,23,20,17,1,7,322,11,25,27.0,5.0,0.13,0.31575,0,59,14
4,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101051,2022-03-18T00:00:00,LAL @ TOR,W,44.68333333333333,15,26,2,7,4,7,4,5,7,3,0,2,2,7,36,0.327,0.173,86,22,0.111,37,81,250,11,2,2022-03-18,143.3,4,35,50,3,25,19,17,1,6,308,12,26,23.0,8.0,0.17325,0.32899999999999996,0,59,13
5,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101039,2022-03-16T00:00:00,LAL @ MIN,L,37.06666666666667,8,21,1,8,2,5,0,5,4,5,1,2,5,7,19,0.304,0.03,80,10,0.211,37,81,250,5,2,2022-03-16,151.5,4,36,54,5,32,27,17,1,8,328,8,24,26.0,6.0,0.19674999999999998,0.33325,0,59,11
6,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101028,2022-03-14T00:00:00,LAL vs. TOR,L,40.333333333333336,11,19,4,7,4,7,3,6,3,5,0,2,4,6,30,0.277,0.145,86,14,0.0,37,81,250,7,0,2022-03-14,111.16666666666667,3,29,42,2,26,24,12,1,6,242,4,18,19.0,6.0,0.214,0.35200000000000004,0,59,9
7,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101019,2022-03-13T00:00:00,LAL @ PHX,L,30.2,10,20,5,11,6,7,0,7,6,4,0,1,0,5,31,0.355,0.172,70,8,0.065,37,81,250,4,1,2022-03-13,80.96666666666667,2,18,33,2,19,18,8,1,5,172,4,13,15.0,5.0,0.235,0.35050000000000003,0,59,8
8,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022101004,2022-03-11T00:00:00,LAL vs. WAS,W,35.7,18,25,6,9,8,8,0,7,6,3,0,1,3,8,50,0.38,0.346,72,14,0.2,37,81,250,7,5,2022-03-11,83.81666666666666,2,20,37,4,20,15,9,1,5,182,1,13,21.0,0.0,0.201,0.371,0,59,6
9,2021-22,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,0022100985,2022-03-09T00:00:00,LAL @ HOU,L,45.266666666666666,9,26,1,9,4,6,2,12,12,5,1,4,1,5,23,0.321,0.124,100,16,0.0,37,81,250,8,0,2022-03-09,75.61666666666667,2,20,29,3,15,7,8,0,2,157,2,16,19.0,0.0,0.1915,0.375,0,59,4
