,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100637,2022-01-14T00:00:00,CHI vs. GSW,L,23.6,5,12,4,10,1,1,1,1,3,5,0,0,3,1,15,0.321,0.037,48,2,0.0,24,78,190,1,0,2022-01-14,125.85,4,28,5,5,19,23,4,9,2,262,10,5,3.0,0.0,0.13175,0.134,1,17,0
1,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100625,2022-01-12T00:00:00,CHI vs. BKN,L,31.55,3,6,2,4,1,2,2,5,7,1,1,1,2,1,9,0.113,0.108,64,2,0.0,24,78,190,1,0,2022-01-12,94.3,3,24,3,3,14,16,3,8,1,198,8,4,2.0,0.0,0.1396666666666667,0.14100000000000001,0,16,23
2,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100415,2022-01-11T00:00:00,CHI vs. DET,W,27.266666666666666,6,9,4,7,2,3,1,5,5,1,3,1,3,3,18,0.164,0.202,60,4,0.0,24,78,190,2,0,2022-01-11,67.03333333333333,2,17,1,2,9,11,2,5,0,138,5,1,0.0,0.0,0.1085,0.1295,0,16,22
3,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100603,2022-01-09T00:00:00,CHI @ DAL,L,32.28333333333333,3,7,3,6,0,0,1,5,5,1,3,0,4,0,9,0.118,0.092,61,0,0.0,24,78,190,0,0,2022-01-09,66.93333333333334,2,18,1,2,10,13,3,5,0,146,3,2,0.0,0.0,0.0945,0.137,0,16,20
4,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100585,2022-01-07T00:00:00,CHI vs. WAS,W,34.75,6,11,6,11,0,0,1,4,6,1,2,0,1,1,18,0.141,0.125,77,0,0.0,24,78,190,0,0,2022-01-07,32.18333333333333,1,7,1,1,6,7,2,3,0,69,2,1,0.0,0.0,0.064,0.133,0,16,18
5,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100555,2022-01-03T00:00:00,CHI vs. ORL,W,32.18333333333333,1,8,1,7,0,0,1,6,7,2,3,0,2,1,3,0.133,0.064,69,0,0.0,24,78,190,0,0,2022-01-03,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,14
6,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100459,2021-12-20T00:00:00,CHI vs. HOU,W,34.93333333333333,6,12,4,9,3,3,0,5,8,2,5,1,4,3,19,0.19,0.154,70,4,0.0,24,78,190,2,0,2021-12-20,38.06666666666667,1,9,6,1,3,4,1,1,1,84,3,1,2.0,2.0,0.119,0.175,1,16,0
7,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100448,2021-12-19T00:00:00,CHI vs. LAL,W,38.06666666666667,7,15,3,9,2,2,1,3,4,1,1,1,3,1,19,0.175,0.119,84,4,0.211,24,78,190,2,2,2021-12-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,221
8,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100394,2021-12-11T00:00:00,CHI @ MIA,L,39.8,5,15,4,12,1,3,1,4,3,5,1,1,1,2,15,0.231,0.038,79,2,0.0,24,78,190,1,0,2021-12-11,118.88666666666666,3,24,13,8,16,18,10,5,7,246,2,5,5.0,1.0,0.12733333333333333,0.17633333333333334,0,15,213
9,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100367,2021-12-08T00:00:00,CHI @ CLE,L,39.36666666666667,6,12,4,9,3,3,1,3,7,5,3,0,0,2,19,0.189,0.147,80,4,0.0,24,78,190,2,0,2021-12-08,113.53666666666666,3,25,14,8,17,17,7,2,10,237,6,3,4.0,1.0,0.085,0.18166666666666664,0,15,210
10,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100357,2021-12-06T00:00:00,CHI vs. DEN,W,39.666666666666664,7,15,4,8,2,3,5,5,4,2,0,4,1,3,20,0.194,0.141,83,4,0.1,24,78,190,2,1,2021-12-06,106.50333333333333,3,22,10,3,13,21,7,3,7,224,9,1,4.0,0.0,0.07266666666666667,0.16266666666666665,0,15,208
11,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100343,2021-12-04T00:00:00,CHI @ BKN,W,39.85333333333333,3,10,2,7,0,0,2,8,7,3,2,3,1,0,8,0.146,0.094,83,2,0.0,24,78,190,1,0,2021-12-04,103.35000000000001,3,26,8,2,15,20,8,2,4,216,12,1,4.0,0.0,0.071,0.17533333333333334,0,15,206
12,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100328,2021-12-02T00:00:00,CHI @ NYK,W,34.016666666666666,3,14,2,10,0,0,1,4,6,2,0,3,4,0,8,0.205,0.02,71,2,0.0,24,78,190,1,0,2021-12-02,100.71666666666667,3,23,4,1,15,20,9,7,1,212,10,2,3.0,0.0,0.11699999999999999,0.15866666666666665,0,15,204
13,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100307,2021-11-29T00:00:00,CHI vs. CHA,W,32.63333333333333,6,8,4,5,0,0,0,1,8,2,1,1,4,1,16,0.137,0.104,70,4,0.0,24,78,190,2,0,2021-11-29,130.36666666666667,4,29,8,1,24,19,11,8,3,276,11,1,3.0,0.0,0.09025,0.16075,0,15,201
14,2021-22,1628366,Lonzo Ball,1610612741,CHI,Chicago Bulls,0022100296,2021-11-27T00:00:00,CHI vs. MIA,L,36.7,4,12,3,11,0,0,1,10,6,4,1,0,4,0,11,0.184,0.089,75,2,0.0,24,78,190,1,0,2021-11-27,129.23333333333332,4,25,11,3,17,18,9,8,3,270,11,1,3.0,0.0,0.08700000000000001,0.1545,0,15,199
