,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100852,2022-02-12T00:00:00,OKC @ CHI,L,37.833333333333336,8,19,5,12,10,14,0,2,1,1,1,0,3,8,31,0.31,0.116,80,6,0.0,23,75,215,3,0,2022-02-12,95.49,3,26,26,3,9,6,12,4,0,204,8,15,13.0,0.0,0.05566666666666667,0.2933333333333333,1,15,0
1,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100840,2022-02-11T00:00:00,OKC @ PHI,L,26.7,6,17,1,5,2,2,0,4,1,1,0,0,3,3,15,0.292,0.049,57,10,0.0,23,75,215,5,0,2022-02-11,102.23666666666665,3,29,21,5,10,7,14,4,1,217,9,17,11.0,0.0,0.08600000000000001,0.2866666666666667,0,14,7
2,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100827,2022-02-09T00:00:00,OKC vs. TOR,L,30.833333333333332,4,14,2,9,5,5,0,4,4,6,1,0,2,3,15,0.286,0.051,64,4,0.0,23,75,215,2,0,2022-02-09,110.93333333333334,3,30,23,5,12,6,9,3,2,229,10,19,12.0,0.0,0.12433333333333334,0.269,0,14,5
3,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100813,2022-02-07T00:00:00,OKC vs. GSW,L,37.95666666666666,9,21,3,12,5,7,3,1,1,5,3,0,3,9,26,0.302,0.067,83,12,0.0,23,75,215,6,0,2022-02-07,107.02666666666666,3,26,22,4,15,8,7,3,2,213,7,14,10.0,0.0,0.15100000000000002,0.25933333333333336,0,14,3
4,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100795,2022-02-04T00:00:00,OKC @ POR,W,33.446666666666665,7,15,4,8,5,8,2,5,2,3,0,1,4,5,23,0.272,0.14,70,6,0.0,23,75,215,3,0,2022-02-04,114.47999999999999,3,27,22,4,16,10,6,5,1,228,7,13,14.0,0.0,0.17,0.238,1,14,0
5,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100778,2022-02-02T00:00:00,OKC @ DAL,W,39.53,9,17,6,10,6,6,0,6,3,1,0,1,3,5,30,0.233,0.166,76,6,0.0,23,75,215,3,0,2022-02-02,74.94999999999999,2,17,15,4,10,7,5,5,0,152,4,8,11.0,0.0,0.172,0.2405,0,13,33
6,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100765,2022-01-31T00:00:00,OKC vs. POR,W,34.05,6,16,2,8,4,4,2,4,3,3,3,0,0,4,18,0.273,0.147,67,8,0.0,23,75,215,4,0,2022-01-31,71.76666666666667,2,14,15,5,10,6,2,2,1,151,8,8,9.0,0.0,0.136,0.2015,0,13,31
7,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100741,2022-01-28T00:00:00,OKC vs. IND,L,40.9,10,16,3,9,4,4,2,6,4,2,2,0,4,4,27,0.208,0.197,85,14,0.0,23,75,215,7,0,2022-01-28,91.43166666666666,3,16,14,3,7,4,5,2,1,195,10,10,3.0,0.0,0.015666666666666666,0.17066666666666666,0,13,28
8,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100730,2022-01-24T00:00:00,OKC vs. CHI,L,30.866666666666667,5,13,3,5,3,4,3,4,2,0,0,1,4,4,16,0.195,0.075,66,4,0.0,23,75,215,2,0,2022-01-24,124.50333333333333,4,22,22,2,10,4,9,3,1,264,16,11,6.0,1.0,0.0185,0.1905,0,13,24
9,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100695,2022-01-22T00:00:00,OKC @ CLE,L,31.981666666666666,3,10,2,7,2,2,0,0,1,2,2,0,4,6,10,0.178,0.0,65,2,0.0,23,75,215,1,0,2022-01-22,121.97166666666668,4,21,27,2,13,3,8,1,1,259,14,8,7.0,2.0,0.035,0.2035,0,13,22
10,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100684,2022-01-21T00:00:00,OKC @ CHA,L,28.583333333333332,1,7,1,4,0,0,0,3,1,3,0,0,2,0,3,0.139,-0.028,64,0,0.0,23,75,215,0,0,2022-01-21,93.38833333333334,3,17,24,2,10,2,5,1,1,195,12,8,7.0,2.0,0.055999999999999994,0.225,0,13,21
11,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100676,2022-01-19T00:00:00,OKC @ SAS,L,27.10333333333333,4,13,3,6,4,4,2,0,0,1,0,0,4,3,15,0.225,0.015,60,2,0.0,23,75,215,1,0,2022-01-19,99.485,3,21,24,0,11,4,4,1,1,203,10,9,8.0,3.0,0.09033333333333333,0.23433333333333337,0,13,19
12,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100663,2022-01-17T00:00:00,OKC @ DAL,L,36.835,7,14,2,5,2,2,0,7,2,3,1,1,6,2,18,0.22,0.087,75,8,0.111,23,75,215,4,1,2022-01-17,96.68333333333334,3,23,22,1,8,4,1,1,0,197,6,9,7.0,3.0,0.09166666666666667,0.22433333333333336,0,13,17
13,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100646,2022-01-15T00:00:00,OKC vs. CLE,L,29.45,5,14,2,6,5,5,0,3,0,1,0,0,2,3,17,0.23,0.066,60,4,0.118,23,75,215,2,1,2022-01-15,95.71666666666667,3,26,18,1,10,5,0,1,1,192,7,12,7.0,3.0,0.09266666666666667,0.23233333333333336,0,13,15
14,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100630,2022-01-13T00:00:00,OKC @ BKN,W,33.2,9,17,6,10,3,4,0,1,2,0,0,0,2,4,27,0.253,0.118,68,4,0.074,23,75,215,2,1,2022-01-13,89.16666666666666,3,23,15,1,12,4,1,1,3,182,7,12,7.0,2.0,0.08666666666666667,0.22366666666666668,0,13,13
15,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100612,2022-01-11T00:00:00,OKC @ WAS,L,34.03333333333333,6,14,2,7,3,3,1,4,2,0,1,0,2,2,17,0.19,0.091,69,6,0.118,23,75,215,3,1,2022-01-11,55.13333333333333,2,16,8,0,8,2,1,0,3,113,5,10,4.0,1.0,0.0845,0.2405,0,13,11
16,2021-22,1629652,Luguentz Dort,1610612760,OKC,Oklahoma City Thunder,0022100601,2022-01-09T00:00:00,OKC vs. DEN,L,28.483333333333334,4,13,1,9,5,6,0,5,1,0,0,1,3,6,14,0.254,0.069,55,4,0.143,23,75,215,2,1,2022-01-09,26.65,1,7,4,0,3,1,1,0,2,58,2,4,2.0,0.0,0.1,0.227,0,13,9
