,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101222,2022-04-10T00:00:00,LAC vs. OKC,W,27.683333333333334,7,17,4,10,2,2,1,2,4,1,0,0,1,1,20,0.279,0.12,57,2,0.2,26,77,206,1,2,2022-04-10,44.43333333333333,2,11,5,2,1,2,3,3,0,89,1,0,3.0,0.0,0.112,0.191,0,15,7
1,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101212,2022-04-09T00:00:00,LAC vs. SAC,W,19.966666666666665,4,8,2,4,0,0,1,1,1,3,3,0,1,0,10,0.234,0.1,42,4,0.0,26,77,206,2,0,2022-04-09,24.466666666666665,1,7,1,1,0,1,0,0,0,47,0,0,1.0,0.0,0.124,0.148,0,15,6
2,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101177,2022-04-03T00:00:00,LAC vs. NOP,W,24.466666666666665,5,8,4,7,0,1,1,0,1,0,0,0,0,0,14,0.148,0.124,47,2,0.0,26,77,206,1,0,2022-04-03,90.19833333333332,3,20,12,1,11,6,0,2,0,185,3,3,6.0,2.0,0.11666666666666665,0.17066666666666666,1,15,0
3,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101156,2022-04-01T00:00:00,LAC @ MIL,W,32.38333333333333,8,15,3,8,4,4,0,4,6,0,1,0,1,1,23,0.205,0.137,68,8,0.087,26,77,206,4,1,2022-04-01,80.29833333333333,3,16,6,1,8,1,1,2,0,164,3,3,2.0,1.0,0.08333333333333333,0.14466666666666667,0,14,48
4,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101149,2022-03-31T00:00:00,LAC @ CHI,L,23.013333333333332,3,8,2,5,3,3,1,4,0,0,0,0,0,1,11,0.196,0.102,45,2,0.0,26,77,206,1,0,2022-03-31,57.285000000000004,2,11,3,0,4,1,1,2,0,119,3,2,1.0,1.0,0.074,0.119,0,14,47
5,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101135,2022-03-29T00:00:00,LAC vs. UTA,W,34.80166666666667,6,9,4,7,1,1,0,3,0,0,1,0,2,1,17,0.111,0.111,72,2,0.118,26,77,206,1,1,2022-03-29,51.333333333333336,2,10,4,0,2,2,1,1,0,102,2,1,1.0,0.0,0.028499999999999998,0.136,0,14,45
6,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101106,2022-03-25T00:00:00,LAC vs. PHI,L,22.483333333333334,1,5,1,4,3,3,0,1,1,1,1,0,1,1,6,0.127,0.037,47,0,0.0,26,77,206,0,0,2022-03-25,53.68333333333334,2,15,6,0,5,3,1,0,0,109,1,1,2.0,1.0,0.0545,0.1825,0,14,41
7,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101083,2022-03-22T00:00:00,LAC @ DEN,L,28.85,3,9,2,6,0,0,0,1,1,0,0,0,1,0,8,0.145,0.02,55,2,0.0,26,77,206,1,0,2022-03-22,46.95333333333333,2,9,5,0,6,3,1,0,0,96,1,1,1.0,1.0,0.0445,0.132,0,14,38
8,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101055,2022-03-18T00:00:00,LAC @ UTA,L,24.833333333333332,5,12,3,9,0,0,0,4,2,1,0,0,0,1,13,0.22,0.089,54,2,0.154,26,77,206,1,1,2022-03-18,118.96666666666667,4,15,18,1,10,11,2,2,0,227,7,5,2.0,5.0,0.07700000000000001,0.13525,0,14,34
9,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101044,2022-03-16T00:00:00,LAC vs. TOR,L,22.12,0,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0.044,0.0,42,0,0.0,26,77,206,0,0,2022-03-16,128.06,4,22,21,1,8,11,3,2,1,248,8,6,3.0,7.0,0.09775000000000002,0.17075,0,14,32
10,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101020,2022-03-14T00:00:00,LAC @ CLE,L,40.138333333333335,5,12,1,5,3,3,0,2,4,1,1,0,4,3,14,0.161,0.055,75,2,0.429,26,77,206,1,3,2022-03-14,104.72166666666666,4,25,17,3,7,7,3,1,1,211,4,3,2.0,5.0,0.10300000000000001,0.19575,0,14,30
11,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022101013,2022-03-13T00:00:00,LAC @ DET,W,25.441666666666666,6,13,4,7,0,0,1,2,2,0,0,0,0,0,16,0.228,0.113,50,2,0.125,26,77,206,1,1,2022-03-13,103.01333333333334,4,23,13,3,8,5,5,1,1,208,6,3,1.0,4.0,0.09325000000000001,0.1805,0,14,29
12,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100996,2022-03-11T00:00:00,LAC @ ATL,L,31.266666666666666,4,6,3,3,3,3,0,4,4,1,1,0,2,2,14,0.108,0.14,60,0,0.143,26,77,206,0,1,2022-03-11,71.74666666666667,3,20,10,3,4,1,4,0,1,148,4,1,1.0,3.0,0.07766666666666666,0.20466666666666666,0,14,27
13,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100992,2022-03-09T00:00:00,LAC vs. WAS,W,31.213333333333335,7,12,4,7,1,1,0,0,1,1,0,1,2,1,19,0.186,0.083,63,2,0.211,26,77,206,1,2,2022-03-09,64.58833333333334,3,17,9,3,5,1,5,0,0,133,2,1,0.0,2.0,0.06999999999999999,0.19900000000000004,0,14,25
14,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100980,2022-03-08T00:00:00,LAC @ GSW,L,16.8,4,11,3,8,0,0,2,1,0,1,0,0,0,0,11,0.261,0.076,38,0,0.182,26,77,206,0,1,2022-03-08,68.13833333333334,3,12,7,1,7,2,5,0,0,141,3,2,0.0,1.0,0.062,0.1446666666666667,0,14,24
15,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100966,2022-03-06T00:00:00,LAC vs. NYK,L,23.733333333333334,3,7,3,5,1,1,1,3,0,2,0,0,2,0,10,0.167,0.074,47,0,0.0,26,77,206,0,0,2022-03-06,67.80166666666668,3,14,5,0,7,3,3,0,0,142,1,2,0.0,1.0,0.03733333333333333,0.13133333333333333,0,14,22
16,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100945,2022-03-03T00:00:00,LAC vs. LAL,W,24.055,4,8,3,4,0,0,0,1,1,2,0,0,0,1,11,0.169,0.06,48,0,0.182,26,77,206,0,1,2022-03-03,78.00833333333333,3,18,2,0,12,4,3,1,0,166,3,2,1.0,0.0,0.063,0.12266666666666666,0,14,19
17,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100929,2022-03-01T00:00:00,LAC @ HOU,W,20.35,1,4,1,3,1,1,0,3,1,1,0,0,1,1,4,0.098,0.052,46,0,0.0,26,77,206,0,0,2022-03-01,57.65833333333333,2,15,1,0,9,3,2,1,0,120,2,1,1.0,0.0,0.0685,0.135,0,14,17
18,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100916,2022-02-27T00:00:00,LAC @ HOU,W,23.39666666666667,1,7,1,7,0,1,0,3,1,0,0,0,0,0,3,0.127,0.0,48,0,0.0,26,77,206,0,0,2022-02-27,34.26166666666666,1,8,1,0,6,2,2,1,0,72,2,1,1.0,0.0,0.137,0.143,0,14,15
19,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100904,2022-02-25T00:00:00,LAC @ LAL,W,34.26166666666666,6,9,5,8,1,1,0,6,2,2,1,0,2,1,18,0.143,0.137,72,2,0.0,26,77,206,1,0,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,13
20,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100888,2022-02-17T00:00:00,LAC vs. HOU,W,22.85,8,11,8,9,1,1,0,0,3,2,2,0,2,0,25,0.22,0.183,53,0,0.0,26,77,206,0,0,2022-02-17,71.39166666666667,3,11,6,1,9,9,4,2,0,146,6,0,0.0,3.0,0.09066666666666667,0.12900000000000003,0,14,5
21,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100873,2022-02-15T00:00:00,LAC @ PHX,L,24.455,4,8,3,4,0,0,1,3,4,2,1,0,0,0,11,0.164,0.141,51,0,0.182,26,77,206,0,1,2022-02-15,62.32,3,8,5,0,9,7,3,1,0,130,7,0,0.0,3.0,0.074,0.114,0,14,3
22,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100853,2022-02-12T00:00:00,LAC @ DAL,W,18.72,2,4,1,3,0,0,0,2,1,2,0,0,4,0,5,0.14,0.0,39,0,0.4,26,77,206,0,1,2022-02-12,65.78333333333333,3,11,6,1,8,9,1,3,0,141,4,0,0.0,3.0,0.08866666666666667,0.114,1,14,0
23,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100835,2022-02-10T00:00:00,LAC @ DAL,L,28.216666666666665,3,5,2,4,0,0,0,4,4,0,1,0,2,0,8,0.083,0.131,56,0,0.25,26,77,206,0,1,2022-02-10,67.03333333333333,3,11,8,1,6,8,3,2,0,143,4,0,1.0,3.0,0.06433333333333334,0.13233333333333333,0,13,41
24,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100818,2022-02-08T00:00:00,LAC @ MEM,L,15.383333333333333,2,4,1,1,0,0,0,3,2,1,0,0,1,0,5,0.119,0.091,35,0,0.4,26,77,206,0,1,2022-02-08,51.65,2,10,5,1,3,6,2,2,0,108,3,0,1.0,2.0,0.051000000000000004,0.139,0,13,39
25,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100809,2022-02-06T00:00:00,LAC vs. MIL,L,22.183333333333334,2,8,1,6,0,0,1,1,3,0,2,0,1,0,5,0.14,0.044,50,0,0.4,26,77,206,0,1,2022-02-06,72.62833333333333,3,15,9,0,13,9,3,0,0,154,3,0,3.0,2.0,0.08600000000000001,0.16366666666666665,0,13,37
26,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100786,2022-02-03T00:00:00,LAC vs. LAL,W,29.466666666666665,4,7,2,4,0,1,0,2,3,2,0,0,2,0,10,0.138,0.058,58,2,0.2,26,77,206,1,1,2022-02-03,74.47833333333334,3,22,9,1,16,9,2,1,0,168,2,1,4.0,1.0,0.129,0.18099999999999997,0,13,34
27,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100760,2022-01-31T00:00:00,LAC @ IND,L,15.666666666666666,1,7,0,5,0,0,0,1,2,0,0,0,0,0,2,0.189,-0.014,34,0,1.0,26,77,206,0,1,2022-01-31,120.23333333333333,4,28,18,3,26,14,2,2,0,268,7,6,8.0,3.0,0.19125,0.16699999999999998,0,13,31
28,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100752,2022-01-30T00:00:00,LAC @ CHA,W,27.495,5,10,3,6,1,1,0,10,4,1,0,0,1,0,14,0.164,0.214,62,4,0.0,26,77,206,2,0,2022-01-30,120.97166666666666,4,32,14,4,20,13,4,3,0,266,7,7,6.0,3.0,0.16524999999999998,0.17825,0,13,30
29,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100738,2022-01-28T00:00:00,LAC @ MIA,L,31.316666666666666,7,14,5,11,4,4,1,5,3,1,1,0,1,1,23,0.19,0.187,72,4,0.0,26,77,206,2,0,2022-01-28,110.185,4,27,14,3,17,11,3,2,0,235,7,6,4.0,5.0,0.1455,0.17675000000000002,0,13,28
30,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100724,2022-01-26T00:00:00,LAC @ ORL,W,31.516666666666666,6,9,2,3,3,3,1,4,1,0,0,0,1,3,17,0.139,0.157,62,4,0.235,26,77,206,2,2,2022-01-26,105.29166666666667,4,30,11,2,14,11,5,2,0,228,9,3,2.0,4.0,0.09899999999999999,0.187,0,13,26
31,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100716,2022-01-25T00:00:00,LAC @ WAS,W,29.905,8,13,5,8,4,4,1,7,6,0,1,0,4,2,25,0.175,0.207,72,4,0.08,26,77,206,2,1,2022-01-25,75.38666666666667,3,22,6,1,7,5,5,1,0,156,5,1,0.0,3.0,0.063,0.19099999999999998,0,13,25
32,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100698,2022-01-23T00:00:00,LAC @ NYK,L,28.233333333333334,4,10,4,10,2,3,1,4,3,3,1,0,1,1,14,0.209,0.11,60,0,0.0,26,77,206,0,0,2022-01-23,47.153333333333336,2,12,6,0,3,2,2,0,0,96,4,0,0.0,3.0,0.0395,0.182,0,13,23
33,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100686,2022-01-21T00:00:00,LAC @ PHI,W,20.53,4,9,2,6,0,0,0,2,1,0,0,0,1,0,10,0.184,0.108,41,0,0.4,26,77,206,0,2,2022-01-21,26.623333333333335,1,6,3,0,1,1,2,0,0,55,3,0,0.0,1.0,-0.029,0.18,0,13,21
34,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100678,2022-01-19T00:00:00,LAC @ DEN,L,26.623333333333335,2,9,1,6,2,2,0,1,1,2,0,0,3,0,7,0.18,-0.029,55,0,0.286,26,77,206,0,1,2022-01-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,13,19
35,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100534,2021-12-31T00:00:00,LAC @ TOR,L,39.71666666666667,3,7,2,5,5,5,0,1,6,0,0,1,3,2,13,0.107,0.081,80,0,0.154,26,77,206,0,1,2021-12-31,77.61666666666667,3,22,9,0,8,4,2,1,2,149,7,2,2.0,2.0,0.04733333333333333,0.20033333333333334,1,13,0
36,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100518,2021-12-29T00:00:00,LAC @ BOS,W,35.72666666666667,6,14,5,10,0,0,0,4,4,2,1,2,2,0,17,0.2,0.136,64,2,0.0,26,77,206,1,0,2021-12-29,41.89,2,12,5,0,4,0,0,0,0,85,5,2,1.0,2.0,0.002999999999999999,0.2005,0,12,9
37,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100507,2021-12-27T00:00:00,LAC vs. BKN,L,24.456666666666667,3,7,1,4,3,6,0,3,0,0,0,0,0,2,10,0.145,0.044,51,2,0.2,26,77,206,1,1,2021-12-27,45.31666666666666,2,13,5,0,3,1,0,1,0,94,6,0,1.0,1.0,-0.011,0.1895,0,12,7
38,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100500,2021-12-26T00:00:00,LAC vs. DEN,L,17.433333333333334,3,10,2,8,0,0,0,1,0,0,0,0,5,0,8,0.256,-0.038,34,0,0.25,26,77,206,0,1,2021-12-26,27.883333333333333,1,5,3,0,2,1,0,1,0,60,1,0,1.0,0.0,0.016,0.123,0,12,6
39,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100463,2021-12-20T00:00:00,LAC vs. SAS,L,27.883333333333333,2,8,1,5,0,0,0,2,1,0,1,0,1,0,5,0.123,0.016,60,2,0.0,26,77,206,1,0,2021-12-20,105.25333333333333,3,24,15,0,18,10,4,1,0,210,6,5,6.0,0.0,0.11733333333333333,0.18633333333333335,1,12,0
40,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100444,2021-12-18T00:00:00,LAC @ OKC,L,39.38166666666667,9,18,7,13,2,2,0,7,3,0,1,0,1,2,27,0.207,0.166,78,4,0.0,26,77,206,2,0,2021-12-18,102.31833333333333,3,22,15,0,14,12,4,0,0,201,6,5,4.0,1.0,0.10633333333333334,0.18400000000000002,0,11,236
41,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100425,2021-12-15T00:00:00,LAC @ UTA,L,31.458333333333332,4,12,2,6,0,0,0,2,3,1,0,0,3,1,10,0.181,0.02,63,4,0.0,26,77,206,2,0,2021-12-15,99.8,3,22,13,0,14,10,4,1,0,200,4,5,3.0,1.0,0.13333333333333333,0.17666666666666667,0,11,233
42,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100412,2021-12-13T00:00:00,LAC vs. PHX,W,34.413333333333334,5,9,3,5,3,3,0,9,4,3,0,0,2,2,16,0.171,0.166,69,4,0.0,26,77,206,2,0,2021-12-13,101.72,3,23,14,1,10,6,2,1,0,205,5,6,3.0,1.0,0.11266666666666668,0.17266666666666666,0,11,231
43,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100391,2021-12-11T00:00:00,LAC vs. ORL,W,36.446666666666665,8,16,7,11,0,0,0,3,5,0,0,0,1,2,23,0.2,0.133,69,0,0.087,26,77,206,0,1,2021-12-11,92.29,3,18,13,2,11,2,3,3,0,194,6,6,5.0,0.0,0.118,0.164,0,11,229
44,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100378,2021-12-08T00:00:00,LAC vs. BOS,W,28.94,5,10,4,6,1,1,0,2,1,1,1,0,1,1,15,0.159,0.101,62,2,0.0,26,77,206,1,0,2021-12-08,115.66166666666666,4,26,17,2,17,3,3,3,0,238,6,6,8.0,1.0,0.14600000000000002,0.1745,0,11,226
45,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100362,2021-12-06T00:00:00,LAC @ POR,W,36.333333333333336,5,11,3,6,2,2,1,5,0,1,0,0,3,3,15,0.159,0.104,74,4,0.0,26,77,206,2,0,2021-12-06,105.715,4,24,15,1,13,5,3,3,0,213,3,4,7.0,2.0,0.13325,0.17974999999999997,0,11,224
46,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100348,2021-12-04T00:00:00,LAC @ SAC,L,27.016666666666666,4,10,2,6,2,2,1,4,1,1,2,0,2,2,12,0.174,0.149,58,4,0.0,26,77,206,2,0,2021-12-04,112.23166666666667,4,23,14,0,11,4,5,3,0,222,3,3,6.0,2.0,0.09125,0.17024999999999998,0,11,222
47,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100341,2021-12-03T00:00:00,LAC @ LAL,W,23.491666666666667,7,10,5,8,0,0,0,4,0,0,1,0,0,0,19,0.192,0.202,46,4,0.0,26,77,206,2,0,2021-12-03,116.32333333333332,4,25,12,1,13,8,9,4,0,237,8,4,4.0,2.0,0.04975,0.1765,0,11,221
48,2021-22,1628379,Luke Kennard,1610612746,LAC,LA Clippers,0022100327,2021-12-01T00:00:00,LAC vs. SAC,L,28.82,7,12,4,6,1,1,0,4,2,1,0,0,1,1,19,0.173,0.129,60,4,0.105,26,77,206,2,1,2021-12-01,87.50333333333333,3,19,6,1,9,6,8,4,0,177,7,3,2.0,1.0,0.023333333333333334,0.17766666666666667,0,11,219
