,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022101053,2022-03-18T00:00:00,IND @ HOU,W,34.89666666666667,11,19,2,6,1,1,1,1,4,2,0,1,2,3,25,0.239,0.113,74,18,0.0,29,77,229,9,0,2022-03-18,27.983333333333334,1,4,9,2,2,5,4,1,0,62,2,2,4.0,0.0,0.043,0.241,1,39,0
1,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022101029,2022-03-15T00:00:00,IND vs. MEM,L,27.983333333333334,4,13,0,4,4,4,2,2,5,4,1,0,2,2,12,0.241,0.043,62,8,0.0,29,77,229,4,0,2022-03-15,36.855,1,2,13,0,5,12,5,0,0,78,1,0,5.0,1.0,0.076,0.217,0,38,7
2,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022100976,2022-03-08T00:00:00,IND vs. CLE,L,36.855,6,15,0,2,0,0,0,5,12,5,0,0,1,0,12,0.217,0.076,78,10,0.167,29,77,229,5,1,2022-03-08,112.375,3,14,44,6,14,16,3,3,1,238,5,23,19.0,1.0,0.1496666666666667,0.2743333333333333,1,38,0
3,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022100963,2022-03-06T00:00:00,IND @ WAS,L,34.975,8,17,0,4,11,13,1,3,4,1,0,0,1,7,27,0.289,0.117,75,16,0.0,29,77,229,8,0,2022-03-06,106.7,3,12,42,5,17,17,4,5,2,229,7,18,16.0,1.0,0.165,0.25366666666666665,0,37,7
4,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022100946,2022-03-04T00:00:00,IND @ DET,L,36.166666666666664,9,23,2,5,6,8,3,2,4,1,1,0,4,4,26,0.286,0.099,72,14,0.0,29,77,229,7,0,2022-03-04,101.46666666666667,3,15,30,2,19,17,3,4,2,227,4,15,12.0,1.0,0.16166666666666665,0.22066666666666665,0,37,5
5,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022100933,2022-03-02T00:00:00,IND @ ORL,W,41.233333333333334,8,18,3,5,12,15,2,9,8,1,2,1,0,12,31,0.248,0.233,91,8,0.065,29,77,229,4,1,2022-03-02,60.233333333333334,2,10,17,0,10,9,2,2,1,136,4,3,8.0,0.0,0.126,0.20700000000000002,0,37,3
6,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022100914,2022-02-27T00:00:00,IND vs. BOS,W,29.3,7,13,2,2,4,4,0,6,5,2,2,1,3,2,20,0.227,0.163,66,10,0.0,29,77,229,5,0,2022-02-27,30.933333333333334,1,8,6,0,4,4,0,0,0,70,1,1,3.0,0.0,0.089,0.187,1,37,0
7,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022100897,2022-02-25T00:00:00,IND vs. OKC,L,30.933333333333334,6,14,3,8,0,0,0,4,4,0,0,0,1,1,15,0.187,0.089,70,6,0.0,29,77,229,3,0,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,36,37
8,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022100680,2022-01-19T00:00:00,IND @ LAL,W,26.233333333333334,7,14,0,2,5,5,0,4,6,2,1,0,2,5,19,0.305,0.221,51,12,0.105,29,77,229,6,1,2022-01-19,17.05,1,0,7,0,1,2,1,0,0,32,1,1,2.0,1.0,0.039,0.216,1,36,0
9,2021-22,1627763,Malcolm Brogdon,1610612754,IND,Indiana Pacers,0022100618,2022-01-12T00:00:00,IND vs. BOS,L,17.05,3,7,0,0,0,0,0,1,2,1,0,0,1,1,6,0.216,0.039,32,4,0.333,29,77,229,2,1,2022-01-12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,35,0
