,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101220,2022-04-10T00:00:00,LAL @ DEN,W,35.166666666666664,14,25,7,14,6,6,1,3,1,3,0,0,2,5,41,0.344,0.158,74,12,0.049,24,75,200,6,1,2022-04-10,123.0,4,19,27,3,14,20,15,2,3,275,9,9,14.0,1.0,0.069,0.20999999999999996,0,5,73
1,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101211,2022-04-08T00:00:00,LAL vs. OKC,W,34.35,5,13,1,5,1,1,1,3,5,4,1,1,2,2,12,0.205,0.054,75,8,0.0,24,75,200,4,0,2022-04-08,122.71000000000001,4,19,25,3,15,22,14,3,2,274,9,10,13.0,1.0,0.08274999999999999,0.20450000000000002,0,5,71
2,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101202,2022-04-07T00:00:00,LAL @ GSW,L,37.1,8,17,3,9,5,6,1,6,4,4,1,2,1,5,24,0.253,0.117,85,8,0.083,24,75,200,4,1,2022-04-07,117.74333333333334,4,16,23,3,12,22,12,3,0,253,11,8,12.0,0.0,0.07,0.19324999999999998,0,5,70
3,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101189,2022-04-05T00:00:00,LAL @ PHX,L,18.333333333333332,3,7,1,2,0,0,0,3,5,2,0,0,3,1,7,0.209,0.062,41,4,0.0,24,75,200,2,0,2022-04-05,131.74333333333334,4,24,24,3,13,19,11,4,1,278,8,8,13.0,1.0,0.09925,0.20174999999999998,0,5,68
4,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101168,2022-04-03T00:00:00,LAL vs. DEN,L,33.21666666666667,5,9,1,3,0,0,1,2,6,5,0,0,3,1,11,0.173,0.043,74,8,0.0,24,75,200,4,0,2022-04-03,127.36,4,29,27,2,11,19,8,4,1,261,6,9,15.0,2.0,0.1215,0.23925000000000002,0,5,66
5,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101160,2022-04-01T00:00:00,LAL vs. NOP,L,34.06,5,11,2,5,1,2,1,4,7,3,2,0,2,3,13,0.183,0.109,74,6,0.0,24,75,200,3,0,2022-04-01,93.3,3,24,21,1,7,12,5,2,1,187,4,6,12.0,2.0,0.12566666666666668,0.258,0,5,64
6,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101150,2022-03-31T00:00:00,LAL @ UTA,L,32.13333333333333,5,12,2,6,2,3,1,3,4,2,1,0,3,3,14,0.208,0.066,64,6,0.0,24,75,200,3,0,2022-03-31,61.16666666666667,2,18,15,0,4,8,3,1,1,123,1,3,9.0,2.0,0.1555,0.28300000000000003,0,5,63
7,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101134,2022-03-29T00:00:00,LAL @ DAL,L,32.333333333333336,10,16,6,10,2,2,0,4,2,1,1,1,0,1,28,0.243,0.179,66,6,0.071,24,75,200,3,1,2022-03-29,60.766666666666666,2,17,20,0,1,9,5,2,0,127,2,2,11.0,3.0,0.10800000000000001,0.3035,0,5,61
8,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101119,2022-03-27T00:00:00,LAL @ NOP,L,28.833333333333332,9,17,2,8,3,3,0,0,6,2,0,0,1,2,23,0.323,0.132,57,12,0.087,24,75,200,6,1,2022-03-27,54.336666666666666,2,13,17,0,3,6,3,2,1,116,4,1,10.0,2.0,0.081,0.254,0,5,59
9,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101093,2022-03-23T00:00:00,LAL vs. PHI,L,31.933333333333334,10,20,3,9,0,0,0,1,3,3,2,0,1,0,23,0.284,0.084,70,10,0.174,24,75,200,5,2,2022-03-23,110.39833333333334,4,22,18,1,10,13,4,2,1,226,9,3,14.0,0.0,0.09325,0.18375000000000002,0,5,55
10,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101072,2022-03-21T00:00:00,LAL @ CLE,W,22.403333333333332,5,10,0,4,2,2,0,2,3,0,0,1,3,1,12,0.224,0.078,46,10,0.0,24,75,200,5,0,2022-03-21,111.87,4,22,16,1,11,12,8,3,0,232,9,3,10.0,1.0,0.07625000000000001,0.18475,0,5,53
11,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101061,2022-03-19T00:00:00,LAL @ WAS,L,27.8,6,9,3,5,2,2,0,2,3,2,0,0,2,1,17,0.185,0.106,59,6,0.0,24,75,200,3,0,2022-03-19,111.18666666666667,4,21,18,3,11,13,9,4,0,234,8,4,10.0,1.0,0.06875,0.18625000000000003,0,5,51
12,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101051,2022-03-18T00:00:00,LAL @ TOR,W,30.311666666666667,4,9,1,4,0,0,1,1,1,0,0,0,2,0,9,0.134,0.031,58,6,0.0,24,75,200,3,0,2022-03-18,110.425,4,24,18,2,13,16,9,4,0,236,11,4,10.0,1.0,0.095,0.20024999999999998,0,5,50
13,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101039,2022-03-16T00:00:00,LAL @ MIN,L,29.883333333333333,5,12,2,9,1,1,0,5,6,2,2,0,2,1,13,0.192,0.158,63,6,0.0,24,75,200,3,0,2022-03-16,120.125,4,23,20,3,13,11,8,4,0,261,12,4,11.0,1.0,0.08225,0.19,0,5,48
14,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101028,2022-03-14T00:00:00,LAL vs. TOR,L,23.875,3,8,1,4,1,2,0,3,2,4,1,0,3,1,8,0.228,0.01,52,2,0.25,24,75,200,1,1,2022-03-14,129.76666666666665,4,26,31,4,14,13,6,6,0,282,14,3,17.0,0.0,0.093,0.20450000000000002,0,5,46
15,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101019,2022-03-13T00:00:00,LAL @ PHX,L,27.116666666666667,5,10,2,4,1,1,2,2,4,3,1,0,1,2,13,0.191,0.076,61,6,0.0,24,75,200,3,0,2022-03-13,102.65,3,22,25,2,12,9,3,5,0,221,13,1,14.0,0.0,0.09866666666666667,0.209,0,5,45
16,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022101004,2022-03-11T00:00:00,LAL vs. WAS,W,29.55,8,12,5,7,0,0,0,3,4,0,0,0,5,0,21,0.19,0.136,60,6,0.0,24,75,200,3,0,2022-03-11,104.93333333333332,3,24,21,3,14,10,4,8,1,231,11,4,11.0,0.0,0.08766666666666667,0.19099999999999998,0,5,43
17,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022100985,2022-03-09T00:00:00,LAL @ HOU,L,39.583333333333336,8,13,4,8,0,0,1,5,1,1,2,0,3,1,20,0.151,0.107,88,8,0.0,24,75,200,4,0,2022-03-09,94.46666666666667,3,21,20,3,11,13,3,7,2,201,8,5,10.0,0.0,0.08933333333333333,0.18666666666666668,0,5,41
18,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022100973,2022-03-07T00:00:00,LAL @ SAS,L,33.516666666666666,8,22,1,7,0,0,1,4,4,2,3,0,5,0,17,0.286,0.053,73,14,0.0,24,75,200,7,0,2022-03-07,100.43333333333334,3,20,13,3,11,13,4,4,3,207,3,8,5.0,0.0,0.09733333333333333,0.17066666666666666,0,5,39
19,2021-22,1628370,Malik Monk,1610612747,LAL,Los Angeles Lakers,0022100959,2022-03-05T00:00:00,LAL vs. GSW,W,31.833333333333332,4,10,4,9,0,0,1,5,5,1,3,1,3,3,12,0.136,0.103,70,0,0.0,24,75,200,0,0,2022-03-05,92.69999999999999,3,13,15,2,7,9,6,3,3,192,1,6,5.0,0.0,0.04666666666666667,0.16833333333333333,0,5,37
