,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101230,2022-04-10T00:00:00,UTA @ POR,W,25.6,6,13,1,3,1,2,0,2,5,1,3,0,2,1,14,0.238,0.325,55,10,0.0,34,73,175,5,0,2022-04-10,67.55000000000001,2,13,11,1,7,16,7,2,1,146,6,6,4.0,0.0,0.0795,0.20600000000000002,0,64,5
1,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101210,2022-04-08T00:00:00,UTA vs. PHX,L,33.983333333333334,4,13,3,9,2,4,0,2,8,2,1,1,4,3,13,0.221,0.055,70,2,0.0,34,73,175,1,0,2022-04-08,69.26666666666668,2,15,14,3,8,16,5,2,0,146,5,5,7.0,1.0,0.1445,0.2015,0,64,3
2,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101187,2022-04-05T00:00:00,UTA vs. MEM,W,33.56666666666667,5,11,2,4,1,2,1,5,8,5,1,0,2,3,13,0.191,0.104,76,6,0.0,34,73,175,3,0,2022-04-05,98.60000000000001,3,25,15,4,5,15,6,2,0,195,9,7,10.0,1.0,0.13566666666666669,0.20033333333333334,1,64,0
3,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101165,2022-04-02T00:00:00,UTA @ GSW,L,35.7,10,18,5,11,1,1,2,3,8,0,1,0,3,2,26,0.212,0.185,70,8,0.077,34,73,175,4,1,2022-04-02,89.37,3,16,15,2,2,14,6,1,0,176,9,9,12.0,0.0,0.107,0.19633333333333333,0,63,15
4,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101150,2022-03-31T00:00:00,UTA vs. LAL,W,30.166666666666668,7,9,4,6,0,0,1,1,4,3,0,0,3,4,18,0.176,0.125,60,6,0.0,34,73,175,3,0,2022-03-31,91.57,3,16,14,2,2,16,4,4,0,179,7,5,10.0,0.0,0.10666666666666667,0.17933333333333334,0,63,13
5,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101135,2022-03-29T00:00:00,UTA @ LAC,L,32.733333333333334,7,13,4,8,1,1,1,1,3,3,1,0,3,1,19,0.213,0.097,65,6,0.0,34,73,175,3,0,2022-03-29,86.97,3,13,16,4,2,16,3,4,0,168,5,4,10.0,0.0,0.08666666666666667,0.17700000000000002,0,63,11
6,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101121,2022-03-27T00:00:00,UTA @ DAL,L,26.47,6,9,0,2,2,5,0,0,7,0,0,0,3,4,14,0.2,0.099,51,12,0.0,34,73,175,6,0,2022-03-27,93.45,3,16,16,4,4,16,4,6,0,182,2,2,8.0,0.0,0.10566666666666667,0.17333333333333334,0,63,9
7,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101100,2022-03-25T00:00:00,UTA @ CHA,L,32.36666666666667,4,8,3,6,0,0,1,1,6,1,3,0,1,0,11,0.125,0.124,63,2,0.0,34,73,175,1,0,2022-03-25,84.56666666666666,3,16,20,4,6,14,3,4,0,168,4,5,8.0,0.0,0.07266666666666667,0.20833333333333334,0,63,7
8,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101087,2022-03-23T00:00:00,UTA @ BOS,L,28.133333333333333,4,12,1,5,0,0,3,1,3,2,1,0,1,0,9,0.206,0.037,54,6,0.0,34,73,175,3,0,2022-03-23,83.88333333333334,3,16,19,1,7,18,4,4,1,171,4,7,6.0,0.0,0.09666666666666666,0.21433333333333335,0,63,5
9,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101075,2022-03-21T00:00:00,UTA @ BKN,L,32.95,7,12,3,5,1,2,0,2,7,1,2,0,0,2,18,0.189,0.156,65,8,0.0,34,73,175,4,0,2022-03-21,83.19833333333334,3,20,16,1,7,18,4,4,1,174,8,7,6.0,0.0,0.13266666666666668,0.21633333333333335,0,63,3
10,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101055,2022-03-18T00:00:00,UTA vs. LAC,W,23.483333333333334,2,12,1,6,3,4,1,3,4,0,1,0,3,3,8,0.23,0.025,49,2,0.0,34,73,175,1,0,2022-03-18,91.06833333333333,3,20,18,2,7,19,7,8,1,191,9,5,6.0,0.0,0.13533333333333333,0.21566666666666667,1,63,0
11,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101041,2022-03-16T00:00:00,UTA vs. CHI,W,27.45,4,11,3,5,3,4,0,2,7,3,1,1,1,2,14,0.224,0.109,57,2,0.0,34,73,175,1,0,2022-03-16,84.06833333333333,3,18,14,2,6,17,4,8,1,174,10,4,5.0,0.0,0.135,0.18766666666666668,0,62,5
12,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101027,2022-03-14T00:00:00,UTA vs. MIL,L,32.265,10,13,6,9,3,4,0,2,7,1,2,0,4,2,29,0.195,0.264,68,8,0.0,34,73,175,4,0,2022-03-14,77.57,3,10,16,2,7,14,4,6,1,156,7,2,2.0,0.0,0.05366666666666667,0.168,0,62,3
13,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022101002,2022-03-11T00:00:00,UTA @ SAS,L,31.35333333333333,2,14,1,6,3,3,2,3,5,3,5,0,4,1,8,0.228,0.033,66,2,0.0,34,73,175,1,0,2022-03-11,70.36666666666667,3,8,12,0,5,11,4,4,1,144,4,2,2.0,0.0,0.03133333333333333,0.15033333333333335,1,62,0
14,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022100990,2022-03-09T00:00:00,UTA vs. POR,W,20.45,1,5,1,3,2,2,0,1,5,0,1,1,2,1,5,0.14,0.108,40,0,0.0,34,73,175,0,0,2022-03-09,83.86666666666667,3,11,14,1,7,14,5,7,0,177,6,5,3.0,0.0,0.041,0.15933333333333333,0,61,5
15,2021-22,201144,Mike Conley,1610612762,UTA,Utah Jazz,0022100972,2022-03-07T00:00:00,UTA @ DAL,L,25.766666666666666,1,7,0,1,1,1,0,3,4,1,0,0,1,0,3,0.136,0.02,50,2,0.0,34,73,175,1,0,2022-03-07,58.1,2,10,8,1,4,10,4,7,0,127,5,5,2.0,0.0,0.051500000000000004,0.17099999999999999,0,61,3
