,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101201,2022-04-07T00:00:00,DEN vs. MEM,W,24.116666666666667,4,9,2,4,0,0,2,1,5,1,0,0,2,0,10,0.175,0.092,50,2,0.2,27,74,183,1,1,2022-04-07,100.41666666666667,3,14,16,2,10,19,4,5,1,219,4,3,4.0,3.0,0.07966666666666666,0.16066666666666665,1,11,0
1,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101186,2022-04-05T00:00:00,DEN vs. SAS,L,33.5,2,9,0,5,0,0,2,4,3,1,0,0,4,0,4,0.122,0.0,74,2,0.5,27,74,183,1,1,2022-04-05,94.5,3,11,17,1,8,20,5,6,1,202,3,5,5.0,4.0,0.11333333333333333,0.16533333333333333,0,10,56
2,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101168,2022-04-03T00:00:00,DEN @ LAL,W,35.96666666666667,1,9,0,4,4,4,0,3,10,1,3,1,0,2,6,0.146,0.079,78,2,0.0,27,74,183,1,0,2022-04-03,92.51666666666667,3,11,18,2,7,19,5,4,0,194,5,5,7.0,4.0,0.126,0.166,0,10,54
3,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101159,2022-04-01T00:00:00,DEN vs. MIN,L,30.95,8,12,4,5,3,3,0,3,6,2,2,0,0,1,23,0.214,0.16,67,4,0.174,27,74,183,2,2,2022-04-01,92.89999999999999,3,8,15,2,6,18,3,4,0,194,7,5,7.0,2.0,0.09900000000000002,0.12133333333333335,0,10,52
4,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101137,2022-03-30T00:00:00,DEN @ IND,W,27.583333333333332,5,7,1,2,0,0,1,2,4,2,1,0,3,2,11,0.136,0.101,57,4,0.364,27,74,183,2,2,2022-03-30,91.83666666666666,3,12,14,1,6,18,3,3,1,194,6,5,6.0,0.0,0.09400000000000001,0.13933333333333334,0,10,50
5,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101122,2022-03-28T00:00:00,DEN @ CHA,W,33.983333333333334,5,10,2,4,2,2,1,2,9,1,1,0,2,2,14,0.148,0.117,70,6,0.0,27,74,183,3,0,2022-03-28,88.63666666666667,3,11,15,0,7,14,2,2,1,188,5,5,4.0,1.0,0.09466666666666666,0.1416666666666667,0,10,48
6,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101113,2022-03-26T00:00:00,DEN vs. OKC,W,31.333333333333332,3,6,1,2,0,0,0,2,5,0,2,0,2,1,7,0.08,0.079,67,4,0.0,27,74,183,2,0,2022-03-26,83.28666666666666,3,12,16,0,9,13,2,1,1,171,3,5,4.0,2.0,0.09766666666666667,0.15866666666666665,0,10,46
7,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101099,2022-03-24T00:00:00,DEN vs. PHX,L,26.52,5,10,4,6,1,1,0,2,4,2,0,1,2,2,15,0.19,0.086,57,2,0.0,27,74,183,1,0,2022-03-24,76.80333333333333,3,7,15,0,11,11,2,1,1,155,2,4,4.0,2.0,0.07833333333333332,0.138,0,10,44
8,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101083,2022-03-22T00:00:00,DEN vs. LAC,W,30.783333333333335,5,10,3,3,2,2,0,3,5,0,0,0,1,2,15,0.155,0.119,64,2,0.133,27,74,183,1,1,2022-03-22,76.80333333333333,3,11,12,0,9,10,3,2,1,154,4,2,5.0,2.0,0.066,0.14433333333333334,0,10,42
9,2021-22,1628420,Monte Morris,1610612743,DEN,Denver Nuggets,0022101068,2022-03-20T00:00:00,DEN vs. BOS,L,25.983333333333334,3,8,0,3,1,1,0,4,4,0,1,0,0,1,7,0.131,0.088,50,4,0.286,27,74,183,2,1,2022-03-20,84.36166666666666,3,10,15,0,8,12,3,2,1,174,6,2,7.0,2.0,0.063,0.15033333333333332,0,10,40
