,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100634,2022-01-14T00:00:00,IND vs. PHX,L,28.1,2,9,0,3,1,2,3,4,0,0,3,2,2,2,5,0.156,0.043,57,4,0.0,26,83,250,2,0,2022-01-14,74.245,3,10,19,4,9,3,5,2,8,149,11,6,12.0,1.0,0.054,0.23266666666666666,1,23,0
1,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100618,2022-01-12T00:00:00,IND vs. BOS,L,23.583333333333332,8,14,0,5,2,2,2,2,1,0,0,1,4,1,18,0.306,0.109,43,16,0.0,26,83,250,8,0,2022-01-12,81.67833333333334,3,9,16,2,11,3,5,3,12,172,8,7,8.0,1.0,0.054,0.18366666666666667,0,22,45
2,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100609,2022-01-10T00:00:00,IND @ BOS,L,22.628333333333334,2,7,0,4,2,2,1,2,0,2,2,3,4,2,6,0.182,0.014,49,4,0.0,26,83,250,2,0,2022-01-10,91.85333333333332,3,7,15,2,15,4,4,1,11,184,9,8,8.0,1.0,0.06766666666666667,0.147,0,22,43
3,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100594,2022-01-08T00:00:00,IND vs. UTA,W,28.033333333333335,3,8,0,1,2,4,1,5,2,3,0,4,3,3,8,0.21,0.039,57,4,0.25,26,83,250,2,1,2022-01-08,100.63166666666666,3,11,14,6,15,5,4,3,10,198,11,8,8.0,0.0,0.07366666666666667,0.14366666666666666,0,22,41
4,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100571,2022-01-05T00:00:00,IND vs. BKN,L,31.016666666666666,5,10,1,4,3,3,0,4,1,0,1,5,1,2,14,0.159,0.109,66,8,0.0,26,83,250,4,0,2022-01-05,119.51500000000001,4,16,15,9,19,6,7,2,10,239,19,10,5.0,2.0,0.073,0.16175,0,22,38
5,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100564,2022-01-04T00:00:00,IND @ NYK,L,32.803333333333335,2,4,0,2,1,1,1,6,1,1,0,2,5,3,5,0.072,0.055,61,4,0.0,26,83,250,2,0,2022-01-04,86.71166666666667,3,14,13,8,13,5,6,2,8,178,14,7,3.0,2.0,0.079,0.19166666666666665,0,22,37
6,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100547,2022-01-02T00:00:00,IND @ CLE,L,36.81166666666667,4,11,2,5,2,4,5,5,3,3,2,3,5,3,12,0.2,0.057,71,4,0.0,26,83,250,2,0,2022-01-02,85.41666666666666,3,13,21,4,12,4,3,1,7,180,13,5,10.0,2.0,0.08933333333333333,0.19966666666666666,0,22,35
7,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100530,2021-12-31T00:00:00,IND vs. CHI,L,18.183333333333334,2,5,1,3,5,6,2,4,1,0,0,1,5,3,10,0.2,0.118,35,2,0.0,26,83,250,1,0,2021-12-31,67.23333333333333,2,10,19,2,8,3,3,1,6,145,8,2,9.0,2.0,0.075,0.1995,0,22,33
8,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100517,2021-12-29T00:00:00,IND vs. CHA,L,31.716666666666665,5,11,3,6,1,1,1,4,1,3,0,4,4,1,14,0.175,0.062,72,0,0.286,26,83,250,0,2,2021-12-29,72.94999999999999,2,6,30,3,12,3,2,2,4,146,7,5,22.0,0.0,0.1535,0.2385,0,22,31
9,2021-22,1626167,Myles Turner,1610612754,IND,Indiana Pacers,0022100499,2021-12-26T00:00:00,IND @ CHI,L,35.516666666666666,9,18,0,4,1,2,1,4,2,0,1,2,4,1,19,0.224,0.088,73,18,0.0,26,83,250,9,0,2021-12-26,59.02499999999999,2,3,20,3,14,2,3,2,4,116,6,4,16.0,0.0,0.1785,0.1875,0,22,28
