,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101201,2022-04-07T00:00:00,DEN vs. MEM,W,35.25,16,24,1,3,2,2,3,13,6,3,4,1,2,3,35,0.314,0.308,78,26,0.114,27,83,284,13,2,2022-04-07,116.74166666666667,3,10,68,8,46,18,13,5,2,256,8,28,40.0,6.0,0.233,0.3746666666666667,1,13,0
1,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101186,2022-04-05T00:00:00,DEN vs. SAS,L,40.38333333333333,18,35,1,5,4,6,2,15,4,2,2,0,3,7,41,0.402,0.214,88,28,0.146,27,83,284,14,3,2022-04-05,112.00833333333333,3,5,57,9,41,23,18,5,3,242,8,30,40.0,4.0,0.25266666666666665,0.35433333333333333,0,12,34
2,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101168,2022-04-03T00:00:00,DEN @ LAL,W,32.983333333333334,15,22,0,3,8,11,1,17,6,7,2,2,3,10,38,0.436,0.282,74,24,0.158,27,83,284,12,3,2022-04-03,114.43666666666667,3,2,55,13,38,28,15,5,1,242,6,29,37.0,1.0,0.23500000000000001,0.30866666666666664,0,12,32
3,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101159,2022-04-01T00:00:00,DEN vs. MIN,L,43.375,14,21,0,2,10,12,5,14,8,4,1,0,2,11,38,0.286,0.203,94,28,0.0,27,83,284,14,0,2022-04-01,105.995,3,1,50,10,34,28,14,6,3,224,8,26,35.0,2.0,0.25666666666666665,0.3016666666666667,0,12,30
4,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101137,2022-03-30T00:00:00,DEN @ IND,W,35.65,15,19,0,0,7,8,3,10,9,7,2,1,3,9,37,0.341,0.273,74,28,0.054,27,83,284,14,1,2022-03-30,102.66166666666666,3,3,39,9,28,25,15,7,2,221,7,26,27.0,3.0,0.21966666666666668,0.28633333333333333,0,12,28
5,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101122,2022-03-28T00:00:00,DEN @ CHA,W,35.41166666666667,9,17,0,0,8,12,5,14,11,4,2,0,1,9,26,0.299,0.229,74,18,0.0,27,83,284,9,0,2022-03-28,101.56666666666666,3,5,35,5,27,20,12,7,5,217,11,26,24.0,6.0,0.226,0.28200000000000003,0,12,26
6,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101113,2022-03-26T00:00:00,DEN vs. OKC,W,34.93333333333333,13,15,0,1,9,10,2,10,8,3,2,2,4,8,35,0.265,0.268,76,24,0.057,27,83,284,12,1,2022-03-26,99.65,3,10,38,7,21,16,11,6,4,203,9,24,17.0,6.0,0.169,0.317,0,12,24
7,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101099,2022-03-24T00:00:00,DEN vs. PHX,L,32.31666666666667,9,10,1,2,9,11,2,4,6,8,3,0,2,9,28,0.295,0.162,71,12,0.143,27,83,284,6,2,2022-03-24,104.83333333333334,3,12,50,10,22,18,7,5,5,205,10,19,26.0,4.0,0.18999999999999997,0.3336666666666666,0,12,22
8,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101083,2022-03-22T00:00:00,DEN vs. LAC,W,34.31666666666667,9,15,0,2,12,13,1,13,6,1,2,3,5,9,30,0.286,0.248,70,12,0.2,27,83,284,6,3,2022-03-22,96.81666666666666,3,12,49,11,20,20,9,5,3,191,7,16,27.0,2.0,0.21433333333333335,0.3476666666666666,0,12,20
9,2021-22,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,0022101068,2022-03-20T00:00:00,DEN vs. BOS,L,33.016666666666666,8,23,2,6,5,6,4,4,4,2,1,1,2,6,23,0.37,0.097,62,10,0.087,27,83,284,5,1,2022-03-20,97.34166666666667,3,9,45,8,28,24,12,6,4,199,6,16,28.0,2.0,0.2416666666666667,0.33233333333333337,0,12,18
