,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101208,2022-04-08T00:00:00,CHI vs. CHA,L,22.083333333333332,2,6,0,1,2,2,1,4,3,1,0,0,0,3,6,0.178,0.07,42,4,0.0,31,82,260,2,0,2022-04-08,83.25,3,12,31,4,19,9,6,2,1,170,8,6,8.0,4.0,0.04866666666666667,0.26933333333333337,1,55,0
1,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101193,2022-04-06T00:00:00,CHI vs. BOS,L,25.366666666666667,5,13,1,3,2,2,1,6,1,4,1,0,3,3,13,0.316,0.063,52,6,0.154,31,82,260,3,1,2022-04-06,97.48666666666666,3,14,35,8,22,9,4,1,1,200,7,5,10.0,4.0,0.06166666666666667,0.24366666666666667,0,54,33
2,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101183,2022-04-05T00:00:00,CHI vs. MIL,L,26.166666666666668,3,19,1,6,0,0,1,5,3,2,1,0,4,2,7,0.339,-0.048,55,2,0.286,31,82,260,1,1,2022-04-05,102.28666666666666,3,13,36,8,21,10,3,1,1,208,5,4,18.0,4.0,0.14933333333333332,0.22866666666666666,0,54,32
3,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101164,2022-04-02T00:00:00,CHI vs. MIA,L,31.716666666666665,6,11,0,3,0,0,2,8,5,0,0,1,1,1,12,0.153,0.131,63,8,0.333,31,82,260,4,2,2022-04-02,139.77833333333334,4,15,48,9,32,10,7,4,2,282,11,8,25.0,2.0,0.15375,0.23999999999999996,0,54,29
4,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101149,2022-03-31T00:00:00,CHI vs. LAC,W,39.60333333333333,9,19,3,5,1,2,5,9,1,2,0,0,2,2,22,0.239,0.102,82,10,0.091,31,82,260,5,1,2022-03-31,131.925,4,13,42,4,32,12,6,6,4,265,12,6,24.0,2.0,0.16925,0.22575,0,54,27
5,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101132,2022-03-29T00:00:00,CHI @ WAS,W,30.966666666666665,12,19,2,5,1,1,1,4,4,1,1,0,2,1,27,0.294,0.215,63,18,0.074,31,82,260,9,1,2022-03-29,133.00833333333333,4,13,38,4,34,10,6,5,4,269,12,7,17.0,4.0,0.15050000000000002,0.2095,0,54,25
6,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101126,2022-03-28T00:00:00,CHI @ NYK,L,33.67666666666667,6,11,0,1,4,5,2,11,1,2,2,1,4,3,16,0.2,0.16,68,12,0.0,31,82,260,6,0,2022-03-28,131.94833333333332,4,16,41,9,29,11,6,4,4,264,10,7,16.0,4.0,0.14375000000000002,0.2295,0,54,24
7,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101110,2022-03-26T00:00:00,CHI @ CLE,W,35.531666666666666,6,14,1,4,3,3,1,8,4,2,1,1,3,2,16,0.227,0.138,69,10,0.0,31,82,260,5,0,2022-03-26,96.41666666666666,3,12,31,8,21,7,4,3,3,195,7,5,11.0,4.0,0.1456666666666667,0.23033333333333336,0,54,22
8,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101098,2022-03-24T00:00:00,CHI @ NOP,L,31.75,7,11,2,3,0,0,0,9,3,1,2,2,3,0,16,0.182,0.164,65,8,0.125,31,82,260,4,1,2022-03-24,91.10833333333332,3,11,37,11,16,5,4,3,1,183,5,7,14.0,4.0,0.13166666666666668,0.26733333333333337,0,54,20
9,2021-22,202696,Nikola Vucevic,1610612741,CHI,Chicago Bulls,0022101082,2022-03-22T00:00:00,CHI @ MIL,L,32.05,9,15,4,5,0,0,1,6,2,1,0,0,2,2,22,0.229,0.14,67,4,0.273,31,82,260,2,3,2022-03-22,88.11666666666667,3,12,35,11,20,4,3,4,1,180,5,6,17.0,1.0,0.11166666666666668,0.25866666666666666,0,54,18
