,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022101226,2022-04-10T00:00:00,TOR @ NYK,L,25.45,3,9,0,5,2,2,2,7,3,3,1,0,0,2,8,0.22,0.103,52,4,0.25,24,79,232,2,1,2022-04-10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,22,9
1,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022101151,2022-04-01T00:00:00,TOR @ ORL,W,34.983333333333334,4,8,2,5,4,5,1,5,2,1,2,0,2,3,14,0.141,0.122,70,4,0.0,24,79,232,2,0,2022-04-01,100.41666666666666,3,14,20,5,11,7,2,3,0,205,5,4,12.0,0.0,0.13433333333333333,0.164,1,22,0
2,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022101141,2022-03-30T00:00:00,TOR vs. MIN,W,32.4,9,13,4,4,0,0,1,4,3,2,0,0,3,1,22,0.195,0.142,70,10,0.0,24,79,232,5,0,2022-03-30,94.45,3,18,14,4,9,7,0,3,1,186,2,4,7.0,0.0,0.12066666666666666,0.16933333333333334,0,21,42
3,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022101127,2022-03-28T00:00:00,TOR vs. BOS,W,39.983333333333334,6,12,2,5,0,0,4,4,3,0,1,0,2,1,14,0.125,0.116,81,8,0.0,24,79,232,4,0,2022-03-28,54.46666666666667,2,13,7,0,5,4,0,2,1,105,0,3,3.0,0.0,0.123,0.1915,0,21,40
4,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022101109,2022-03-26T00:00:00,TOR vs. IND,W,28.033333333333335,6,9,3,5,1,2,0,3,1,0,2,0,0,2,16,0.172,0.145,54,6,0.0,24,79,232,3,0,2022-03-26,26.433333333333334,1,8,3,0,2,3,0,0,1,51,0,1,0.0,0.0,0.101,0.211,0,21,38
5,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022101095,2022-03-24T00:00:00,TOR vs. CLE,W,26.433333333333334,4,11,4,8,2,2,0,2,3,0,0,1,0,1,14,0.211,0.101,51,0,0.0,24,79,232,0,0,2022-03-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,21,36
6,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022100880,2022-02-16T00:00:00,TOR @ MIN,W,29.866666666666667,4,11,0,4,2,2,0,1,1,3,0,0,4,3,10,0.217,-0.02,60,6,0.2,24,79,232,3,1,2022-02-16,135.51666666666668,4,23,23,6,15,10,6,3,2,278,10,4,8.0,0.0,0.0455,0.15899999999999997,1,21,0
7,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022100863,2022-02-14T00:00:00,TOR @ NOP,L,25.4,1,5,1,3,0,0,0,2,2,0,1,1,1,0,3,0.077,0.034,51,0,0.0,24,79,232,0,0,2022-02-14,148.03333333333333,4,27,32,11,17,10,8,5,1,307,12,6,13.0,1.0,0.058499999999999996,0.19899999999999998,0,20,58
8,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022100850,2022-02-12T00:00:00,TOR vs. DEN,L,37.333333333333336,4,16,1,5,0,0,3,2,4,0,1,0,3,1,9,0.205,0.015,71,6,0.0,24,79,232,3,0,2022-02-12,110.69999999999999,3,22,21,8,15,6,8,4,1,236,9,5,10.0,1.0,0.073,0.19699999999999998,0,20,56
9,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022100834,2022-02-10T00:00:00,TOR @ HOU,W,35.35,5,13,3,8,0,0,2,2,2,2,1,0,3,2,13,0.17,0.041,77,4,0.0,24,79,232,2,0,2022-02-10,152.51666666666665,4,26,27,8,22,14,11,6,4,317,12,3,12.0,1.0,0.085,0.1815,0,20,54
10,2021-22,1628384,O.G. Anunoby,1610612761,TOR,Toronto Raptors,0022100827,2022-02-09T00:00:00,TOR @ OKC,W,37.43333333333333,6,12,3,7,0,0,1,9,2,4,0,1,3,1,15,0.184,0.092,79,6,0.0,24,79,232,3,0,2022-02-09,115.08333333333331,3,19,22,7,13,12,7,6,3,238,9,2,9.0,1.0,0.08266666666666667,0.18066666666666667,0,20,53
