,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101181,2022-04-05T00:00:00,MIA vs. CHA,W,21.783333333333335,3,7,1,3,0,0,3,4,2,1,1,0,1,0,7,0.157,0.075,46,4,0.0,37,77,245,2,0,2022-04-05,54.0,2,0,4,1,11,5,1,2,1,112,2,3,2.0,0.0,0.074,0.05,1,14,0
1,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101164,2022-04-02T00:00:00,MIA @ CHI,W,26.866666666666667,1,1,0,0,2,2,1,7,2,0,1,0,1,1,4,0.034,0.092,55,2,0.0,37,77,245,1,0,2022-04-02,74.01666666666667,3,4,10,2,8,7,1,2,1,153,4,3,5.0,0.0,0.077,0.09399999999999999,1,13,0
2,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101139,2022-03-30T00:00:00,MIA @ BOS,W,27.133333333333333,1,3,0,0,0,0,0,4,3,1,1,1,1,2,2,0.066,0.056,57,2,0.0,37,77,245,1,0,2022-03-30,110.63333333333333,4,7,15,2,18,9,2,5,1,220,5,3,9.0,0.0,0.08825,0.10200000000000001,0,12,28
3,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101125,2022-03-28T00:00:00,MIA vs. SAC,W,24.183333333333334,3,6,1,1,0,0,1,3,4,0,0,0,0,0,7,0.107,0.11,48,4,0.0,37,77,245,2,0,2022-03-28,112.32999999999998,4,7,11,2,17,6,3,6,1,222,7,3,7.0,1.0,0.06725,0.0895,0,12,26
4,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101111,2022-03-26T00:00:00,MIA vs. BKN,L,22.7,3,5,1,3,2,2,1,1,0,0,1,0,3,1,9,0.109,0.065,48,4,0.0,37,77,245,2,0,2022-03-26,89.63,3,4,9,1,16,6,3,5,1,174,4,2,5.0,1.0,0.06799999999999999,0.083,0,12,24
5,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101103,2022-03-25T00:00:00,MIA vs. NYK,L,28.066666666666666,2,5,0,1,0,0,0,5,1,1,2,1,2,1,4,0.103,0.065,53,4,0.0,37,77,245,2,0,2022-03-25,79.29666666666667,3,6,7,1,17,7,3,4,0,156,3,1,3.0,1.0,0.05433333333333334,0.09999999999999999,0,12,23
6,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101088,2022-03-23T00:00:00,MIA vs. GSW,L,35.68333333333333,3,6,0,2,1,1,0,9,4,1,2,0,0,1,7,0.089,0.113,71,6,0.0,37,77,245,3,0,2022-03-23,43.61333333333333,2,4,3,1,8,3,2,2,0,85,3,0,0.0,1.0,0.025,0.1055,0,12,21
7,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101074,2022-03-21T00:00:00,MIA @ PHI,L,25.88,1,2,0,1,0,0,1,2,1,1,1,0,2,0,2,0.057,0.026,50,0,1.0,37,77,245,0,1,2022-03-21,49.43333333333334,2,4,5,0,11,3,2,1,0,100,4,0,1.0,0.0,0.036500000000000005,0.11249999999999999,0,12,19
8,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101052,2022-03-18T00:00:00,MIA vs. OKC,W,17.733333333333334,0,5,0,3,0,0,0,6,2,1,1,0,1,0,0,0.154,0.024,35,0,0.0,37,77,245,0,0,2022-03-18,83.91833333333334,3,6,11,6,10,5,4,1,0,170,9,1,5.0,0.0,0.026,0.11566666666666665,0,12,16
9,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101031,2022-03-15T00:00:00,MIA vs. DET,W,31.7,2,4,1,1,0,0,0,5,1,1,0,0,3,0,5,0.071,0.049,65,2,0.0,37,77,245,1,0,2022-03-15,77.53166666666667,3,7,16,10,7,5,3,4,0,160,8,3,8.0,0.0,0.030333333333333334,0.151,0,12,13
10,2021-22,200782,P.J. Tucker,1610612748,MIA,Miami Heat,0022101005,2022-03-12T00:00:00,MIA vs. MIN,L,23.285,3,7,0,1,0,0,4,3,0,3,0,0,4,0,6,0.179,0.0,48,6,0.0,37,77,245,3,0,2022-03-12,104.61333333333333,4,11,19,9,15,10,3,4,1,208,8,5,9.0,1.0,0.064,0.145,0,12,10
