,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101206,2022-04-08T00:00:00,TOR vs. HOU,W,39.55,12,24,0,2,5,6,3,9,7,2,3,1,5,6,29,0.292,0.178,82,22,0.069,28,80,230,11,1,2022-04-08,163.2,4,17,70,6,36,26,8,5,1,331,6,22,36.0,5.0,0.17899999999999996,0.274,1,14,0
1,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101197,2022-04-07T00:00:00,TOR vs. PHI,W,37.016666666666666,14,28,1,7,8,10,3,7,12,2,2,0,1,8,37,0.382,0.24,74,22,0.108,28,80,230,11,2,2022-04-07,126.18333333333334,3,10,49,3,29,14,6,3,1,257,5,14,25.0,3.0,0.15866666666666668,0.238,0,13,114
2,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101182,2022-04-05T00:00:00,TOR vs. ATL,W,40.4,12,23,1,4,6,8,2,11,6,0,1,1,0,5,31,0.248,0.219,83,20,0.065,28,80,230,10,1,2022-04-05,126.15833333333333,3,8,43,2,27,21,12,3,1,259,9,15,19.0,3.0,0.11466666666666665,0.23266666666666666,0,13,112
3,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101172,2022-04-03T00:00:00,TOR vs. MIA,L,43.13333333333333,11,18,1,3,6,7,0,8,5,4,2,0,3,7,29,0.245,0.173,88,18,0.069,28,80,230,9,1,2022-04-03,130.23333333333335,3,9,53,4,30,17,9,4,3,263,12,15,26.0,3.0,0.13166666666666668,0.251,0,13,110
4,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101151,2022-04-01T00:00:00,TOR @ ORL,W,42.65,7,18,0,3,2,3,1,10,3,2,0,0,2,2,16,0.221,0.084,86,12,0.125,28,80,230,6,1,2022-04-01,118.65,3,9,50,4,25,21,10,6,3,238,13,16,28.0,3.0,0.162,0.2783333333333333,0,13,108
5,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101141,2022-03-30T00:00:00,TOR vs. MIN,W,40.375,5,15,0,2,2,2,1,9,13,6,1,1,4,6,12,0.232,0.087,85,8,0.167,28,80,230,4,1,2022-03-30,110.55833333333334,3,14,50,4,20,14,6,5,2,216,14,14,29.0,3.0,0.21166666666666667,0.309,0,13,106
6,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101127,2022-03-28T00:00:00,TOR vs. BOS,W,47.208333333333336,17,29,0,4,6,8,2,11,1,1,3,2,6,7,40,0.3,0.224,92,32,0.05,28,80,230,16,1,2022-03-28,101.46666666666667,3,12,37,2,14,17,9,2,0,196,9,11,21.0,2.0,0.17533333333333334,0.29333333333333333,0,13,104
7,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101109,2022-03-26T00:00:00,TOR vs. IND,W,31.066666666666666,10,15,1,3,2,4,1,5,7,3,2,0,3,3,23,0.303,0.175,61,16,0.087,28,80,230,8,1,2022-03-26,106.41666666666667,3,12,42,2,18,15,9,0,0,204,8,13,20.0,3.0,0.19499999999999998,0.29066666666666663,0,13,102
8,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101095,2022-03-24T00:00:00,TOR vs. CLE,W,32.28333333333333,12,20,6,7,5,5,1,4,6,2,0,0,5,4,35,0.324,0.236,63,10,0.057,28,80,230,5,1,2022-03-24,120.28333333333333,3,7,39,3,18,16,10,1,1,233,7,14,20.0,2.0,0.14100000000000001,0.23933333333333337,0,13,100
9,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101076,2022-03-21T00:00:00,TOR @ CHI,L,38.11666666666667,8,14,0,2,6,8,0,5,4,4,0,0,1,4,22,0.253,0.115,72,16,0.0,28,80,230,8,0,2022-03-21,155.81666666666666,4,13,58,8,31,20,12,3,2,311,7,20,28.0,3.0,0.1885,0.25225,0,13,97
10,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101069,2022-03-20T00:00:00,TOR @ PHI,W,36.016666666666666,10,20,1,3,5,6,1,9,5,3,0,0,2,5,26,0.295,0.234,69,14,0.154,28,80,230,7,2,2022-03-20,119.8,3,10,41,7,22,15,9,3,2,242,5,15,21.0,1.0,0.17333333333333334,0.23800000000000002,0,13,96
11,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101051,2022-03-18T00:00:00,TOR vs. LAL,L,46.15,6,12,1,2,4,7,2,4,7,3,1,1,4,5,17,0.17,0.074,92,10,0.0,28,80,230,5,0,2022-03-18,150.11666666666667,4,17,68,9,26,25,9,5,1,315,8,21,31.0,4.0,0.1815,0.27375000000000005,0,13,94
12,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101044,2022-03-16T00:00:00,TOR @ LAC,W,39.15,13,22,3,5,2,2,4,8,3,2,1,0,0,1,31,0.275,0.217,74,18,0.065,28,80,230,9,1,2022-03-16,148.08333333333334,4,17,61,6,25,25,8,5,1,316,12,23,26.0,4.0,0.157,0.25725,0,13,92
13,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101028,2022-03-14T00:00:00,TOR @ LAL,W,34.5,9,17,2,3,7,10,1,10,5,4,1,1,1,9,27,0.269,0.229,76,14,0.0,28,80,230,7,0,2022-03-14,113.58333333333334,3,14,47,5,15,20,4,4,0,240,11,14,19.0,4.0,0.13299999999999998,0.2533333333333333,0,13,90
14,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101009,2022-03-12T00:00:00,TOR @ DEN,W,35.75,12,22,2,4,7,8,1,4,7,1,2,0,3,6,33,0.286,0.175,76,18,0.061,28,80,230,9,1,2022-03-12,118.75,3,14,47,4,15,17,3,3,1,248,12,15,16.0,4.0,0.09499999999999999,0.2543333333333333,0,13,88
15,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022101003,2022-03-11T00:00:00,TOR @ PHX,W,40.71666666666667,10,24,2,5,3,4,3,4,10,2,1,0,4,5,25,0.265,0.105,89,12,0.16,28,80,230,6,2,2022-03-11,118.515,3,12,45,4,22,9,6,2,1,244,11,16,21.0,2.0,0.13,0.26899999999999996,0,13,87
16,2021-22,1627783,Pascal Siakam,1610612761,TOR,Toronto Raptors,0022100989,2022-03-09T00:00:00,TOR @ SAS,W,37.11666666666667,7,15,2,5,4,4,1,7,3,1,1,0,4,3,20,0.209,0.119,75,8,0.1,28,80,230,4,1,2022-03-09,124.155,3,7,50,3,20,8,9,2,1,249,11,19,25.0,3.0,0.138,0.2816666666666667,0,13,85
