,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101216,2022-04-10T00:00:00,BKN vs. IND,W,30.383333333333333,3,6,2,5,0,0,0,2,2,3,0,0,1,0,8,0.118,0.03,67,2,0.0,33,72,180,1,0,2022-04-10,73.195,3,20,0,0,3,5,2,2,0,155,2,3,0.0,0.0,0.08233333333333333,0.13333333333333333,0,11,88
1,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101205,2022-04-08T00:00:00,BKN vs. CLE,W,24.111666666666668,2,5,2,5,2,3,0,0,1,0,0,0,0,2,8,0.109,0.055,49,0,0.0,33,72,180,0,0,2022-04-08,79.60666666666665,3,20,2,0,4,5,4,2,0,175,6,1,0.0,0.0,0.02866666666666667,0.13466666666666666,0,11,86
2,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101191,2022-04-06T00:00:00,BKN @ NYK,W,23.7,5,7,5,7,0,0,0,0,2,1,1,0,1,1,15,0.143,0.147,49,0,0.0,33,72,180,0,0,2022-04-06,72.00666666666666,3,15,3,0,5,5,3,2,0,165,5,0,0.0,0.0,0.00033333333333333365,0.11133333333333334,0,11,84
3,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101180,2022-04-05T00:00:00,BKN vs. HOU,W,25.383333333333333,2,8,2,8,0,0,0,3,2,1,1,0,1,0,6,0.148,0.045,57,0,0.0,33,72,180,0,0,2022-04-05,63.50666666666667,3,8,3,0,3,4,2,1,0,145,6,0,0.0,0.0,-0.00033333333333333365,0.07033333333333333,0,11,83
4,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101163,2022-04-02T00:00:00,BKN @ ATL,L,30.523333333333333,0,7,0,5,0,0,0,1,1,2,0,0,4,0,0,0.113,-0.106,69,0,0.0,33,72,180,0,0,2022-04-02,65.21833333333333,4,17,2,0,7,6,1,1,0,144,5,1,1.0,0.0,0.04625,0.123,0,11,80
5,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101148,2022-03-31T00:00:00,BKN vs. MIL,L,16.1,1,3,1,2,0,0,0,1,2,0,1,0,0,0,3,0.073,0.062,39,0,0.0,33,72,180,0,0,2022-03-31,49.11833333333334,3,15,1,0,6,4,1,0,0,105,5,1,1.0,0.0,0.041,0.1396666666666667,0,11,78
6,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101133,2022-03-29T00:00:00,BKN vs. DET,W,16.883333333333333,1,1,1,1,0,0,0,1,1,0,0,0,2,0,3,0.025,0.043,37,0,0.0,33,72,180,0,0,2022-03-29,57.16833333333334,3,17,2,0,6,3,3,0,0,126,5,3,1.0,0.0,0.003333333333333332,0.16366666666666665,0,11,76
7,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101120,2022-03-27T00:00:00,BKN vs. CHA,L,11.935,1,4,0,3,0,0,0,4,2,0,0,0,2,0,2,0.129,0.08,27,2,0.0,33,72,180,1,0,2022-03-27,76.04333333333334,3,23,3,1,4,2,5,0,1,160,5,5,0.0,2.0,-0.004666666666666669,0.18266666666666667,0,11,74
8,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101111,2022-03-26T00:00:00,BKN @ MIA,W,20.3,2,11,2,11,3,3,0,1,1,1,0,0,1,1,9,0.265,0.0,41,0,0.0,33,72,180,0,0,2022-03-26,55.74333333333333,2,12,3,1,3,1,4,0,1,119,4,4,0.0,2.0,-0.007000000000000003,0.14150000000000001,0,11,73
9,2021-22,201988,Patty Mills,1610612751,BKN,Brooklyn Nets,0022101089,2022-03-23T00:00:00,BKN @ MEM,L,24.933333333333334,0,4,0,3,0,0,0,1,0,2,0,0,2,2,0,0.097,-0.07,58,0,0.0,33,72,180,0,0,2022-03-23,84.525,3,22,4,1,5,3,2,2,1,163,3,3,0.0,2.0,0.021333333333333333,0.14,0,11,70
