,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022101212,2022-04-09T00:00:00,LAC vs. SAC,W,33.56666666666667,8,14,6,9,1,2,1,7,12,4,2,0,3,4,23,0.25,0.203,70,2,0.087,32,80,220,1,1,2022-04-09,57.18333333333334,2,13,13,0,14,11,6,5,2,119,1,7,2.0,0.0,0.183,0.272,1,36,0
1,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022101195,2022-04-06T00:00:00,LAC vs. PHX,W,28.1,4,11,2,6,9,11,0,9,4,2,3,2,1,5,19,0.273,0.246,60,4,0.0,32,80,220,2,0,2022-04-06,61.133333333333326,2,16,19,0,9,12,9,5,0,128,3,8,3.0,2.0,0.101,0.33,0,35,6
2,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022101177,2022-04-03T00:00:00,LAC vs. NOP,W,29.083333333333332,5,15,5,7,0,0,0,5,7,4,2,0,0,2,15,0.271,0.12,59,0,0.0,32,80,220,0,0,2022-04-03,62.864999999999995,2,18,22,0,6,11,7,7,1,132,5,13,7.0,2.0,0.153,0.396,0,35,3
3,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022101149,2022-03-31T00:00:00,LAC @ CHI,L,32.05,7,20,2,9,6,7,0,4,5,5,3,0,3,6,22,0.389,0.082,69,6,0.182,32,80,220,3,2,2022-03-31,30.815,1,9,11,0,2,6,2,4,1,63,2,7,4.0,0.0,0.224,0.403,1,35,0
4,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022101135,2022-03-29T00:00:00,LAC vs. UTA,W,30.815,10,20,6,9,8,11,0,2,6,2,4,1,2,7,34,0.403,0.224,63,8,0.0,32,80,220,4,0,2022-03-29,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,34,97
5,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022100475,2021-12-22T00:00:00,LAC @ SAC,W,32.24666666666667,6,18,3,7,2,2,0,4,6,2,5,1,2,2,17,0.294,0.138,65,0,0.353,32,80,220,0,3,2021-12-22,30.5,1,9,8,1,5,6,5,3,0,65,1,7,4.0,1.0,0.179,0.352,1,34,0
6,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022100463,2021-12-20T00:00:00,LAC vs. SAS,L,30.5,8,17,3,9,6,7,1,5,6,5,3,0,1,7,25,0.352,0.179,65,8,0.08,32,80,220,4,1,2021-12-20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,33,14
7,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022100362,2021-12-06T00:00:00,LAC @ POR,W,38.583333333333336,9,18,0,3,3,5,0,8,4,4,4,0,2,4,21,0.264,0.168,80,12,0.286,32,80,220,6,3,2021-12-06,111.16333333333333,3,24,37,1,16,22,15,5,0,221,8,13,7.0,9.0,0.09366666666666666,0.3353333333333333,1,33,0
8,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022100348,2021-12-04T00:00:00,LAC @ SAC,L,37.79666666666667,5,21,3,7,2,2,0,6,10,5,2,0,4,2,15,0.287,0.069,80,0,0.267,32,80,220,0,2,2021-12-04,109.88333333333334,3,24,40,1,15,17,18,3,0,219,7,15,10.0,12.0,0.108,0.36433333333333334,0,32,5
9,2021-22,202331,Paul George,1610612746,LAC,LA Clippers,0022100341,2021-12-03T00:00:00,LAC @ LAL,W,39.46666666666667,7,20,0,7,5,6,1,7,9,3,2,0,1,5,19,0.295,0.108,78,6,0.421,32,80,220,3,4,2021-12-03,102.81666666666666,3,26,37,0,13,12,17,4,1,210,8,14,9.0,10.0,0.09100000000000001,0.3586666666666667,0,32,4
