,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101204,2022-04-08T00:00:00,NYK @ WAS,W,14.9,6,10,0,0,2,4,0,3,2,0,0,0,0,3,14,0.353,0.188,32,8,0.286,22,78,214,4,2,2022-04-08,112.68333333333334,3,23,42,2,14,15,9,2,0,230,5,18,13.0,1.0,0.06999999999999999,0.3256666666666667,1,7,0
1,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101191,2022-04-06T00:00:00,NYK vs. BKN,L,44.96666666666667,7,27,2,11,7,12,1,6,7,3,0,0,3,8,23,0.333,0.038,93,8,0.087,22,78,214,4,1,2022-04-06,105.84166666666667,3,16,39,2,11,11,9,3,0,218,3,15,17.0,0.0,0.09066666666666667,0.3026666666666667,0,6,57
2,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101171,2022-04-03T00:00:00,NYK @ ORL,W,33.4,9,20,3,9,6,8,1,4,6,3,1,0,0,7,27,0.333,0.178,69,12,0.0,22,78,214,6,0,2022-04-03,152.05833333333334,4,15,62,6,17,9,9,4,0,309,7,18,25.0,0.0,0.082,0.27449999999999997,0,6,54
3,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101162,2022-04-02T00:00:00,NYK vs. CLE,L,34.31666666666667,4,18,1,3,3,4,0,4,2,3,1,0,2,3,12,0.311,-0.006,68,6,0.0,22,78,214,3,0,2022-04-02,117.74166666666667,3,12,47,6,13,7,6,3,0,241,5,15,22.0,0.0,0.11133333333333334,0.26233333333333336,0,6,53
4,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101140,2022-03-30T00:00:00,NYK vs. CHA,L,38.125,9,17,1,4,6,8,1,3,3,3,1,0,1,5,25,0.264,0.1,81,16,0.0,22,78,214,8,0,2022-03-30,151.29166666666666,4,25,53,8,18,11,10,3,0,296,8,22,23.0,1.0,0.10675,0.28700000000000003,0,6,50
5,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101126,2022-03-28T00:00:00,NYK vs. CHI,W,43.2,10,24,2,3,6,7,3,3,3,1,1,0,2,6,28,0.262,0.118,88,16,0.0,22,78,214,8,0,2022-03-28,149.775,4,29,50,8,25,11,14,4,0,294,8,26,23.0,1.0,0.10400000000000001,0.31475000000000003,0,6,48
6,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101115,2022-03-27T00:00:00,NYK @ DET,W,36.416666666666664,7,18,1,5,6,7,2,7,1,2,1,0,2,4,21,0.261,0.116,72,12,0.0,22,78,214,6,0,2022-03-27,156.49166666666665,4,32,49,8,23,13,16,4,0,303,9,27,21.0,1.0,0.09525,0.32125,0,6,47
7,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101103,2022-03-25T00:00:00,NYK @ MIA,W,33.85333333333333,5,17,2,10,6,8,3,5,4,5,0,0,2,6,18,0.321,0.058,63,6,0.0,22,78,214,3,0,2022-03-25,162.47166666666666,4,26,60,7,22,12,12,4,1,322,7,27,22.0,2.0,0.0995,0.304,0,6,45
8,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101084,2022-03-23T00:00:00,NYK @ CHA,W,37.821666666666665,10,19,3,7,7,8,0,3,3,2,1,0,2,6,30,0.304,0.135,73,12,0.067,22,78,214,6,1,2022-03-23,164.91666666666669,4,30,57,9,21,14,11,5,2,332,6,26,21.0,1.0,0.10775000000000001,0.29174999999999995,0,6,43
9,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101081,2022-03-22T00:00:00,NYK vs. ATL,L,41.68333333333333,9,25,1,7,11,17,3,10,3,5,2,0,2,10,30,0.373,0.107,86,16,0.0,22,78,214,8,0,2022-03-22,123.23333333333333,3,23,39,6,11,11,6,3,2,246,4,16,13.0,1.0,0.108,0.26466666666666666,0,6,42
10,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101067,2022-03-20T00:00:00,NYK vs. UTA,L,43.13333333333333,8,20,4,8,4,6,2,5,3,4,1,0,3,5,24,0.287,0.081,81,8,0.0,22,78,214,4,0,2022-03-20,121.61666666666666,3,20,43,4,7,10,5,5,2,251,2,15,16.0,1.0,0.10466666666666667,0.2643333333333333,0,6,40
11,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101050,2022-03-18T00:00:00,NYK vs. WAS,W,39.833333333333336,6,22,1,4,5,6,2,4,3,1,0,1,0,6,18,0.252,0.075,82,8,0.111,22,78,214,4,1,2022-03-18,121.5,3,22,44,3,9,9,6,6,1,257,3,13,19.0,1.0,0.10333333333333333,0.27933333333333327,0,6,38
12,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101037,2022-03-16T00:00:00,NYK vs. POR,W,40.266666666666666,10,20,5,11,6,7,2,2,5,1,2,1,1,5,31,0.255,0.168,83,10,0.0,22,78,214,5,0,2022-03-16,119.00666666666666,3,14,48,1,14,8,6,4,0,247,5,12,19.0,3.0,0.10433333333333333,0.2653333333333333,0,6,36
13,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101012,2022-03-13T00:00:00,NYK @ BKN,L,41.516666666666666,8,21,1,5,7,8,0,1,2,3,3,0,1,4,24,0.286,0.071,86,14,0.0,22,78,214,7,0,2022-03-13,147.14666666666668,4,17,63,1,30,16,8,1,0,308,12,14,27.0,3.0,0.1465,0.27849999999999997,0,6,33
14,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022101000,2022-03-11T00:00:00,NYK @ MEM,L,39.71666666666667,9,25,1,6,4,7,1,6,2,2,1,0,1,4,23,0.297,0.071,88,14,0.087,22,78,214,7,1,2022-03-11,151.2133333333333,4,18,63,2,27,19,9,0,0,314,13,16,25.0,2.0,0.13025,0.28225,0,6,31
15,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022100988,2022-03-09T00:00:00,NYK @ DAL,W,37.77333333333333,7,16,0,3,4,5,0,7,4,1,0,0,3,4,18,0.213,0.171,73,10,0.222,22,78,214,5,2,2022-03-09,153.80666666666667,4,23,65,3,25,22,11,0,0,325,13,18,25.0,2.0,0.123,0.303,0,6,29
16,2021-22,1629628,RJ Barrett,1610612752,NYK,New York Knicks,0022100974,2022-03-07T00:00:00,NYK @ SAC,W,36.8,11,21,3,6,4,4,0,8,6,3,0,0,5,2,29,0.313,0.137,79,16,0.0,22,78,214,8,0,2022-03-07,117.00666666666666,3,17,50,3,17,16,8,0,0,246,8,16,17.0,2.0,0.11833333333333333,0.2996666666666667,0,6,27
