,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101219,2022-04-10T00:00:00,DAL vs. SAS,W,26.616666666666667,1,6,1,3,1,1,1,2,2,1,0,0,3,0,4,0.109,-0.004,56,0,0.0,31,78,205,0,0,2022-04-10,98.08333333333333,3,17,4,1,11,3,3,1,1,200,10,1,3.0,1.0,0.041,0.11499999999999999,0,44,30
1,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101209,2022-04-08T00:00:00,DAL vs. POR,W,26.616666666666667,2,7,1,6,0,0,1,1,0,2,1,0,3,0,5,0.15,-0.026,55,2,0.0,31,78,205,1,0,2022-04-08,105.76666666666667,3,18,4,2,12,5,1,0,1,214,8,2,2.0,1.0,0.06266666666666668,0.105,0,44,28
2,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101190,2022-04-06T00:00:00,DAL @ DET,W,31.216666666666665,3,5,3,5,0,0,0,3,2,1,0,0,2,0,9,0.092,0.065,63,0,0.0,31,78,205,0,0,2022-04-06,116.31666666666666,3,20,4,3,12,6,2,1,1,234,8,2,2.0,1.0,0.055333333333333325,0.10633333333333332,0,44,26
3,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101167,2022-04-03T00:00:00,DAL @ MIL,W,40.25,6,9,3,6,1,1,0,7,1,0,0,1,5,1,16,0.103,0.084,82,4,0.125,31,78,205,2,1,2022-04-03,144.15,4,33,3,3,10,7,2,4,0,281,5,1,1.0,1.0,0.086,0.12525,0,44,23
4,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101152,2022-04-01T00:00:00,DAL @ WAS,L,34.3,2,8,2,7,2,2,2,2,2,0,0,0,1,1,8,0.12,0.039,69,0,0.0,31,78,205,0,0,2022-04-01,142.96666666666667,4,32,7,5,12,8,3,4,0,279,7,0,2.0,1.0,0.07024999999999999,0.13475,0,44,21
5,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101136,2022-03-30T00:00:00,DAL @ CLE,W,41.766666666666666,3,7,3,7,0,0,1,3,3,2,1,0,2,0,9,0.096,0.043,83,0,0.0,31,78,205,0,0,2022-03-30,135.05,4,31,9,4,14,7,1,5,0,265,7,0,3.0,1.0,0.07350000000000001,0.1365,0,44,19
6,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101134,2022-03-29T00:00:00,DAL vs. LAL,W,33.233333333333334,6,9,5,8,0,0,0,1,1,0,2,0,0,0,17,0.123,0.104,65,2,0.0,31,78,205,1,0,2022-03-29,101.81666666666666,3,23,8,4,13,6,1,3,0,200,7,0,2.0,1.0,0.06333333333333334,0.141,0,44,18
7,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101121,2022-03-27T00:00:00,DAL vs. UTA,W,34.85,8,12,7,11,0,0,0,4,1,0,1,0,2,0,23,0.162,0.158,64,0,0.087,31,78,205,0,1,2022-03-27,103.50333333333333,3,23,7,4,16,7,1,3,0,212,8,0,2.0,0.0,0.05433333333333334,0.13166666666666668,0,44,16
8,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101104,2022-03-25T00:00:00,DAL @ MIN,L,33.11666666666667,1,11,0,6,0,0,4,4,3,1,0,0,3,0,2,0.158,-0.024,67,2,0.0,31,78,205,1,0,2022-03-25,70.38666666666667,2,17,2,0,12,4,0,3,0,145,5,0,1.0,0.0,0.0935,0.1185,0,44,14
9,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101092,2022-03-23T00:00:00,DAL vs. HOU,W,33.85,2,8,1,6,0,0,0,5,2,0,2,0,2,0,5,0.103,0.056,69,2,0.0,31,78,205,1,0,2022-03-23,36.53666666666667,1,11,0,0,7,2,0,1,0,76,3,0,0.0,0.0,0.131,0.134,0,44,12
10,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022101079,2022-03-21T00:00:00,DAL vs. MIN,W,36.53666666666667,6,11,6,11,0,0,0,7,2,0,1,0,3,0,18,0.134,0.131,76,0,0.0,31,78,205,0,0,2022-03-21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,44,10
11,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022100999,2022-03-11T00:00:00,DAL @ HOU,W,36.11666666666667,3,9,2,8,0,0,0,2,1,1,0,1,2,0,8,0.122,0.018,73,2,0.0,31,78,205,1,0,2022-03-11,105.685,3,18,7,2,9,5,3,2,2,212,6,0,3.0,1.0,0.006333333333333332,0.11666666666666665,1,44,0
12,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022100988,2022-03-09T00:00:00,DAL vs. NYK,L,29.583333333333332,0,8,0,8,0,2,1,6,2,0,0,1,0,0,0,0.125,-0.014,57,0,0.0,31,78,205,0,0,2022-03-09,118.16666666666666,3,22,9,1,6,7,3,5,2,236,6,1,3.0,1.0,0.035666666666666666,0.12933333333333333,0,43,25
13,2021-22,203493,Reggie Bullock,1610612742,DAL,Dallas Mavericks,0022100972,2022-03-07T00:00:00,DAL vs. UTA,W,34.53333333333333,1,5,1,4,2,2,0,3,2,2,0,1,3,0,5,0.088,0.011,68,0,0.0,31,78,205,0,0,2022-03-07,119.81666666666666,3,25,10,2,8,6,3,6,2,241,5,1,4.0,1.0,0.03866666666666667,0.14533333333333334,0,43,23
