,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101212,2022-04-09T00:00:00,LAC vs. SAC,W,22.483333333333334,3,9,1,4,0,0,0,3,1,4,0,0,0,0,7,0.245,0.01,47,0,0.571,32,74,208,0,2,2022-04-09,63.083333333333336,2,13,17,0,4,12,4,3,2,127,6,3,8.0,0.0,0.041,0.2415,1,22,0
1,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101195,2022-04-06T00:00:00,LAC vs. PHX,W,29.866666666666667,5,11,0,4,0,0,0,2,2,2,1,1,2,1,10,0.197,0.049,61,10,0.0,32,74,208,5,0,2022-04-06,73.00833333333333,2,18,24,0,4,17,6,2,1,150,9,5,7.0,2.0,0.0775,0.306,0,21,6
2,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101177,2022-04-03T00:00:00,LAC vs. NOP,W,33.21666666666667,4,19,1,9,2,2,0,2,10,2,2,1,4,2,11,0.286,0.033,66,6,0.0,32,74,208,3,0,2022-04-03,77.125,2,20,27,1,4,12,5,0,1,157,10,4,9.0,3.0,0.0865,0.314,0,21,3
3,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101149,2022-03-31T00:00:00,LAC @ CHI,L,39.791666666666664,12,23,6,9,4,4,0,2,7,4,0,0,5,3,34,0.326,0.122,84,8,0.118,32,74,208,4,2,2022-03-31,64.70333333333333,2,14,23,1,5,5,5,1,1,130,7,4,9.0,1.0,0.0255,0.2895,1,21,0
4,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101135,2022-03-29T00:00:00,LAC vs. UTA,W,37.333333333333336,8,24,2,11,3,3,1,2,5,1,0,1,5,1,21,0.302,0.051,73,10,0.095,32,74,208,5,1,2022-03-29,59.236666666666665,2,7,24,0,6,6,4,2,0,121,5,6,9.0,1.0,0.032,0.28049999999999997,0,20,16
5,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101106,2022-03-25T00:00:00,LAC vs. PHI,L,27.37,4,13,0,3,3,3,0,3,0,4,1,0,2,3,11,0.277,0.0,57,8,0.0,32,74,208,4,0,2022-03-25,46.486666666666665,2,6,21,0,5,7,1,2,0,94,4,3,7.0,1.0,0.055,0.2985,0,20,12
6,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101083,2022-03-22T00:00:00,LAC @ DEN,L,31.866666666666667,6,18,0,4,2,2,0,3,6,0,1,0,3,3,14,0.284,0.064,64,10,0.143,32,74,208,5,1,2022-03-22,48.665,2,10,18,0,4,10,4,1,0,92,3,5,6.0,0.0,0.08299999999999999,0.3305,0,20,9
7,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101055,2022-03-18T00:00:00,LAC @ UTA,L,14.62,3,9,1,2,0,0,0,2,1,1,1,0,1,0,7,0.313,0.046,30,4,0.0,32,74,208,2,0,2022-03-18,113.495,3,23,32,2,13,23,9,3,1,213,7,9,13.0,0.0,0.10933333333333332,0.28800000000000003,0,20,5
8,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101044,2022-03-16T00:00:00,LAC vs. TOR,L,34.045,8,19,4,8,3,5,0,2,9,3,0,0,2,5,23,0.348,0.12,62,8,0.0,32,74,208,4,0,2022-03-16,119.16666666666667,3,24,33,2,14,21,10,4,2,229,9,6,13.0,3.0,0.11366666666666668,0.2753333333333334,0,20,3
9,2021-22,202704,Reggie Jackson,1610612746,LAC,LA Clippers,0022101013,2022-03-13T00:00:00,LAC @ DET,W,39.63333333333333,6,16,3,7,0,0,1,7,9,1,2,1,4,1,15,0.198,0.111,74,6,0.0,32,74,208,3,0,2022-03-13,134.88333333333333,4,30,43,4,15,23,12,2,1,278,7,10,14.0,4.0,0.06975,0.2825,1,20,0
