,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100513,2021-12-28T00:00:00,CLE @ NOP,L,36.766666666666666,10,25,3,7,4,4,2,11,9,1,2,2,1,4,27,0.346,0.259,71,10,0.148,31,74,190,5,2,2021-12-28,53.88333333333333,2,11,14,1,6,12,6,6,0,123,3,4,4.0,1.0,0.0865,0.2415,1,46,0
1,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100494,2021-12-26T00:00:00,CLE vs. TOR,W,23.333333333333332,6,13,2,6,2,2,0,2,6,2,3,0,2,1,16,0.258,0.123,57,6,0.125,31,74,190,3,1,2021-12-26,30.55,1,5,7,1,4,6,4,3,0,66,1,3,1.0,0.0,0.05,0.225,0,45,268
2,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100471,2021-12-22T00:00:00,CLE @ BOS,L,30.55,2,12,1,5,3,4,1,4,6,4,3,0,1,3,8,0.225,0.05,66,2,0.0,31,74,190,1,0,2021-12-22,50.46666666666667,2,9,9,0,7,22,6,7,1,111,3,5,5.0,1.0,0.20700000000000002,0.202,0,45,264
3,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100446,2021-12-18T00:00:00,CLE @ MIL,W,29.166666666666668,6,12,2,6,1,1,0,5,10,4,3,1,2,2,15,0.216,0.2,64,6,0.133,31,74,190,3,1,2021-12-18,75.31666666666666,3,10,14,0,7,22,7,8,0,160,9,8,4.0,2.0,0.128,0.19699999999999998,0,45,260
4,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100417,2021-12-15T00:00:00,CLE vs. HOU,W,21.3,2,6,0,3,3,3,0,2,12,2,4,0,1,3,7,0.188,0.214,47,4,0.0,31,74,190,2,0,2021-12-15,100.13666666666667,4,12,22,1,12,27,9,5,0,215,13,12,3.0,5.0,0.10475,0.20575,0,45,257
5,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100404,2021-12-13T00:00:00,CLE vs. MIA,W,27.666666666666668,3,9,1,4,0,0,0,3,7,1,1,0,3,1,7,0.161,0.093,55,2,0.286,31,74,190,1,1,2021-12-13,100.125,4,12,22,2,12,29,8,4,0,219,13,14,3.0,4.0,0.10074999999999999,0.2035,0,45,255
6,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100393,2021-12-11T00:00:00,CLE vs. SAC,W,26.35,4,9,2,3,5,6,0,2,3,4,3,0,5,4,15,0.242,0.077,58,2,0.133,31,74,190,1,1,2021-12-11,104.47333333333334,4,15,21,2,14,28,5,2,1,223,9,12,6.0,3.0,0.11,0.187,0,45,253
7,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100387,2021-12-10T00:00:00,CLE @ MIN,W,22.953333333333333,2,9,1,4,1,2,1,3,8,3,0,0,3,2,6,0.22,0.038,53,2,0.0,31,74,190,1,0,2021-12-10,110.37,4,14,24,1,15,26,2,2,1,227,7,13,6.0,4.0,0.11775,0.17025,0,45,252
8,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100367,2021-12-08T00:00:00,CLE vs. CHI,W,23.166666666666668,3,7,0,1,5,5,0,4,9,1,1,0,2,5,11,0.2,0.211,49,0,0.545,31,74,190,0,3,2021-12-08,113.02000000000001,4,16,20,2,15,23,4,3,1,230,6,11,7.0,1.0,0.0865,0.16325,0,45,250
9,2021-22,201937,Ricky Rubio,1610612739,CLE,Cleveland Cavaliers,0022100358,2021-12-06T00:00:00,CLE @ MIL,L,27.655,2,9,1,4,2,2,1,3,9,0,0,0,3,3,7,0.152,0.077,59,2,0.0,31,74,190,1,0,2021-12-06,113.41499999999999,4,13,25,1,19,20,6,4,1,228,6,8,8.0,1.0,0.08750000000000001,0.17674999999999996,0,45,248
