,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022101116,2022-03-27T00:00:00,BOS vs. MIN,W,23.783333333333335,6,7,0,0,1,1,6,4,0,0,1,1,2,1,13,0.125,0.169,48,12,0.0,24,81,237,6,0,2022-03-27,50.91666666666667,2,0,11,4,15,6,2,3,6,99,6,1,10.0,0.0,0.16449999999999998,0.1205,1,34,0
1,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022101087,2022-03-23T00:00:00,BOS vs. UTA,W,24.55,6,7,0,0,0,0,2,8,2,2,2,4,3,1,12,0.17,0.177,49,12,0.0,24,81,237,6,0,2022-03-23,68.72833333333334,3,0,12,6,16,6,1,1,7,141,6,0,10.0,0.0,0.123,0.08600000000000001,0,33,3
2,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022101068,2022-03-20T00:00:00,BOS @ DEN,W,26.366666666666667,4,4,0,0,0,0,2,7,4,0,1,2,3,0,8,0.071,0.152,50,8,0.0,24,81,237,4,0,2022-03-20,76.90333333333334,3,0,12,8,12,3,1,0,5,160,7,1,10.0,0.0,0.10466666666666669,0.08333333333333333,1,33,0
3,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022101057,2022-03-18T00:00:00,BOS @ SAC,W,18.795,2,3,0,0,0,0,1,3,1,1,0,1,3,0,4,0.098,0.047,39,4,0.0,24,81,237,2,0,2022-03-18,91.75833333333333,3,0,16,12,13,5,0,1,5,191,6,3,13.0,0.0,0.13,0.08666666666666667,0,32,33
4,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022101042,2022-03-16T00:00:00,BOS @ GSW,W,23.566666666666666,4,5,0,0,0,0,3,6,1,0,0,4,0,0,8,0.089,0.17,52,8,0.0,24,81,237,4,0,2022-03-16,87.975,3,0,18,16,11,5,1,2,3,176,11,4,14.0,0.0,0.131,0.11366666666666665,0,32,31
5,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022101014,2022-03-13T00:00:00,BOS vs. DAL,L,34.541666666666664,4,4,0,0,2,2,4,3,1,0,0,0,4,1,10,0.063,0.097,69,8,0.0,24,81,237,4,0,2022-03-13,90.88333333333334,3,0,21,14,14,6,1,4,8,184,9,5,15.0,0.0,0.13666666666666666,0.11966666666666669,0,32,28
6,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022100997,2022-03-11T00:00:00,BOS vs. DET,W,33.65,5,7,0,0,2,4,5,4,3,0,1,1,2,2,12,0.108,0.123,70,10,0.0,24,81,237,5,0,2022-03-11,57.233333333333334,2,0,14,9,10,3,1,3,7,114,7,3,10.0,0.0,0.1435,0.1255,0,32,26
7,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022100981,2022-03-09T00:00:00,BOS @ CHA,W,19.783333333333335,5,7,0,0,1,1,7,4,1,1,1,2,5,1,11,0.17,0.173,37,10,0.0,24,81,237,5,0,2022-03-09,72.7,2,0,13,4,16,5,1,5,8,145,4,3,9.0,1.0,0.126,0.08449999999999999,0,32,24
8,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022100960,2022-03-06T00:00:00,BOS vs. BKN,W,37.45,5,7,0,0,0,0,2,6,2,0,2,5,2,2,10,0.081,0.114,77,10,0.0,24,81,237,5,0,2022-03-06,103.02333333333334,3,0,19,13,23,8,2,5,9,208,7,3,12.0,1.0,0.13433333333333333,0.09033333333333333,0,32,21
9,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022100940,2022-03-03T00:00:00,BOS vs. MEM,W,35.25,5,6,0,0,0,0,2,10,3,1,3,3,2,1,10,0.088,0.138,68,8,0.2,24,81,237,4,1,2022-03-03,118.68833333333335,4,0,27,19,23,10,1,2,7,244,11,4,17.0,0.0,0.14450000000000002,0.11474999999999999,0,32,18
10,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022100927,2022-03-01T00:00:00,BOS vs. ATL,W,35.156666666666666,3,3,0,0,3,3,4,9,2,0,1,2,5,2,9,0.049,0.157,71,6,0.0,24,81,237,3,0,2022-03-01,83.53166666666667,3,0,24,15,14,8,1,1,5,173,6,2,14.0,0.0,0.14033333333333334,0.1366666666666667,0,32,16
11,2021-22,1629057,Robert Williams III,1610612738,BOS,Boston Celtics,0022100914,2022-02-27T00:00:00,BOS @ IND,L,32.61666666666667,5,10,0,0,0,0,7,4,3,1,1,4,0,0,10,0.134,0.108,69,10,0.0,24,81,237,5,0,2022-02-27,50.915000000000006,2,0,14,8,10,5,0,0,1,104,6,2,9.0,0.0,0.1565,0.138,0,32,14
