,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101230,2022-04-10T00:00:00,UTA @ POR,W,29.633333333333333,4,6,0,0,10,14,3,10,1,2,0,2,2,11,18,0.2,0.377,64,8,0.0,30,85,258,4,0,2022-04-10,93.48333333333332,3,0,24,11,32,3,7,2,4,198,11,21,19.0,0.0,0.16933333333333334,0.19999999999999998,0,24,16
1,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101210,2022-04-08T00:00:00,UTA vs. PHX,L,33.05,5,7,0,0,6,9,3,9,2,4,0,1,4,5,16,0.2,0.121,68,10,0.0,30,85,258,5,0,2022-04-08,97.96666666666667,3,2,24,13,38,2,5,4,3,204,10,25,19.0,0.0,0.17566666666666667,0.18766666666666668,0,24,14
2,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101194,2022-04-06T00:00:00,UTA vs. OKC,W,26.15,9,9,0,0,2,4,2,8,1,0,1,2,2,5,20,0.18,0.202,53,18,0.0,30,85,258,9,0,2022-04-06,107.9,3,2,26,15,43,1,7,4,3,223,11,28,19.0,0.0,0.18433333333333335,0.19599999999999998,0,24,12
3,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101187,2022-04-05T00:00:00,UTA vs. MEM,W,34.28333333333333,5,8,0,0,12,18,6,15,0,3,1,1,5,11,22,0.22,0.185,77,10,0.0,30,85,258,5,0,2022-04-05,112.05000000000001,3,2,25,13,40,2,7,5,5,223,11,20,18.0,0.0,0.14833333333333334,0.17133333333333334,0,24,11
4,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101165,2022-04-02T00:00:00,UTA @ GSW,L,37.53333333333333,5,9,0,2,4,7,5,15,1,2,2,0,3,9,14,0.163,0.14,74,10,0.0,30,85,258,5,0,2022-04-02,74.51666666666667,2,0,18,8,25,1,5,3,5,149,8,11,13.0,0.0,0.1525,0.1755,0,24,8
5,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101150,2022-03-31T00:00:00,UTA vs. LAL,W,36.083333333333336,9,11,0,0,7,9,4,13,0,2,1,2,3,8,25,0.205,0.228,72,18,0.0,30,85,258,9,0,2022-03-31,75.85833333333332,2,0,14,6,29,2,4,2,4,148,9,8,9.0,0.0,0.1185,0.1285,0,24,6
6,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101135,2022-03-29T00:00:00,UTA @ LAC,L,38.43333333333333,4,7,0,0,1,6,4,12,1,3,2,3,5,3,9,0.146,0.077,77,8,0.0,30,85,258,4,0,2022-03-29,67.84166666666667,2,0,13,6,24,2,2,1,1,130,5,11,9.0,0.0,0.1615,0.11699999999999999,0,24,4
7,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101100,2022-03-25T00:00:00,UTA @ CHA,L,37.425,5,7,0,0,1,2,2,17,1,1,0,1,4,5,11,0.111,0.16,71,10,0.0,30,85,258,5,0,2022-03-25,120.6,4,0,25,15,25,4,5,1,5,240,4,21,18.0,0.0,0.17200000000000001,0.14550000000000002,1,24,0
8,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101087,2022-03-23T00:00:00,UTA @ BOS,L,30.416666666666668,4,6,0,0,6,6,4,7,1,1,1,0,1,6,14,0.123,0.163,59,8,0.0,30,85,258,4,0,2022-03-23,123.65,4,0,27,17,32,5,5,1,9,252,6,20,19.0,0.0,0.17575000000000002,0.15225,0,23,12
9,2021-22,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,0022101075,2022-03-21T00:00:00,UTA @ BKN,L,30.566666666666666,4,5,0,0,3,4,0,4,1,1,0,0,1,4,11,0.118,0.09,61,8,0.0,30,85,258,4,0,2022-03-21,124.80000000000001,4,0,30,21,38,4,6,2,9,258,7,21,21.0,0.0,0.1985,0.16699999999999998,0,23,10
