,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101189,2022-04-05T00:00:00,LAL @ PHX,L,34.25,10,20,2,3,6,8,1,4,3,6,0,0,2,4,28,0.361,0.1,77,10,0.214,33,75,200,5,3,2022-04-05,130.94333333333333,4,12,53,5,23,25,8,2,1,277,16,16,24.0,7.0,0.1245,0.26625,1,37,0
1,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101168,2022-04-03T00:00:00,LAL vs. DEN,L,33.766666666666666,11,15,0,1,5,10,2,8,7,2,2,1,5,8,27,0.25,0.183,73,18,0.148,33,75,200,9,2,2022-04-03,128.8516666666667,4,16,49,6,19,24,9,1,0,268,13,9,21.0,5.0,0.11375,0.269,0,36,54
2,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101160,2022-04-01T00:00:00,LAL vs. NOP,L,30.576666666666668,5,15,2,4,0,0,2,2,5,1,0,0,6,0,12,0.213,0.027,66,6,0.0,33,75,200,3,0,2022-04-01,98.27499999999999,3,12,38,4,17,19,8,1,0,202,7,9,18.0,5.0,0.1426666666666667,0.2876666666666667,0,36,52
3,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101150,2022-03-31T00:00:00,LAL @ UTA,L,34.483333333333334,9,18,0,2,6,10,1,5,7,3,0,0,2,5,24,0.309,0.135,71,12,0.25,33,75,200,6,3,2022-03-31,63.79166666666667,2,10,22,3,12,12,5,1,0,131,5,4,12.0,2.0,0.14650000000000002,0.277,0,36,51
4,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101134,2022-03-29T00:00:00,LAL @ DAL,L,32.11666666666667,9,17,1,5,6,6,0,8,6,2,0,0,3,3,25,0.293,0.153,67,12,0.16,33,75,200,6,2,2022-03-29,64.565,2,10,25,5,11,14,10,2,0,140,4,5,14.0,0.0,0.1315,0.29900000000000004,0,36,49
5,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101119,2022-03-27T00:00:00,LAL @ NOP,L,31.675,8,15,2,5,0,0,3,4,6,3,1,0,2,1,18,0.261,0.14,64,12,0.0,33,75,200,6,0,2022-03-27,68.23,2,11,23,2,12,19,8,2,0,153,6,9,10.0,3.0,0.1215,0.2745,0,36,47
6,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101093,2022-03-23T00:00:00,LAL vs. PHI,L,32.89,10,20,2,5,2,5,2,7,8,7,1,0,2,4,24,0.337,0.123,76,16,0.0,33,75,200,8,0,2022-03-23,148.87333333333333,4,20,39,5,24,34,13,5,1,315,12,12,15.0,6.0,0.12425000000000001,0.21799999999999997,0,36,43
7,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101072,2022-03-21T00:00:00,LAL @ CLE,W,35.34,7,14,2,6,4,7,0,5,11,1,1,0,4,5,20,0.212,0.12,77,4,0.3,33,75,200,2,3,2022-03-21,148.46666666666667,4,15,40,7,25,27,13,5,1,318,10,12,16.0,4.0,0.12525000000000003,0.20575,0,36,41
8,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101061,2022-03-19T00:00:00,LAL @ WAS,L,36.61666666666667,10,15,2,3,0,0,2,8,8,5,1,1,3,0,22,0.225,0.155,77,10,0.273,33,75,200,5,3,2022-03-19,140.38333333333333,4,14,36,6,18,21,12,4,0,306,8,14,16.0,1.0,0.09525,0.205,0,36,39
9,2021-22,201566,Russell Westbrook,1610612747,LAL,Los Angeles Lakers,0022101051,2022-03-18T00:00:00,LAL @ TOR,W,41.233333333333334,8,18,4,7,2,2,1,9,10,4,1,0,2,1,22,0.235,0.139,82,8,0.0,33,75,200,4,0,2022-03-18,130.48333333333332,4,8,35,5,12,20,9,4,1,289,9,16,14.0,1.0,0.065,0.19624999999999998,0,36,38
