,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022101078,2022-03-21T00:00:00,OKC vs. BOS,L,36.56666666666667,13,23,4,4,1,1,0,1,9,2,0,0,5,5,31,0.294,0.121,77,18,0.0,23,78,180,9,0,2022-03-21,103.58333333333334,3,15,44,3,18,17,9,4,3,216,8,17,22.0,8.0,0.16766666666666666,0.304,1,14,0
1,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022101052,2022-03-18T00:00:00,OKC @ MIA,L,32.75,9,17,1,4,7,9,0,7,4,3,1,2,2,8,26,0.307,0.15,66,16,0.0,23,78,180,8,0,2022-03-18,108.70666666666666,3,16,46,3,17,20,7,5,4,230,11,16,20.0,10.0,0.17466666666666666,0.29233333333333333,1,13,0
2,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022101040,2022-03-16T00:00:00,OKC @ SAS,L,34.68333333333333,14,22,1,4,5,8,1,5,8,3,3,1,1,4,34,0.329,0.211,74,12,0.412,23,78,180,6,7,2022-03-16,105.30666666666667,3,16,39,2,15,20,8,3,3,224,11,15,16.0,3.0,0.10866666666666668,0.2753333333333334,0,12,47
3,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022101023,2022-03-14T00:00:00,OKC vs. CHA,L,36.15,12,20,3,7,5,5,2,6,5,3,0,0,5,5,32,0.276,0.142,76,16,0.063,23,78,180,8,1,2022-03-14,104.30666666666667,3,12,41,0,17,29,10,6,4,227,9,18,13.0,5.0,0.132,0.2996666666666667,0,12,45
4,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022101018,2022-03-13T00:00:00,OKC vs. MEM,L,37.873333333333335,9,20,1,5,12,12,0,6,7,1,2,3,5,7,31,0.272,0.171,80,12,0.129,23,78,180,6,2,2022-03-13,104.75,3,11,45,0,18,30,9,8,2,227,8,21,16.0,5.0,0.13933333333333334,0.31633333333333336,0,12,44
5,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100986,2022-03-09T00:00:00,OKC @ MIN,L,31.283333333333335,2,15,0,4,4,4,0,3,8,4,1,0,1,3,8,0.278,0.013,68,4,0.0,23,78,180,2,0,2022-03-09,140.03333333333333,4,15,70,1,26,34,17,10,3,312,12,30,30.0,9.0,0.17525000000000002,0.348,0,12,40
6,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100979,2022-03-08T00:00:00,OKC vs. MIL,L,35.15,11,18,3,3,8,12,0,8,14,5,3,1,3,8,33,0.349,0.212,79,10,0.182,23,78,180,5,3,2022-03-08,104.88333333333334,3,12,55,1,18,20,12,7,2,233,9,22,25.0,6.0,0.163,0.3476666666666666,0,12,39
7,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100965,2022-03-06T00:00:00,OKC vs. UTA,L,38.31666666666667,11,23,0,4,11,12,0,7,8,0,4,1,4,10,33,0.322,0.193,80,18,0.121,23,78,180,9,2,2022-03-06,99.40333333333334,3,11,49,2,17,22,17,6,1,226,10,22,24.0,5.0,0.17433333333333334,0.357,0,12,37
8,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100951,2022-03-04T00:00:00,OKC vs. MIN,L,29.833333333333332,14,21,1,3,4,5,1,4,7,5,1,0,3,5,33,0.354,0.179,70,22,0.121,23,78,180,11,2,2022-03-04,107.66999999999999,3,13,50,2,20,20,19,7,4,239,9,24,24.0,4.0,0.171,0.36800000000000005,0,12,35
9,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100938,2022-03-02T00:00:00,OKC @ DEN,W,36.733333333333334,10,23,3,5,6,8,0,7,5,7,2,1,2,7,29,0.367,0.117,83,10,0.138,23,78,180,5,2,2022-03-02,105.58833333333334,3,13,49,3,14,20,18,5,3,234,11,24,30.0,3.0,0.16766666666666666,0.36466666666666664,0,12,33
10,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100925,2022-02-28T00:00:00,OKC vs. SAC,L,32.836666666666666,12,16,3,3,10,14,1,6,10,5,3,0,5,10,37,0.35,0.227,73,16,0.054,23,78,180,8,1,2022-02-28,72.75166666666667,2,10,36,2,8,10,13,2,3,161,6,14,22.0,2.0,0.138,0.372,0,12,31
11,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100897,2022-02-25T00:00:00,OKC @ IND,W,38.1,13,24,1,5,9,12,1,7,5,7,2,3,2,7,36,0.387,0.169,83,22,0.056,23,78,180,11,1,2022-02-25,34.651666666666664,1,5,17,1,1,5,6,0,0,78,4,7,11.0,1.0,0.107,0.357,0,12,28
12,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100893,2022-02-24T00:00:00,OKC vs. PHX,L,34.651666666666664,13,22,1,5,5,6,1,1,5,6,0,0,4,7,32,0.357,0.107,78,22,0.063,23,78,180,11,1,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,27
13,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100741,2022-01-28T00:00:00,OKC vs. IND,L,17.366666666666667,4,10,0,3,2,6,0,2,3,0,2,1,0,5,10,0.289,0.089,40,8,0.0,23,78,180,4,0,2022-01-28,110.28333333333333,3,15,48,4,13,22,7,7,3,234,9,21,25.0,0.0,0.18433333333333335,0.31266666666666665,1,12,0
14,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100730,2022-01-24T00:00:00,OKC vs. CHI,L,38.516666666666666,9,17,2,5,11,14,0,3,10,3,3,1,1,9,31,0.287,0.181,83,14,0.0,23,78,180,7,0,2022-01-24,138.98333333333335,4,18,67,6,17,24,9,8,2,297,13,25,32.0,1.0,0.15225,0.3205,0,11,24
15,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100695,2022-01-22T00:00:00,OKC @ CLE,L,38.53333333333333,12,23,3,7,2,5,2,7,6,3,3,1,5,3,29,0.318,0.223,77,18,0.0,23,78,180,9,0,2022-01-22,134.6,4,13,68,5,13,25,9,6,3,290,12,27,29.0,2.0,0.11750000000000001,0.3185,0,11,22
16,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100684,2022-01-21T00:00:00,OKC @ CHA,L,33.233333333333334,10,23,1,3,8,9,2,3,6,1,1,1,3,9,29,0.333,0.149,74,18,0.0,23,78,180,9,0,2022-01-21,101.36666666666667,3,10,48,3,10,19,8,5,2,216,9,18,20.0,2.0,0.107,0.3136666666666667,0,11,21
17,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100676,2022-01-19T00:00:00,OKC @ SAS,L,29.883333333333333,5,21,0,4,3,4,2,1,7,3,2,0,2,4,13,0.325,0.013,66,10,0.0,23,78,180,5,0,2022-01-19,106.53333333333333,3,11,44,3,17,21,10,4,4,223,7,23,24.0,2.0,0.17833333333333334,0.315,0,11,19
18,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100663,2022-01-17T00:00:00,OKC @ DAL,L,37.333333333333336,11,18,1,4,11,12,0,6,5,2,2,0,3,9,34,0.306,0.224,80,18,0.059,23,78,180,9,1,2022-01-17,104.19999999999999,3,9,50,3,14,24,10,3,4,216,8,19,25.0,3.0,0.16033333333333333,0.32,0,11,17
19,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100646,2022-01-15T00:00:00,OKC vs. CLE,L,34.15,7,19,0,2,7,9,1,3,7,3,1,2,4,5,21,0.31,0.084,70,12,0.095,23,78,180,6,1,2022-01-15,101.53333333333333,3,10,44,4,14,21,8,3,4,204,7,19,21.0,2.0,0.13833333333333334,0.30133333333333334,0,11,15
20,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100630,2022-01-13T00:00:00,OKC @ BKN,W,35.05,11,18,2,5,9,10,2,8,9,5,1,2,0,9,33,0.329,0.227,73,18,0.0,23,78,180,9,0,2022-01-13,94.86666666666667,3,8,39,2,9,18,7,4,3,193,8,14,15.0,3.0,0.09033333333333333,0.27266666666666667,0,11,13
21,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100612,2022-01-11T00:00:00,OKC @ WAS,L,35.0,13,22,1,2,5,6,0,3,8,2,1,0,4,5,32,0.321,0.17,73,20,0.125,23,78,180,10,2,2022-01-11,97.36666666666667,3,12,28,2,8,15,9,3,3,196,8,13,7.0,2.0,0.055,0.247,0,11,11
22,2021-22,1628983,Shai Gilgeous-Alexander,1610612760,OKC,Oklahoma City Thunder,0022100601,2022-01-09T00:00:00,OKC vs. DEN,L,31.483333333333334,2,14,0,3,4,4,2,3,4,1,1,2,3,5,8,0.254,0.018,58,4,0.0,23,78,180,2,0,2022-01-09,65.88333333333333,2,9,17,0,5,11,8,2,1,138,5,8,5.0,2.0,0.07350000000000001,0.2435,0,11,9
