,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022101042,2022-03-16T00:00:00,GSW vs. BOS,L,13.68,1,4,1,4,0,0,0,1,2,4,0,0,2,0,3,0.267,-0.078,28,0,0.0,34,74,185,0,0,2022-03-16,106.54333333333332,3,30,23,1,19,17,8,4,1,222,3,11,11.0,5.0,0.204,0.27,1,65,0
1,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022101025,2022-03-14T00:00:00,GSW vs. WAS,W,35.43333333333333,16,25,7,14,8,8,0,6,6,2,1,0,1,4,47,0.366,0.28,75,10,0.17,34,74,185,5,4,2022-03-14,106.16,3,22,18,1,18,16,10,6,1,222,6,9,9.0,2.0,0.14166666666666664,0.21933333333333335,0,64,9
2,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022101008,2022-03-12T00:00:00,GSW vs. MIL,W,33.15,3,7,2,4,0,0,1,4,8,4,1,1,1,2,8,0.134,0.094,70,2,0.0,34,74,185,1,0,2022-03-12,108.70666666666665,3,27,28,0,18,9,10,5,0,230,5,9,14.0,5.0,0.15166666666666664,0.2753333333333334,0,64,7
3,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100994,2022-03-10T00:00:00,GSW @ DEN,W,37.96,11,21,5,12,7,7,0,9,3,2,2,0,1,5,34,0.31,0.238,77,10,0.059,34,74,185,5,1,2022-03-10,111.18,3,20,29,0,14,15,11,4,0,230,7,5,12.0,5.0,0.11299999999999999,0.241,0,64,5
4,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100980,2022-03-08T00:00:00,GSW vs. LAC,W,35.05,5,12,1,6,4,4,0,5,5,4,3,0,4,2,15,0.214,0.093,75,6,0.133,34,74,185,3,1,2022-03-08,109.36166666666666,3,30,31,1,13,14,11,1,0,233,4,9,13.0,5.0,0.1366666666666667,0.28833333333333333,0,64,3
5,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100959,2022-03-05T00:00:00,GSW @ LAL,L,35.696666666666665,13,22,4,9,0,0,0,4,1,4,0,0,0,2,30,0.302,0.124,78,12,0.2,34,74,185,6,3,2022-03-05,111.73833333333332,3,31,33,2,12,23,8,3,0,235,4,11,14.0,3.0,0.15100000000000002,0.28533333333333327,1,64,0
6,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100943,2022-03-03T00:00:00,GSW @ DAL,L,40.43333333333333,8,15,4,5,1,1,0,5,9,3,1,0,3,1,21,0.207,0.122,77,6,0.095,34,74,185,3,1,2022-03-03,98.75500000000001,3,33,27,2,12,28,8,3,1,216,4,13,14.0,2.0,0.17900000000000002,0.297,0,63,31
7,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100930,2022-03-01T00:00:00,GSW @ MIN,L,33.23166666666667,10,24,5,16,9,9,1,4,4,4,0,0,1,6,34,0.356,0.164,78,8,0.059,34,74,185,4,1,2022-03-01,65.52333333333333,2,17,19,1,8,24,4,3,1,138,3,7,10.0,1.0,0.1865,0.26749999999999996,0,63,29
8,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100917,2022-02-27T00:00:00,GSW vs. DAL,L,38.07333333333333,11,25,3,10,2,4,1,3,10,1,2,0,0,4,27,0.293,0.167,80,14,0.074,34,74,185,7,1,2022-02-27,27.45,1,7,4,0,5,14,3,1,1,58,3,3,3.0,0.0,0.206,0.242,0,63,27
9,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100894,2022-02-24T00:00:00,GSW @ POR,W,27.45,5,11,2,7,6,6,0,5,14,3,1,1,3,3,18,0.242,0.206,58,6,0.0,34,74,185,3,0,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,63,24
10,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100883,2022-02-16T00:00:00,GSW vs. DEN,L,39.08833333333333,10,19,1,7,4,4,0,3,6,2,0,0,2,3,25,0.239,0.122,85,12,0.24,34,74,185,6,3,2022-02-16,139.20000000000002,4,45,28,1,15,22,13,2,0,286,12,18,12.0,5.0,0.156,0.29924999999999996,0,63,16
11,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100866,2022-02-14T00:00:00,GSW @ LAC,L,33.81666666666667,11,18,8,13,3,3,0,2,2,4,0,0,2,5,33,0.307,0.188,69,6,0.0,34,74,185,3,0,2022-02-14,141.95666666666665,4,42,25,1,22,30,13,3,0,298,12,16,10.0,6.0,0.1505,0.27299999999999996,0,63,14
12,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100854,2022-02-12T00:00:00,GSW vs. LAL,W,36.6,7,17,1,8,9,9,0,5,8,2,1,0,3,5,24,0.256,0.156,76,10,0.083,34,74,185,5,1,2022-02-12,105.35666666666665,3,34,16,1,17,22,11,2,0,222,9,11,5.0,5.0,0.1486666666666667,0.2786666666666667,0,63,12
13,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100837,2022-02-10T00:00:00,GSW vs. NYK,L,39.13333333333333,11,25,5,16,8,8,0,2,10,3,1,0,5,6,35,0.337,0.167,83,6,0.171,34,74,185,3,3,2022-02-10,97.90166666666667,3,25,11,1,16,19,12,3,0,203,8,8,5.0,2.0,0.128,0.24266666666666667,0,63,10
14,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100828,2022-02-09T00:00:00,GSW @ UTA,L,29.65,5,13,3,8,3,4,1,6,2,4,0,0,2,2,16,0.297,0.113,58,2,0.125,34,74,185,1,1,2022-02-09,68.25166666666667,2,17,6,0,10,17,8,3,0,145,6,6,4.0,1.0,0.1355,0.21550000000000002,0,63,9
15,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100813,2022-02-07T00:00:00,GSW @ OKC,W,36.57333333333333,6,12,4,10,2,2,0,9,10,4,1,0,2,3,18,0.202,0.166,81,2,0.111,34,74,185,1,1,2022-02-07,69.62833333333333,2,21,13,0,6,16,5,3,1,142,4,9,7.0,2.0,0.192,0.2715,0,63,7
16,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100785,2022-02-03T00:00:00,GSW vs. SAC,W,31.678333333333335,7,11,4,7,2,2,0,1,7,4,2,0,4,3,20,0.229,0.105,64,6,0.0,34,74,185,3,0,2022-02-03,111.82,3,34,27,2,18,23,10,7,1,236,6,14,8.0,4.0,0.18566666666666665,0.28900000000000003,0,63,3
17,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100764,2022-01-31T00:00:00,GSW @ HOU,W,37.95,13,23,7,14,7,8,0,5,9,1,1,1,0,6,40,0.314,0.279,78,8,0.1,34,74,185,4,2,2022-01-31,102.845,3,30,24,4,20,21,13,7,0,220,9,12,5.0,6.0,0.13466666666666668,0.2816666666666667,1,63,0
18,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100750,2022-01-29T00:00:00,GSW vs. BKN,W,35.52,5,18,3,10,6,6,2,5,8,5,3,0,5,4,19,0.278,0.094,75,2,0.105,34,74,185,1,1,2022-01-29,102.35833333333333,3,33,23,4,17,19,9,4,0,209,4,11,7.0,6.0,0.12,0.28099999999999997,0,62,15
19,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100734,2022-01-27T00:00:00,GSW vs. MIN,W,38.35,10,20,6,10,3,3,0,8,6,4,3,0,1,4,29,0.275,0.184,83,6,0.069,34,74,185,3,1,2022-01-27,146.89,4,52,32,4,18,33,9,3,1,294,9,18,10.0,7.0,0.12275,0.28875,0,62,13
20,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100720,2022-01-25T00:00:00,GSW vs. DAL,W,28.975,7,16,2,10,2,3,2,7,7,4,1,0,3,4,18,0.292,0.126,62,2,0.444,34,74,185,1,4,2022-01-25,146.46333333333334,4,50,29,2,14,34,6,5,1,292,7,16,11.0,3.0,0.151,0.26575,0,62,11
21,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100708,2022-01-23T00:00:00,GSW vs. UTA,W,35.03333333333333,5,20,1,13,2,2,2,2,6,1,0,0,0,3,13,0.276,0.05,64,6,0.154,34,74,185,3,1,2022-01-23,111.42999999999999,3,37,22,0,12,28,5,5,1,228,7,13,8.0,2.0,0.18466666666666667,0.2623333333333333,0,62,9
22,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100694,2022-01-21T00:00:00,GSW vs. HOU,W,38.931666666666665,6,21,4,13,6,8,0,4,12,2,1,1,3,2,22,0.291,0.113,77,0,0.182,34,74,185,0,2,2022-01-21,100.11500000000001,3,34,19,0,10,18,4,5,0,207,4,15,10.0,1.0,0.17966666666666667,0.25,0,62,7
23,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100683,2022-01-20T00:00:00,GSW vs. IND,L,43.95,12,27,6,16,9,9,0,5,8,2,1,0,3,9,39,0.296,0.202,91,12,0.0,34,74,185,6,0,2022-01-20,85.41499999999999,3,24,13,0,13,14,6,6,0,182,1,7,6.0,1.0,0.148,0.22166666666666668,0,62,6
24,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100667,2022-01-18T00:00:00,GSW vs. DET,W,28.548333333333332,6,11,4,8,2,2,0,3,8,1,3,0,1,2,18,0.2,0.239,60,4,0.0,34,74,185,2,0,2022-01-18,95.56166666666667,3,25,22,1,19,16,8,5,0,208,3,9,9.0,2.0,0.12166666666666666,0.25066666666666665,0,62,4
25,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100637,2022-01-14T00:00:00,GSW @ CHI,W,27.616666666666667,7,15,4,10,1,2,0,2,2,1,1,0,0,4,19,0.254,0.098,56,4,0.105,34,74,185,2,1,2022-01-14,104.46166666666666,3,26,27,4,19,19,12,5,0,220,6,8,12.0,2.0,0.13433333333333333,0.27566666666666667,1,62,0
26,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100627,2022-01-13T00:00:00,GSW @ MIL,L,29.25,4,11,2,6,2,2,0,8,4,4,2,0,0,1,12,0.211,0.107,66,4,0.0,34,74,185,2,0,2022-01-13,75.21166666666667,2,20,22,4,11,15,8,3,0,154,6,7,10.0,2.0,0.14800000000000002,0.308,0,61,8
27,2021-22,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,0022100614,2022-01-11T00:00:00,GSW @ MEM,L,38.695,8,21,2,9,9,10,1,9,10,3,2,0,3,4,27,0.287,0.16,86,10,0.074,34,74,185,5,1,2022-01-11,72.58333333333334,2,20,25,3,11,10,10,1,1,141,5,5,8.0,2.0,0.07550000000000001,0.351,0,61,6
