,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101222,2022-04-10T00:00:00,LAC vs. OKC,W,24.366666666666667,4,7,1,2,1,1,0,5,3,1,0,2,0,4,10,0.125,0.137,53,6,0.0,25,77,215,3,0,2022-04-10,70.61833333333334,3,6,19,3,5,7,3,0,1,150,6,2,7.0,2.0,0.057999999999999996,0.17766666666666664,0,7,147
1,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101212,2022-04-09T00:00:00,LAC vs. SAC,W,15.633333333333333,2,7,1,3,0,0,0,1,2,0,0,0,4,0,5,0.184,-0.017,33,2,0.0,25,77,215,1,0,2022-04-09,54.985,2,3,15,3,4,5,3,0,1,117,2,2,6.0,2.0,0.0955,0.1745,0,7,146
2,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101195,2022-04-06T00:00:00,LAC vs. PHX,W,25.81833333333333,3,6,1,1,3,4,1,3,2,2,0,1,1,2,10,0.149,0.078,60,4,0.0,25,77,215,2,0,2022-04-06,80.82166666666667,3,5,23,3,6,10,5,0,1,163,4,8,11.0,3.0,0.08566666666666667,0.18033333333333335,0,7,143
3,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101177,2022-04-03T00:00:00,LAC vs. NOP,W,29.166666666666668,7,12,1,2,0,0,2,1,3,1,0,0,1,0,15,0.2,0.113,57,8,0.267,25,77,215,4,2,2022-04-03,74.35166666666666,3,4,16,3,5,10,4,0,2,151,6,12,10.0,1.0,0.07733333333333334,0.14633333333333334,0,7,140
4,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101156,2022-04-01T00:00:00,LAC @ MIL,W,31.733333333333334,7,12,1,2,3,5,1,2,5,3,0,1,1,7,18,0.227,0.097,65,12,0.0,25,77,215,6,0,2022-04-01,65.15166666666667,3,2,13,3,4,7,3,1,1,135,9,10,7.0,1.0,0.06933333333333334,0.1446666666666667,0,7,138
5,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101149,2022-03-31T00:00:00,LAC @ CHI,L,19.921666666666667,2,4,0,1,0,0,0,3,2,1,0,0,2,1,4,0.114,0.047,41,2,0.5,25,77,215,1,1,2022-03-31,45.230000000000004,2,1,10,3,1,5,2,1,1,94,7,9,6.0,0.0,0.08049999999999999,0.16,0,7,137
6,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101135,2022-03-29T00:00:00,LAC vs. UTA,W,22.696666666666665,3,4,0,1,2,2,2,0,3,0,0,1,3,4,8,0.098,0.088,45,6,0.0,25,77,215,3,0,2022-03-29,57.91666666666667,2,2,15,4,6,6,2,1,1,117,4,13,10.0,0.0,0.119,0.20850000000000002,0,7,135
7,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101106,2022-03-25T00:00:00,LAC vs. PHI,L,22.533333333333335,3,7,0,0,6,7,1,1,2,2,1,0,4,5,12,0.222,0.073,49,6,0.0,25,77,215,3,0,2022-03-25,62.53333333333333,2,7,13,3,7,10,3,1,1,126,2,11,9.0,0.0,0.133,0.21300000000000002,0,7,131
8,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101083,2022-03-22T00:00:00,LAC @ DEN,L,35.38333333333333,7,10,0,2,10,12,3,5,4,0,0,1,0,8,24,0.195,0.165,68,14,0.0,25,77,215,7,0,2022-03-22,57.379999999999995,2,10,11,4,7,10,4,2,0,114,5,4,5.0,1.0,0.14150000000000001,0.2185,0,7,128
9,2021-22,1629611,Terance Mann,1610612746,LAC,LA Clippers,0022101055,2022-03-18T00:00:00,LAC @ UTA,L,27.15,4,10,2,5,4,4,0,2,6,3,1,0,2,3,14,0.231,0.101,58,4,0.0,25,77,215,2,0,2022-03-18,119.16,4,15,27,6,21,11,1,3,2,225,12,4,12.0,2.0,0.09575,0.173,0,7,124
