,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101217,2022-04-10T00:00:00,CHA vs. WAS,W,31.616666666666667,10,18,5,9,0,0,0,3,6,1,0,0,2,1,25,0.26,0.148,66,8,0.08,28,73,190,4,1,2022-04-10,90.225,3,19,27,4,10,17,1,1,1,186,2,3,17.0,2.0,0.13433333333333333,0.237,0,16,130
1,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101208,2022-04-08T00:00:00,CHA @ CHI,W,29.816666666666666,7,14,1,6,0,0,0,4,8,0,0,0,0,1,15,0.222,0.126,57,10,0.133,28,73,190,5,1,2022-04-08,88.10833333333333,3,18,23,4,10,15,2,6,1,190,2,6,13.0,1.0,0.126,0.22466666666666665,0,16,128
2,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101196,2022-04-07T00:00:00,CHA vs. ORL,W,26.458333333333332,9,17,2,7,2,2,3,5,3,0,1,1,1,1,22,0.281,0.203,58,12,0.091,28,73,190,6,1,2022-04-07,61.650000000000006,2,11,13,1,5,12,2,5,0,132,1,5,7.0,0.0,0.0875,0.1965,0,16,127
3,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101181,2022-04-05T00:00:00,CHA @ MIA,L,33.95,7,15,1,6,1,1,1,1,6,1,0,0,1,1,16,0.208,0.074,71,12,0.0,28,73,190,6,0,2022-04-05,61.03333333333333,2,13,12,1,8,10,1,7,0,130,4,6,5.0,0.0,0.082,0.214,0,16,125
4,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101161,2022-04-02T00:00:00,CHA @ PHI,L,27.7,2,9,1,5,5,6,0,4,6,1,5,0,0,4,10,0.185,0.101,61,2,0.0,28,73,190,1,0,2022-04-02,96.64166666666668,3,20,22,2,12,16,3,4,0,201,9,3,8.0,2.0,0.07833333333333332,0.215,0,16,122
5,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101140,2022-03-30T00:00:00,CHA @ NYK,W,33.333333333333336,5,16,1,8,4,4,1,4,4,0,2,0,4,2,15,0.243,0.063,69,8,0.0,28,73,190,4,0,2022-03-30,136.375,4,28,34,2,14,16,7,3,1,269,8,7,11.0,2.0,0.09025,0.23175,0,16,119
6,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101122,2022-03-28T00:00:00,CHA vs. DEN,L,26.3,5,14,2,7,0,0,0,2,8,0,1,0,3,0,12,0.23,0.092,55,4,0.167,28,73,190,2,1,2022-03-28,144.77499999999998,4,30,32,2,14,9,9,3,2,281,7,9,12.0,2.0,0.08575,0.2315,0,16,117
7,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101120,2022-03-27T00:00:00,CHA @ BKN,W,37.00833333333333,5,12,2,5,2,2,1,6,4,3,1,0,2,1,14,0.172,0.08,77,4,0.143,28,73,190,2,1,2022-03-27,107.76666666666667,3,25,25,1,8,5,6,2,2,204,5,8,10.0,1.0,0.08766666666666667,0.25133333333333335,0,16,116
8,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101100,2022-03-25T00:00:00,CHA vs. UTA,W,34.13333333333333,9,20,5,8,2,2,0,4,1,0,1,0,2,3,25,0.266,0.14,65,8,0.0,28,73,190,4,0,2022-03-25,102.76666666666665,3,24,16,2,9,10,8,1,3,196,4,9,8.0,2.0,0.09566666666666668,0.22833333333333336,0,16,114
9,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101084,2022-03-23T00:00:00,CHA vs. NYK,L,38.93333333333333,6,16,3,8,3,3,1,2,3,4,0,1,1,3,18,0.259,0.049,72,6,0.0,28,73,190,3,0,2022-03-23,99.03666666666666,3,24,17,3,8,9,6,4,2,193,5,8,9.0,4.0,0.10466666666666667,0.22433333333333336,0,16,112
10,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101071,2022-03-21T00:00:00,CHA vs. NOP,W,34.7,7,14,3,9,0,0,0,2,1,2,1,1,2,2,17,0.229,0.074,67,6,0.118,28,73,190,3,1,2022-03-21,96.38666666666667,3,23,21,3,12,12,6,5,1,193,6,8,11.0,5.0,0.14033333333333334,0.242,0,16,110
11,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101059,2022-03-19T00:00:00,CHA vs. DAL,W,29.133333333333333,7,10,4,7,0,0,1,5,6,2,0,1,1,4,18,0.197,0.164,57,4,0.111,28,73,190,2,1,2022-03-19,67.25333333333333,2,16,18,2,7,6,4,5,0,136,5,4,9.0,4.0,0.1285,0.26449999999999996,0,16,108
12,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101033,2022-03-16T00:00:00,CHA vs. ATL,W,35.20333333333333,8,17,2,8,0,1,2,1,2,2,3,0,2,2,18,0.247,0.076,69,8,0.222,28,73,190,4,2,2022-03-16,103.33333333333333,3,30,21,1,9,15,7,9,0,210,4,4,9.0,3.0,0.12366666666666666,0.25399999999999995,0,16,105
13,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101023,2022-03-14T00:00:00,CHA @ OKC,W,32.05,11,17,4,8,4,4,0,6,4,2,2,0,3,2,30,0.282,0.181,67,10,0.133,28,73,190,5,2,2022-03-14,108.58333333333333,3,33,20,2,10,15,7,10,1,225,4,5,9.0,1.0,0.12133333333333333,0.24066666666666667,0,16,103
14,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022101001,2022-03-11T00:00:00,CHA @ NOP,W,33.28333333333333,9,17,7,13,0,0,0,3,8,3,2,0,1,1,25,0.267,0.139,68,2,0.08,28,73,190,1,1,2022-03-11,110.77166666666666,3,28,26,4,10,13,5,9,1,234,4,6,11.0,1.0,0.13233333333333333,0.23199999999999998,0,16,100
15,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022100981,2022-03-09T00:00:00,CHA vs. BOS,L,38.0,5,17,2,9,2,2,1,0,3,2,5,0,0,1,14,0.213,0.051,75,6,0.0,28,73,190,3,0,2022-03-09,105.88833333333332,3,28,27,3,17,17,3,6,2,226,4,9,11.0,1.0,0.19299999999999998,0.24766666666666667,0,16,98
16,2021-22,1626179,Terry Rozier,1610612766,CHA,Charlotte Hornets,0022100975,2022-03-08T00:00:00,CHA vs. BKN,L,37.3,10,19,5,11,5,5,1,7,4,2,3,1,3,3,30,0.242,0.174,82,10,0.0,28,73,190,5,0,2022-03-08,68.58833333333334,2,17,19,2,10,13,1,3,1,144,1,6,6.0,1.0,0.2025,0.2505,0,16,97
