,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100720,2022-01-25T00:00:00,DAL @ GSW,L,10.233333333333333,2,5,1,3,5,5,0,0,1,0,0,0,0,5,10,0.292,0.19,22,2,0.0,30,77,205,1,0,2022-01-25,81.23333333333333,3,17,11,0,11,2,6,0,0,166,7,5,5.0,2.0,0.07966666666666668,0.19133333333333333,1,27,0
1,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100705,2022-01-23T00:00:00,DAL vs. MEM,W,26.016666666666666,3,8,2,5,1,2,0,4,0,3,0,0,2,1,9,0.197,0.024,54,2,0.0,30,77,205,1,0,2022-01-23,88.45,3,19,15,0,12,4,5,1,0,180,5,5,5.0,2.0,0.09033333333333333,0.19733333333333333,0,26,35
2,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100682,2022-01-20T00:00:00,DAL vs. PHX,L,28.283333333333335,4,10,3,7,0,0,0,5,1,0,0,0,3,2,11,0.145,0.082,59,0,0.182,30,77,205,0,1,2022-01-20,109.06666666666666,4,30,21,0,11,5,7,2,0,218,6,8,7.0,2.0,0.09325,0.258,0,26,32
3,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100675,2022-01-19T00:00:00,DAL vs. TOR,W,26.933333333333334,7,10,2,5,0,0,0,2,1,3,0,0,2,2,16,0.232,0.133,53,8,0.125,30,77,205,4,1,2022-01-19,111.15,4,32,20,0,10,7,4,4,0,220,8,10,5.0,3.0,0.08199999999999999,0.25175000000000003,0,26,31
4,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100663,2022-01-17T00:00:00,DAL vs. OKC,W,33.233333333333334,4,14,3,7,1,2,0,5,2,2,1,0,0,1,12,0.215,0.056,68,2,0.0,30,77,205,1,0,2022-01-17,77.91666666666667,3,25,13,0,5,5,2,3,0,152,8,9,4.0,3.0,0.09066666666666667,0.26399999999999996,0,26,29
5,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100650,2022-01-15T00:00:00,DAL vs. ORL,W,23.116666666666667,4,13,3,9,6,7,0,2,0,2,0,0,2,3,17,0.327,0.091,45,0,0.118,30,77,205,0,1,2022-01-15,82.76666666666667,3,21,14,0,9,6,1,6,0,164,7,6,6.0,3.0,0.08700000000000001,0.21233333333333335,0,26,27
6,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100639,2022-01-14T00:00:00,DAL @ MEM,W,25.783333333333335,5,14,3,9,3,4,0,2,2,0,1,0,2,2,16,0.258,0.093,52,4,0.0,30,77,205,2,0,2022-01-14,81.1,3,22,10,0,11,11,1,5,0,170,6,8,4.0,3.0,0.11833333333333333,0.19933333333333333,0,26,26
7,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100622,2022-01-12T00:00:00,DAL @ NYK,L,29.016666666666666,5,11,1,7,2,2,0,1,3,0,2,0,4,4,13,0.207,0.088,55,4,0.308,30,77,205,2,2,2022-01-12,77.53333333333333,3,21,14,0,13,9,2,4,1,166,3,5,4.0,3.0,0.12833333333333333,0.21666666666666667,0,26,24
8,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100603,2022-01-09T00:00:00,DAL vs. CHI,W,27.966666666666665,4,10,1,5,0,0,0,6,1,1,3,0,1,0,9,0.172,0.08,57,4,0.222,30,77,205,2,1,2022-01-09,95.46166666666667,4,27,17,2,11,11,4,2,2,201,3,9,6.0,2.0,0.11925,0.23825,0,26,21
9,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100586,2022-01-07T00:00:00,DAL @ HOU,W,24.116666666666667,5,11,5,10,4,7,0,4,7,0,0,0,1,4,19,0.219,0.187,58,0,0.0,30,77,205,0,0,2022-01-07,71.345,3,17,16,2,7,4,4,2,2,143,2,5,6.0,2.0,0.09666666666666666,0.24466666666666667,0,26,19
10,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100572,2022-01-05T00:00:00,DAL vs. GSW,W,25.45,6,14,2,6,0,0,0,3,1,1,1,1,1,1,14,0.259,0.118,51,4,0.286,30,77,205,2,2,2022-01-05,45.894999999999996,2,11,8,2,4,3,3,1,1,92,1,4,4.0,0.0,0.086,0.23750000000000002,0,26,17
11,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100558,2022-01-03T00:00:00,DAL vs. DEN,W,21.95,2,8,1,4,1,1,1,2,0,1,1,1,0,2,6,0.2,0.05,43,2,0.0,30,77,205,1,0,2022-01-03,23.945,1,7,4,1,2,3,2,0,0,49,1,2,3.0,0.0,0.122,0.275,0,26,15
12,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100550,2022-01-02T00:00:00,DAL @ OKC,W,23.945,5,11,2,7,3,3,1,2,3,2,0,0,1,2,15,0.275,0.122,49,6,0.0,30,77,205,3,0,2022-01-02,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,26,14
13,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100455,2021-12-19T00:00:00,DAL @ MIN,L,40.916666666666664,10,19,4,13,4,5,0,6,6,1,2,1,2,5,28,0.247,0.17,81,6,0.214,30,77,205,3,3,2021-12-19,90.33333333333334,3,28,17,1,14,10,2,1,0,174,7,4,2.0,3.0,0.09433333333333334,0.23700000000000002,1,26,0
14,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100420,2021-12-15T00:00:00,DAL vs. LAL,L,40.083333333333336,7,19,4,11,2,2,0,9,3,2,1,0,2,2,20,0.229,0.131,84,2,0.2,30,77,205,1,2,2021-12-15,102.9,4,32,19,2,12,9,4,3,1,192,6,3,6.0,5.0,0.0875,0.2485,0,25,227
15,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100410,2021-12-13T00:00:00,DAL vs. CHA,W,27.033333333333335,7,17,5,11,0,0,0,1,4,0,0,0,3,2,19,0.298,0.097,47,2,0.105,30,77,205,1,1,2021-12-13,103.42166666666668,4,28,20,3,13,6,4,4,1,200,4,2,9.0,5.0,0.0745,0.23324999999999999,0,25,225
16,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100400,2021-12-12T00:00:00,DAL @ OKC,W,23.216666666666665,2,9,2,6,0,0,1,4,3,0,0,0,2,0,6,0.184,0.055,43,0,0.0,30,77,205,0,0,2021-12-12,80.205,3,22,17,2,9,3,4,4,1,157,2,2,9.0,5.0,0.081,0.24966666666666668,0,25,224
17,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100383,2021-12-10T00:00:00,DAL @ IND,L,29.75,7,15,1,9,0,0,1,3,2,2,3,0,1,1,15,0.262,0.111,59,6,0.4,30,77,205,3,3,2021-12-10,106.22833333333334,4,28,25,4,14,4,3,4,1,211,3,13,7.0,4.0,0.11725,0.25925,0,25,222
18,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100373,2021-12-08T00:00:00,DAL @ MEM,W,22.9,4,10,1,6,0,0,0,4,0,2,0,1,0,0,9,0.25,0.087,43,4,0.222,30,77,205,2,1,2021-12-08,108.545,4,29,23,4,12,5,1,4,0,214,5,14,6.0,4.0,0.12275,0.24075000000000002,0,25,220
19,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100363,2021-12-07T00:00:00,DAL vs. BKN,L,27.555,5,14,0,7,1,1,1,2,1,0,1,0,1,1,11,0.237,0.045,55,8,0.182,30,77,205,4,1,2021-12-07,80.99,3,22,16,3,10,4,1,3,0,159,4,13,2.0,3.0,0.14866666666666667,0.242,0,25,219
20,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100345,2021-12-04T00:00:00,DAL vs. MEM,L,31.2,7,18,5,9,10,14,2,5,0,1,2,0,2,9,29,0.313,0.233,62,0,0.138,30,77,205,0,2,2021-12-04,112.55666666666667,4,21,21,2,7,8,2,6,1,229,5,7,5.0,3.0,0.0645,0.19175,0,25,216
21,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100338,2021-12-03T00:00:00,DAL vs. NOP,L,24.573333333333334,3,11,2,6,4,6,1,3,3,0,1,0,0,3,12,0.237,0.104,51,2,0.0,30,77,205,1,0,2021-12-03,87.98333333333332,3,15,16,1,4,5,2,5,1,178,5,4,4.0,3.0,0.051333333333333335,0.17666666666666667,0,25,215
22,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100325,2021-12-01T00:00:00,DAL @ NOP,W,25.216666666666665,6,9,4,7,0,0,0,2,1,0,0,0,2,1,16,0.176,0.109,46,2,0.125,30,77,205,1,1,2021-12-01,62.766666666666666,2,8,14,1,2,4,2,5,1,132,3,3,3.0,2.0,0.0225,0.177,0,25,213
23,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100310,2021-11-29T00:00:00,DAL vs. CLE,L,26.866666666666667,3,10,0,3,0,0,0,1,2,2,2,1,0,1,6,0.197,0.023,56,2,0.667,30,77,205,1,2,2021-11-29,76.9,2,15,14,1,6,4,0,4,0,155,8,4,2.0,3.0,0.022,0.1755,0,25,211
24,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100298,2021-11-27T00:00:00,DAL vs. WAS,L,35.9,4,12,2,5,0,2,1,1,2,0,3,0,3,2,10,0.157,0.022,76,4,0.0,30,77,205,2,0,2021-11-27,76.93333333333334,2,14,15,1,10,7,1,1,0,146,9,3,0.0,4.0,0.024,0.193,0,25,209
25,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100266,2021-11-23T00:00:00,DAL @ LAC,W,41.0,5,17,2,10,1,2,0,5,2,0,1,0,5,2,13,0.194,0.022,79,0,0.462,30,77,205,0,3,2021-11-23,107.85,3,22,34,2,10,10,2,3,0,209,9,7,6.0,6.0,0.05066666666666667,0.25133333333333335,0,25,205
26,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100248,2021-11-21T00:00:00,DAL @ LAC,L,35.93333333333333,2,12,1,4,3,3,1,5,5,1,0,0,4,1,8,0.192,0.026,67,0,0.25,30,77,205,0,1,2021-11-21,105.065,3,24,34,1,12,9,1,3,0,206,7,7,10.0,7.0,0.09366666666666668,0.252,0,25,203
27,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100237,2021-11-19T00:00:00,DAL @ PHX,L,35.083333333333336,7,21,2,10,2,2,0,4,1,0,1,0,1,4,18,0.266,0.058,70,6,0.222,30,77,205,3,2,2021-11-19,101.065,3,19,29,1,14,10,1,2,0,201,7,5,8.0,6.0,0.07966666666666666,0.21666666666666667,0,25,201
28,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100222,2021-11-17T00:00:00,DAL @ PHX,L,36.833333333333336,9,23,3,8,1,1,1,1,4,1,2,0,4,2,22,0.296,0.068,72,6,0.273,30,77,205,3,3,2021-11-17,97.41499999999999,3,20,20,0,16,8,0,0,0,197,6,4,6.0,4.0,0.08533333333333333,0.18899999999999997,0,25,199
29,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100204,2021-11-15T00:00:00,DAL vs. DEN,W,33.14833333333333,8,14,2,6,1,1,0,7,4,0,0,0,2,1,19,0.194,0.155,64,8,0.211,30,77,205,4,2,2021-11-15,97.63833333333334,3,19,16,0,15,8,0,0,0,201,4,4,2.0,4.0,0.09000000000000001,0.16833333333333333,0,25,197
30,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100181,2021-11-12T00:00:00,DAL @ SAS,W,31.083333333333332,2,11,0,5,1,2,0,6,2,0,0,0,1,2,5,0.16,0.016,65,2,0.4,30,77,205,1,1,2021-11-12,101.37166666666667,3,18,14,0,11,9,1,0,0,205,4,3,2.0,5.0,0.09400000000000001,0.15833333333333333,0,25,194
31,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100163,2021-11-10T00:00:00,DAL @ CHI,L,33.18333333333333,7,15,5,9,2,3,0,3,2,0,0,0,3,1,21,0.213,0.085,68,2,0.095,30,77,205,1,1,2021-11-10,103.87166666666667,3,18,16,0,14,10,2,2,0,219,3,6,4.0,5.0,0.11766666666666666,0.156,0,25,192
32,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100150,2021-11-08T00:00:00,DAL vs. NOP,W,33.37166666666667,6,9,4,5,1,2,0,6,4,0,0,0,0,1,17,0.132,0.169,68,0,0.235,30,77,205,0,2,2021-11-08,101.6,3,26,14,0,11,9,2,2,1,216,6,7,4.0,4.0,0.08366666666666667,0.18966666666666665,0,25,190
33,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100136,2021-11-06T00:00:00,DAL vs. BOS,W,34.81666666666667,3,8,0,4,1,2,0,2,3,1,0,0,1,1,7,0.13,0.028,69,2,0.571,30,77,205,1,2,2021-11-06,99.6,3,33,13,0,12,9,3,4,1,216,6,7,4.0,2.0,0.10566666666666667,0.22,0,25,188
34,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100116,2021-11-03T00:00:00,DAL @ SAS,W,35.68333333333333,7,17,3,9,6,6,0,6,3,1,2,0,2,4,23,0.206,0.156,82,6,0.087,30,77,205,3,1,2021-11-03,117.05,4,33,11,0,14,11,4,4,1,243,8,6,1.0,2.0,0.052750000000000005,0.193,0,25,185
35,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100104,2021-11-02T00:00:00,DAL vs. MIA,L,31.1,5,15,4,13,3,4,0,3,3,0,0,1,3,2,17,0.233,0.067,65,0,0.118,30,77,205,0,1,2021-11-02,115.7,4,27,14,1,12,8,4,6,0,244,6,8,2.0,4.0,0.06175,0.1815,0,25,184
36,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100089,2021-10-31T00:00:00,DAL vs. SAC,W,32.81666666666667,5,14,4,11,2,2,0,3,3,2,2,0,1,1,16,0.221,0.094,69,2,0.0,30,77,205,1,0,2021-10-31,82.88333333333333,3,16,11,1,9,5,2,4,0,175,5,7,1.0,4.0,0.051,0.16833333333333333,0,25,182
37,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100075,2021-10-29T00:00:00,DAL @ DEN,L,21.316666666666666,1,7,1,5,0,0,0,3,2,2,2,0,1,1,3,0.191,0.014,45,0,0.0,30,77,205,0,0,2021-10-29,100.44999999999999,3,22,14,2,8,5,0,3,0,206,6,7,2.0,5.0,0.09200000000000001,0.169,0,25,180
38,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100069,2021-10-28T00:00:00,DAL vs. SAS,W,31.816666666666666,2,8,1,4,1,2,0,5,3,0,0,0,3,2,6,0.127,0.036,64,0,0.333,30,77,205,0,1,2021-10-28,96.56666666666666,3,24,13,2,5,2,1,4,0,201,6,7,3.0,5.0,0.10099999999999999,0.18733333333333335,0,25,179
39,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100052,2021-10-26T00:00:00,DAL vs. HOU,W,29.75,6,12,2,7,2,4,1,1,0,0,2,0,1,4,16,0.187,0.103,66,2,0.375,30,77,205,1,3,2021-10-26,66.81666666666666,2,17,8,1,4,2,1,2,0,135,5,3,2.0,2.0,0.1,0.1875,0,25,177
40,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100029,2021-10-23T00:00:00,DAL @ TOR,W,38.88333333333333,9,16,7,11,0,0,1,2,2,0,1,0,2,1,25,0.193,0.137,76,2,0.08,30,77,205,1,1,2021-10-23,27.933333333333334,1,6,3,0,2,0,1,1,0,59,3,2,1.0,1.0,0.063,0.182,0,25,174
41,2021-22,203501,Tim Hardaway Jr.,1610612742,DAL,Dallas Mavericks,0022100014,2021-10-21T00:00:00,DAL @ ATL,L,27.933333333333334,4,9,2,6,4,4,0,2,0,1,1,0,3,2,14,0.182,0.063,59,2,0.143,30,77,205,1,1,2021-10-21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,25,172
