,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101228,2022-04-10T00:00:00,PHI vs. DET,W,23.9,3,10,0,0,0,0,2,3,6,2,1,0,4,0,6,0.226,0.038,48,6,0.0,29,79,226,3,0,2022-04-10,143.37,4,19,27,1,21,9,7,6,2,303,12,8,10.0,2.0,0.06075,0.16375,0,37,130
1,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101214,2022-04-09T00:00:00,PHI vs. IND,W,31.8,8,13,1,3,1,1,1,3,0,1,0,1,4,3,18,0.171,0.073,69,12,0.111,29,79,226,6,1,2022-04-09,143.63666666666666,4,25,21,0,23,13,10,7,1,306,10,6,7.0,1.0,0.07325,0.17950000000000002,0,37,129
2,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101197,2022-04-07T00:00:00,PHI @ TOR,L,38.016666666666666,3,8,2,5,0,0,0,7,1,3,2,0,2,0,8,0.129,0.047,79,2,0.0,29,79,226,1,0,2022-04-07,141.30166666666668,4,23,24,0,21,15,8,5,4,294,13,7,10.0,1.0,0.08775,0.1825,0,37,127
3,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101178,2022-04-05T00:00:00,PHI @ IND,W,36.92,5,11,5,6,2,2,0,6,5,2,4,0,2,1,17,0.157,0.107,81,0,0.0,29,79,226,0,0,2022-04-05,140.345,4,25,30,4,22,16,6,4,4,287,15,6,16.0,3.0,0.09825,0.202,0,37,125
4,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101170,2022-04-03T00:00:00,PHI @ CLE,W,36.63333333333333,4,14,0,5,3,5,0,5,3,1,0,1,4,4,11,0.198,0.016,74,6,0.182,29,79,226,3,1,2022-04-03,142.04166666666669,4,25,30,5,24,16,5,4,3,291,11,4,18.0,4.0,0.1345,0.1905,0,37,123
5,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101161,2022-04-02T00:00:00,PHI vs. CHA,W,32.06666666666667,8,13,5,9,2,2,0,5,4,4,1,0,2,1,23,0.234,0.123,72,6,0.0,29,79,226,3,0,2022-04-02,109.975,3,16,26,5,19,12,1,3,3,219,9,3,15.0,4.0,0.13833333333333334,0.17600000000000002,0,37,122
6,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101147,2022-03-31T00:00:00,PHI @ DET,L,35.681666666666665,6,9,2,3,0,0,0,5,3,1,0,3,5,1,14,0.141,0.105,67,8,0.0,29,79,226,4,0,2022-03-31,99.06166666666665,3,18,25,5,16,11,0,4,0,208,4,3,14.0,4.0,0.142,0.18033333333333335,0,37,120
7,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101131,2022-03-29T00:00:00,PHI vs. MIL,L,35.96333333333333,10,19,2,8,0,0,4,7,6,0,3,0,4,0,22,0.235,0.149,74,12,0.182,29,79,226,6,2,2022-03-29,98.89833333333333,3,15,24,1,16,10,0,1,0,210,1,5,14.0,2.0,0.1436666666666667,0.16533333333333333,0,37,118
8,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101118,2022-03-27T00:00:00,PHI @ PHX,L,38.33,8,14,1,5,0,0,1,7,3,0,0,0,0,2,17,0.152,0.161,78,10,0.235,29,79,226,5,2,2022-03-27,122.86666666666666,4,17,29,3,19,17,3,2,0,255,8,7,16.0,0.0,0.0955,0.181,0,37,116
9,2021-22,202699,Tobias Harris,1610612755,PHI,Philadelphia 76ers,0022101106,2022-03-25T00:00:00,PHI @ LAC,W,24.768333333333334,5,10,2,5,0,0,0,2,2,0,1,0,0,1,12,0.154,0.116,56,6,0.0,29,79,226,3,0,2022-03-25,122.50999999999998,4,15,30,4,20,18,5,1,0,247,13,7,17.0,0.0,0.0935,0.1965,0,37,114
