,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101221,2022-04-10T00:00:00,ATL @ HOU,W,34.233333333333334,10,20,4,7,4,4,1,4,11,5,0,0,4,3,28,0.338,0.134,71,6,0.214,23,73,164,3,3,2022-04-10,110.48333333333333,3,28,35,3,5,34,13,1,0,228,5,21,11.0,10.0,0.168,0.3433333333333333,0,16,25
1,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101207,2022-04-08T00:00:00,ATL @ MIA,L,36.03333333333333,12,23,3,11,8,8,1,1,8,7,1,0,1,7,35,0.395,0.175,74,10,0.229,23,73,164,5,4,2022-04-08,109.66833333333334,3,26,38,3,9,36,9,0,0,231,6,22,11.0,7.0,0.17333333333333334,0.342,0,16,23
2,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101192,2022-04-06T00:00:00,ATL vs. WAS,W,37.0,8,17,3,9,11,12,1,1,11,3,0,0,3,9,30,0.313,0.165,76,4,0.2,23,73,164,2,3,2022-04-06,130.41833333333335,4,38,50,2,12,42,12,1,0,280,6,25,21.0,6.0,0.20475,0.3825,0,16,21
3,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101182,2022-04-05T00:00:00,ATL @ TOR,L,37.45,10,23,3,8,3,4,1,3,15,3,0,0,1,5,26,0.322,0.164,78,8,0.231,23,73,164,4,3,2022-04-05,92.96833333333333,3,30,35,1,9,27,9,1,0,202,5,20,17.0,3.0,0.21833333333333335,0.4026666666666667,0,16,20
4,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101163,2022-04-02T00:00:00,ATL vs. BKN,W,35.218333333333334,10,24,4,9,12,14,1,5,10,3,0,0,2,8,36,0.391,0.191,77,10,0.056,23,73,164,5,1,2022-04-02,94.13333333333333,3,30,24,0,7,33,8,3,0,201,5,18,12.0,4.0,0.19333333333333333,0.3353333333333333,0,16,17
5,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022100452,2022-03-31T00:00:00,ATL vs. CLE,W,28.483333333333334,9,17,4,9,8,8,0,2,9,3,0,0,1,5,30,0.353,0.249,59,8,0.067,23,73,164,4,1,2022-03-31,104.75,3,30,27,1,8,39,8,5,0,223,7,19,14.0,5.0,0.18033333333333335,0.30733333333333335,0,16,15
6,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101143,2022-03-30T00:00:00,ATL @ OKC,W,29.266666666666666,13,24,4,12,11,12,0,2,8,3,1,0,2,7,41,0.464,0.215,66,16,0.049,23,73,164,8,1,2022-03-30,109.41666666666666,3,27,24,1,8,40,9,6,0,228,5,12,10.0,6.0,0.151,0.248,0,16,14
7,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101124,2022-03-28T00:00:00,ATL @ IND,W,36.38333333333333,4,13,2,9,4,4,0,3,16,2,2,0,2,6,14,0.189,0.116,76,0,0.286,23,73,164,0,2,2022-03-28,112.6,3,33,30,1,6,32,11,5,0,234,3,15,14.0,6.0,0.18633333333333332,0.3183333333333333,0,16,12
8,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101102,2022-03-25T00:00:00,ATL vs. GSW,W,39.1,12,20,4,9,5,5,1,3,15,3,2,0,3,6,33,0.269,0.21,81,12,0.121,23,73,164,6,2,2022-03-25,107.2,3,29,28,3,5,27,15,3,0,228,4,14,8.0,6.0,0.15066666666666664,0.32899999999999996,0,16,9
9,2021-22,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,0022101085,2022-03-23T00:00:00,ATL @ DET,L,33.93333333333333,9,18,3,9,0,0,0,2,9,4,2,0,0,0,21,0.286,0.127,71,8,0.19,23,73,164,4,2,2022-03-23,111.28333333333335,3,26,25,3,6,33,17,4,0,232,7,18,6.0,5.0,0.133,0.3026666666666667,0,16,7
