,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101207,2022-04-08T00:00:00,MIA vs. ATL,W,32.78333333333333,6,12,1,2,2,2,0,5,9,1,1,0,1,2,15,0.197,0.172,69,6,0.267,22,77,195,3,2,2022-04-08,99.555,3,22,28,2,21,13,14,1,0,201,9,8,9.0,3.0,0.132,0.3076666666666667,1,18,0
1,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101181,2022-04-05T00:00:00,MIA vs. CHA,W,33.88333333333333,11,18,6,10,7,7,1,5,3,5,1,0,2,3,35,0.333,0.179,70,10,0.0,22,77,195,5,0,2022-04-05,97.73833333333334,3,18,28,1,26,15,11,0,0,201,9,5,4.0,6.0,0.11866666666666666,0.26866666666666666,0,17,15
2,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101172,2022-04-03T00:00:00,MIA @ TOR,W,36.388333333333335,8,16,1,5,1,2,1,8,8,8,0,0,3,3,18,0.309,0.099,74,8,0.333,22,77,195,4,3,2022-04-03,90.03333333333335,3,21,24,0,23,13,5,0,0,184,8,2,4.0,3.0,0.1386666666666667,0.25433333333333336,0,17,13
3,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101164,2022-04-02T00:00:00,MIA @ CHI,W,29.283333333333335,6,16,6,7,1,3,0,8,2,1,0,0,4,2,19,0.281,0.118,57,0,0.0,22,77,195,0,0,2022-04-02,92.51666666666667,3,19,24,0,19,14,9,3,0,196,4,4,9.0,3.0,0.12833333333333333,0.24833333333333332,0,17,12
4,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101139,2022-03-30T00:00:00,MIA @ BOS,W,32.06666666666667,5,14,2,6,0,0,0,10,5,2,0,0,2,0,12,0.216,0.139,70,0,0.5,22,77,195,0,3,2022-03-30,60.45,2,13,16,0,9,9,7,3,0,126,2,4,9.0,0.0,0.123,0.2645,0,17,9
5,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101125,2022-03-28T00:00:00,MIA vs. SAC,W,28.683333333333334,8,15,4,8,0,0,0,5,6,2,0,0,2,0,20,0.266,0.159,57,8,0.0,22,77,195,4,0,2022-03-28,61.53333333333333,2,8,21,0,8,7,5,3,0,130,0,4,10.0,0.0,0.0735,0.245,0,17,7
6,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101111,2022-03-26T00:00:00,MIA vs. BKN,L,31.766666666666666,5,14,0,5,3,3,0,4,3,5,3,0,0,4,13,0.263,0.087,69,10,0.0,22,77,195,5,0,2022-03-26,29.766666666666666,1,3,12,0,4,4,0,0,0,61,0,0,5.0,0.0,0.06,0.227,0,17,5
7,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101074,2022-03-21T00:00:00,MIA @ PHI,L,29.766666666666666,5,15,0,3,0,0,0,4,4,0,0,0,0,0,10,0.227,0.06,61,10,0.0,22,77,195,5,0,2022-03-21,62.233333333333334,2,12,16,2,10,8,2,0,0,126,2,10,9.0,2.0,0.2075,0.267,1,17,0
8,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101052,2022-03-18T00:00:00,MIA vs. OKC,W,27.9,9,13,2,4,6,6,2,5,4,1,0,0,0,4,26,0.258,0.21,57,12,0.077,22,77,195,6,1,2022-03-18,104.4,3,22,27,0,13,8,3,3,0,219,3,14,11.0,1.0,0.171,0.258,0,16,34
9,2021-22,1629639,Tyler Herro,1610612748,MIA,Miami Heat,0022101031,2022-03-15T00:00:00,MIA vs. DET,W,34.333333333333336,8,15,4,8,9,11,0,5,4,1,0,0,2,6,29,0.276,0.205,69,6,0.069,22,77,195,3,1,2022-03-15,100.75,3,23,31,0,10,5,3,4,0,212,1,11,11.0,2.0,0.127,0.26733333333333337,0,16,31
