,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022101123,2022-03-28T00:00:00,ORL @ CLE,L,26.668333333333333,7,14,0,4,1,6,1,11,6,2,1,0,2,3,15,0.317,0.148,54,14,0.0,23,82,270,7,0,2022-03-28,32.766666666666666,1,4,8,2,6,0,2,0,0,65,4,4,5.0,1.0,0.119,0.229,1,15,0
1,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022101080,2022-03-22T00:00:00,ORL vs. GSW,W,32.766666666666666,7,12,1,4,4,5,2,6,0,2,0,0,4,4,19,0.229,0.119,65,10,0.105,23,82,270,5,1,2022-03-22,56.53333333333333,2,4,22,7,17,6,6,2,2,128,5,11,12.0,3.0,0.2735,0.2505,1,14,0
2,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022101065,2022-03-20T00:00:00,ORL vs. OKC,W,30.683333333333334,12,15,2,3,4,7,4,12,2,5,2,1,3,8,30,0.295,0.399,66,16,0.133,23,82,270,8,2,2022-03-20,65.03333333333333,2,6,24,3,17,6,3,0,4,139,6,4,11.0,2.0,0.1565,0.23099999999999998,0,13,5
3,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022101030,2022-03-15T00:00:00,ORL vs. BKN,L,25.85,6,11,1,1,5,5,3,5,4,1,0,1,2,3,18,0.206,0.148,62,8,0.111,23,82,270,4,1,2022-03-15,134.82333333333332,4,13,46,10,32,12,6,0,4,275,14,12,22.0,4.0,0.14375,0.22724999999999998,1,13,0
4,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022101015,2022-03-13T00:00:00,ORL vs. PHI,L,39.18333333333333,10,19,2,5,1,2,0,12,2,2,0,3,4,1,23,0.256,0.165,77,14,0.087,23,82,270,7,1,2022-03-13,95.64,3,8,32,10,20,10,4,0,1,198,10,11,15.0,3.0,0.13666666666666666,0.21766666666666667,0,12,11
5,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022100995,2022-03-11T00:00:00,ORL vs. MIN,W,35.266666666666666,7,15,2,4,4,5,4,6,5,2,0,0,3,4,20,0.229,0.12,72,10,0.0,23,82,270,5,0,2022-03-11,60.373333333333335,2,4,21,6,14,5,2,0,1,126,7,7,10.0,3.0,0.145,0.21200000000000002,0,12,9
6,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022100987,2022-03-09T00:00:00,ORL @ NOP,W,28.79,6,11,0,1,1,2,4,4,5,1,0,0,4,4,13,0.203,0.109,56,8,0.308,23,82,270,4,2,2022-03-09,72.17166666666667,2,5,21,8,22,5,7,1,2,156,7,6,10.0,2.0,0.1455,0.20950000000000002,0,12,7
7,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022100977,2022-03-08T00:00:00,ORL vs. PHX,L,31.583333333333332,8,14,1,3,3,4,2,10,0,1,0,1,3,3,20,0.221,0.181,70,12,0.1,23,82,270,6,1,2022-03-08,40.58833333333333,1,2,10,6,12,5,6,1,1,86,4,3,4.0,1.0,0.11,0.198,0,12,6
8,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022100933,2022-03-02T00:00:00,ORL vs. IND,L,40.58833333333333,5,12,0,2,3,5,6,12,5,6,1,1,4,3,13,0.198,0.11,86,8,0.154,23,82,270,4,1,2022-03-02,62.95,2,3,18,7,17,3,6,0,0,135,6,12,13.0,2.0,0.1955,0.2185,1,12,0
9,2021-22,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,0022100921,2022-02-28T00:00:00,ORL vs. IND,W,27.833333333333332,8,10,1,1,4,6,3,9,1,3,0,0,5,4,21,0.235,0.199,58,12,0.095,23,82,270,6,1,2022-02-28,35.11666666666667,1,2,9,4,8,2,3,0,0,77,1,8,7.0,1.0,0.192,0.202,0,11,54
