,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101201,2022-04-07T00:00:00,DEN vs. MEM,W,29.433333333333334,5,11,2,6,4,4,0,4,4,3,1,0,3,2,16,0.232,0.105,62,6,0.0,31,77,181,3,0,2022-04-07,107.83333333333334,3,21,15,3,7,12,3,1,0,235,6,4,4.0,0.0,0.05933333333333333,0.159,1,31,0
1,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101186,2022-04-05T00:00:00,DEN vs. SAS,L,39.96666666666667,3,12,3,8,0,0,1,3,6,0,0,0,2,1,9,0.125,0.045,85,0,0.0,31,77,181,0,0,2022-04-05,106.08333333333334,3,19,18,3,7,11,5,2,0,228,4,6,9.0,1.0,0.08833333333333333,0.17400000000000002,0,30,30
2,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101168,2022-04-03T00:00:00,DEN @ LAL,W,36.583333333333336,8,12,6,8,3,4,0,1,2,1,1,0,0,2,25,0.165,0.127,81,4,0.0,31,77,181,2,0,2022-04-03,107.25,3,21,21,4,11,12,7,1,1,224,5,4,9.0,2.0,0.07033333333333334,0.19133333333333333,0,30,28
3,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101159,2022-04-01T00:00:00,DEN vs. MIN,L,31.283333333333335,3,12,1,5,1,1,2,3,4,2,0,0,4,1,8,0.187,0.006,69,4,0.0,31,77,181,2,0,2022-04-01,111.2,3,23,23,2,14,15,8,3,2,233,4,5,12.0,2.0,0.105,0.20733333333333334,0,30,26
4,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101137,2022-03-30T00:00:00,DEN @ IND,W,38.21666666666667,8,13,2,6,0,0,1,3,5,2,1,0,0,3,18,0.17,0.132,78,10,0.111,31,77,181,5,1,2022-03-30,103.71666666666667,3,20,23,2,15,18,7,2,2,222,6,3,12.0,1.0,0.10099999999999999,0.20633333333333334,0,30,24
5,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101122,2022-03-28T00:00:00,DEN @ CHA,W,37.75,7,17,4,10,0,0,1,5,3,3,0,1,1,0,18,0.217,0.073,77,4,0.111,31,77,181,2,1,2022-03-28,100.21666666666667,3,15,20,1,14,17,6,3,1,215,6,3,10.0,2.0,0.09533333333333333,0.18166666666666667,0,30,22
6,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101113,2022-03-26T00:00:00,DEN vs. OKC,W,35.233333333333334,7,16,2,7,2,2,0,6,7,3,2,1,3,2,18,0.235,0.11,78,10,0.0,31,77,181,5,0,2022-03-26,89.08333333333334,3,13,16,2,12,12,4,1,0,184,3,1,6.0,2.0,0.07766666666666666,0.16666666666666666,0,30,20
7,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101099,2022-03-24T00:00:00,DEN vs. PHX,L,30.733333333333334,7,10,2,3,1,2,1,4,8,1,0,0,2,1,17,0.167,0.12,67,10,0.0,31,77,181,5,0,2022-03-24,94.66666666666667,3,16,17,3,13,7,5,1,0,188,3,2,2.0,2.0,0.04700000000000001,0.17999999999999997,0,30,18
8,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101083,2022-03-22T00:00:00,DEN vs. LAC,W,34.25,4,9,2,5,0,0,0,4,2,2,1,0,1,0,10,0.143,0.056,70,0,0.4,31,77,181,0,2,2022-03-22,86.4,3,15,15,3,11,10,3,2,0,173,4,3,3.0,0.0,0.044000000000000004,0.17133333333333334,0,30,16
9,2021-22,203115,Will Barton,1610612743,DEN,Denver Nuggets,0022101068,2022-03-20T00:00:00,DEN vs. BOS,L,24.1,3,10,2,5,0,0,1,4,2,1,0,0,0,0,8,0.19,0.057,47,2,0.0,31,77,181,1,0,2022-03-20,93.83333333333334,3,16,18,3,9,10,3,2,0,194,6,5,5.0,1.0,0.05333333333333334,0.18766666666666665,0,30,14
