,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101208,2022-04-08T00:00:00,CHI vs. CHA,L,30.133333333333333,9,15,2,4,3,3,0,4,7,1,0,0,2,1,23,0.266,0.148,58,10,0.174,27,77,200,5,2,2022-04-08,62.05,2,17,13,2,5,6,3,1,1,122,5,6,4.0,4.0,0.088,0.2555,1,28,0
1,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101193,2022-04-06T00:00:00,CHI vs. BOS,L,27.183333333333334,2,9,0,5,3,3,0,2,4,2,0,1,2,3,7,0.203,0.025,54,4,0.0,27,77,200,2,0,2022-04-06,75.51666666666667,2,18,20,2,7,7,3,2,0,153,5,10,4.0,6.0,0.106,0.28400000000000003,0,27,4
2,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101164,2022-04-02T00:00:00,CHI vs. MIA,L,34.86666666666667,11,21,5,12,6,6,2,3,2,1,1,0,3,3,33,0.308,0.151,68,4,0.242,27,77,200,2,4,2022-04-02,149.86166666666668,4,25,36,0,13,12,7,2,0,300,6,21,12.0,6.0,0.10175000000000001,0.25725,1,27,0
3,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101149,2022-03-31T00:00:00,CHI vs. LAC,W,40.65,5,17,1,6,10,13,0,4,5,2,1,0,2,7,21,0.26,0.061,85,4,0.19,27,77,200,2,2,2022-03-31,148.97833333333335,4,30,37,0,12,10,10,2,1,297,5,23,16.0,6.0,0.1245,0.286,0,26,22
4,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101132,2022-03-29T00:00:00,CHI @ WAS,W,34.245,4,10,2,5,4,6,0,4,1,3,0,0,2,5,14,0.219,0.043,68,4,0.0,27,77,200,2,0,2022-03-29,148.5,4,32,41,0,11,16,9,3,1,300,4,21,15.0,7.0,0.14025,0.30225,0,26,20
5,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101126,2022-03-28T00:00:00,CHI @ NYK,L,36.21666666666667,8,17,2,7,9,10,0,4,3,0,0,0,2,4,27,0.266,0.165,72,8,0.148,27,77,200,4,2,2022-03-28,147.36666666666667,4,31,43,2,11,19,9,4,1,296,2,21,16.0,6.0,0.14600000000000002,0.3045,0,26,19
6,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101110,2022-03-26T00:00:00,CHI @ CLE,W,38.75,8,17,2,7,7,8,0,1,3,2,1,0,0,5,25,0.284,0.138,75,8,0.16,27,77,200,4,2,2022-03-26,108.61666666666667,3,24,33,2,10,16,7,3,1,221,2,16,12.0,4.0,0.14866666666666667,0.31133333333333335,0,26,17
7,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101098,2022-03-24T00:00:00,CHI @ NOP,L,39.766666666666666,12,23,4,11,11,13,0,3,3,5,1,1,1,9,39,0.375,0.152,82,12,0.103,27,77,200,6,2,2022-03-24,98.81666666666666,3,14,27,2,9,22,4,2,0,200,1,13,7.0,2.0,0.13,0.26099999999999995,0,26,15
8,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101082,2022-03-22T00:00:00,CHI @ MIL,L,33.766666666666666,6,16,4,7,5,6,0,3,7,2,1,0,1,3,21,0.284,0.106,71,2,0.095,27,77,200,1,1,2022-03-22,98.16666666666666,3,17,28,2,8,20,3,4,1,202,3,15,11.0,2.0,0.15566666666666668,0.2663333333333333,0,26,13
9,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101076,2022-03-21T00:00:00,CHI vs. TOR,W,35.083333333333336,9,18,3,6,5,8,2,4,6,0,1,0,0,4,26,0.275,0.188,68,10,0.077,27,77,200,5,1,2022-03-21,99.08333333333333,3,18,27,1,6,20,5,3,2,210,4,17,11.0,2.0,0.1426666666666667,0.26866666666666666,0,26,12
10,2021-22,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,0022101056,2022-03-18T00:00:00,CHI @ PHX,L,29.966666666666665,1,7,0,1,10,12,0,2,9,2,0,0,0,6,12,0.224,0.096,61,2,0.0,27,77,200,1,0,2022-03-18,69.11666666666667,2,17,21,1,4,11,3,3,2,149,4,11,10.0,2.0,0.16599999999999998,0.291,0,26,9
