"","typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay"
"1","Regular Season","2021-22",22100001,2021-10-19,"MIL vs. BKN","MIL","BKN",1
"2","Regular Season","2021-22",22100002,2021-10-19,"LAL vs. GSW","GSW","LAL",2
"3","Regular Season","2021-22",22100003,2021-10-20,"CHA vs. IND","CHA","IND",1
"4","Regular Season","2021-22",22100004,2021-10-20,"DET vs. CHI","CHI","DET",2
"5","Regular Season","2021-22",22100005,2021-10-20,"NYK vs. BOS","NYK","BOS",3
"6","Regular Season","2021-22",22100006,2021-10-20,"TOR vs. WAS","WAS","TOR",4
"7","Regular Season","2021-22",22100007,2021-10-20,"MEM vs. CLE","MEM","CLE",5
"8","Regular Season","2021-22",22100008,2021-10-20,"MIN vs. HOU","MIN","HOU",6
"9","Regular Season","2021-22",22100009,2021-10-20,"PHI @ NOP","PHI","NOP",7
"10","Regular Season","2021-22",22100010,2021-10-20,"SAS vs. ORL","SAS","ORL",8
"11","Regular Season","2021-22",22100011,2021-10-20,"OKC @ UTA","UTA","OKC",9
"12","Regular Season","2021-22",22100012,2021-10-20,"DEN @ PHX","DEN","PHX",10
"13","Regular Season","2021-22",22100013,2021-10-20,"POR vs. SAC","SAC","POR",11
"14","Regular Season","2021-22",22100014,2021-10-21,"DAL @ ATL","ATL","DAL",1
"15","Regular Season","2021-22",22100015,2021-10-21,"MIA vs. MIL","MIA","MIL",2
"16","Regular Season","2021-22",22100016,2021-10-21,"LAC @ GSW","GSW","LAC",3
"17","Regular Season","2021-22",22100017,2021-10-22,"CLE vs. CHA","CHA","CLE",1
"18","Regular Season","2021-22",22100018,2021-10-22,"ORL vs. NYK","NYK","ORL",2
"19","Regular Season","2021-22",22100019,2021-10-22,"WAS vs. IND","WAS","IND",3
"20","Regular Season","2021-22",22100020,2021-10-22,"TOR @ BOS","TOR","BOS",4
"21","Regular Season","2021-22",22100021,2021-10-22,"BKN @ PHI","BKN","PHI",5
"22","Regular Season","2021-22",22100022,2021-10-22,"NOP @ CHI","CHI","NOP",6
"23","Regular Season","2021-22",22100023,2021-10-22,"HOU vs. OKC","HOU","OKC",7
